NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,3,1,17:49.393,0,,15:43.242,0,1:16.895,0,49.256,0,20.3,17:49.393,14:12:49.393,15:43.242,1:16.895,0:49.256,,Scott Dixon,0:15:34.266,DPi,,Cadillac Chip Ganassi Racing,Cadillac,FCY,
01,3,2,4:00.546,0,,18.398,0,2:35.408,0,1:06.740,0,90.1,21:49.939,14:16:49.939,0:18.398,2:35.408,1:06.740,,Scott Dixon,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,FCY,
01,3,3,3:12.335,0,,25.437,0,1:57.265,0,49.633,0,112.7,25:02.274,14:20:02.274,0:25.437,1:57.265,0:49.633,,Scott Dixon,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,3,4,1:49.319,0,,10.195,0,1:08.806,0,30.318,0,198.2,26:51.593,14:21:51.593,0:10.195,1:08.806,0:30.318,,Scott Dixon,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,3,5,1:50.154,0,,10.073,0,1:09.126,0,30.955,0,196.7,28:41.747,14:23:41.747,0:10.073,1:09.126,0:30.955,,Scott Dixon,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,3,6,1:48.382,0,,9.931,0,1:08.362,1,30.089,1,199.9,30:30.129,14:25:30.129,0:09.931,1:08.362,0:30.089,,Scott Dixon,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,3,7,4:31.442,0,B,9.840,1,1:09.041,0,3:12.561,0,79.8,35:01.571,14:30:01.571,0:09.840,1:09.041,3:12.561,,Scott Dixon,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,2,8,2:17.625,0,,33.754,0,1:13.230,0,30.641,0,157.4,37:19.196,14:32:19.196,0:33.754,1:13.230,0:30.641,,Kevin Magnussen,0:03:01.133,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,2,9,1:50.135,0,,9.973,0,1:08.337,0,31.825,0,196.7,39:09.331,14:34:09.331,0:09.973,1:08.337,0:31.825,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,2,10,1:50.536,0,,9.922,0,1:09.111,0,31.503,0,196.0,40:59.867,14:35:59.867,0:09.922,1:09.111,0:31.503,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,2,11,1:48.557,0,,9.756,2,1:08.688,0,30.113,0,199.6,42:48.424,14:37:48.424,0:09.756,1:08.688,0:30.113,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,2,12,1:51.085,0,,10.335,0,1:09.729,0,31.021,0,195.1,44:39.509,14:39:39.509,0:10.335,1:09.729,0:31.021,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,2,13,1:49.798,0,,9.871,0,1:09.156,0,30.771,0,197.3,46:29.307,14:41:29.307,0:09.871,1:09.156,0:30.771,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,2,14,1:47.669,2,,9.803,0,1:07.829,0,30.037,2,201.2,48:16.976,14:43:16.976,0:09.803,1:07.829,0:30.037,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,2,15,1:48.077,0,,10.184,0,1:07.754,2,30.139,0,200.5,50:05.053,14:45:05.053,0:10.184,1:07.754,0:30.139,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,2,16,1:49.301,0,,9.792,0,1:08.992,0,30.517,0,198.2,51:54.354,14:46:54.354,0:09.792,1:08.992,0:30.517,,Kevin Magnussen,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
