NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
33,3,1,3:02.451,0,,45.326,0,1:40.623,0,36.502,0,118.8,3:02.451,12:08:02.451,0:45.326,1:40.623,0:36.502,,Lance Willsey,0:00:31.834,LMP3,,Sean Creech Motorsport,Ligier,GF,
33,3,2,2:02.200,0,,11.693,0,1:16.523,0,33.984,0,177.3,5:04.651,12:10:04.651,0:11.693,1:16.523,0:33.984,,Lance Willsey,,LMP3,,Sean Creech Motorsport,Ligier,GF,
33,3,3,2:00.484,0,,11.346,0,1:15.349,0,33.789,0,179.8,7:05.135,12:12:05.135,0:11.346,1:15.349,0:33.789,,Lance Willsey,,LMP3,,Sean Creech Motorsport,Ligier,GF,
33,3,4,1:59.300,0,,11.139,0,1:14.557,0,33.604,0,181.6,9:04.435,12:14:04.435,0:11.139,1:14.557,0:33.604,,Lance Willsey,,LMP3,,Sean Creech Motorsport,Ligier,GF,
33,3,5,1:58.991,2,,11.238,0,1:14.448,2,33.305,2,182.1,11:03.426,12:16:03.426,0:11.238,1:14.448,0:33.305,,Lance Willsey,,LMP3,,Sean Creech Motorsport,Ligier,GF,
33,3,6,1:59.324,0,,11.124,2,1:14.671,0,33.529,0,181.6,13:02.750,12:18:02.750,0:11.124,1:14.671,0:33.529,,Lance Willsey,,LMP3,,Sean Creech Motorsport,Ligier,GF,
33,3,7,1:59.424,0,,11.407,0,1:14.609,0,33.408,0,181.4,15:02.174,12:20:02.174,0:11.407,1:14.609,0:33.408,,Lance Willsey,,LMP3,,Sean Creech Motorsport,Ligier,FF,
38,1,1,3:27.870,0,,45.017,0,1:56.075,0,46.778,0,104.2,3:27.870,12:08:27.870,0:45.017,1:56.075,0:46.778,,Rasmus Lindh,0:00:32.578,LMP3,,Performance Tech Motorsports,Ligier,GF,
38,1,2,1:58.431,0,,11.264,0,,0,,0,183.0,5:26.301,12:10:26.301,0:11.264,,,,Rasmus Lindh,,LMP3,,Performance Tech Motorsports,Ligier,GF,
38,1,3,1:56.606,0,,10.965,0,1:12.834,0,32.807,0,185.8,7:22.907,12:12:22.907,0:10.965,1:12.834,0:32.807,,Rasmus Lindh,,LMP3,,Performance Tech Motorsports,Ligier,GF,
38,1,4,1:56.069,0,,10.836,0,1:12.312,3,32.921,0,186.7,9:18.976,12:14:18.976,0:10.836,1:12.312,0:32.921,,Rasmus Lindh,,LMP3,,Performance Tech Motorsports,Ligier,GF,
38,1,5,1:56.001,3,,10.764,0,1:12.545,0,32.692,0,186.8,11:14.977,12:16:14.977,0:10.764,1:12.545,0:32.692,,Rasmus Lindh,,LMP3,,Performance Tech Motorsports,Ligier,GF,
