NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,1,1,3:29.584,0,,1:25.763,0,1:29.979,0,33.842,0,103.4,3:29.584,12:33:29.584,1:25.763,1:29.979,0:33.842,,Renger van der Zande,0:01:14.830,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,1,2,1:52.471,0,,10.588,0,1:09.885,0,31.998,0,192.7,5:22.055,12:35:22.055,0:10.588,1:09.885,0:31.998,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,1,3,1:46.340,0,,9.602,0,1:06.808,0,29.930,0,203.8,7:08.395,12:37:08.395,0:09.602,1:06.808,0:29.930,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,1,4,1:49.050,0,,9.542,0,1:08.978,0,30.530,0,198.7,8:57.445,12:38:57.445,0:09.542,1:08.978,0:30.530,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,1,5,1:46.057,0,,9.507,0,1:06.900,0,29.650,2,204.3,10:43.502,12:40:43.502,0:09.507,1:06.900,0:29.650,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,1,6,1:46.173,0,,9.488,0,1:06.665,0,30.020,0,204.1,12:29.675,12:42:29.675,0:09.488,1:06.665,0:30.020,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,1,7,1:45.849,2,,9.531,0,1:06.574,0,29.744,0,204.7,14:15.524,12:44:15.524,0:09.531,1:06.574,0:29.744,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,GF,
01,1,8,2:11.773,0,B,9.427,2,1:06.452,2,55.894,0,164.4,16:27.297,12:46:27.297,0:09.427,1:06.452,0:55.894,,Renger van der Zande,,DPi,,Cadillac Chip Ganassi Racing,Cadillac,RF,
10,1,1,2:14.370,0,,24.623,0,1:17.535,0,32.212,0,161.3,2:14.370,12:32:14.370,0:24.623,1:17.535,0:32.212,,Ricky Taylor,0:00:14.153,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,1,2,1:51.443,0,,10.165,0,1:10.922,0,30.356,0,194.4,4:05.813,12:34:05.813,0:10.165,1:10.922,0:30.356,,Ricky Taylor,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
