TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1626527122,17-Jul-21 13:05:22,75.79994,104,82,30.022071466,0.6,79,-1,
1626527182,17-Jul-21 13:06:22,75.99992,105.00008,82,30.021185563,0,79,-1,
1626527242,17-Jul-21 13:07:22,76.1,102.99992,82,30.020004359,1.3,9,-1,
1626527302,17-Jul-21 13:08:22,76.29998,100.99994,81,30.019118456,0.6,11,-1,
1626527363,17-Jul-21 13:09:23,76.40006,100.99994,81,30.018232553,2.6,49,-1,
1626527423,17-Jul-21 13:10:23,76.40006,102.00002,80,30.018232553,1.3,27,-1,
1626527483,17-Jul-21 13:11:23,76.40006,102.99992,80,30.020004359,0.6,11,-1,
1626527543,17-Jul-21 13:12:23,76.40006,104,80,30.020004359,0,355,-1,
1626527603,17-Jul-21 13:13:23,76.40006,105.00008,81,30.020004359,0,355,-1,
1626527663,17-Jul-21 13:14:23,76.49996,105.99998,81,30.021185563,0,355,-1,
1626527723,17-Jul-21 13:15:23,76.60004,107.00006,82,30.020004359,0.6,338,-1,
1626527783,17-Jul-21 13:16:23,76.69994,107.99996,81,30.021185563,1.3,64,-1,
1626527843,17-Jul-21 13:17:23,76.80002,109.00004,80,30.022071466,1.3,51,-1,
1626527903,17-Jul-21 13:18:23,76.80002,107.99996,80,30.021185563,1.3,49,-1,
1626527963,17-Jul-21 13:19:23,76.80002,109.99994,80,30.019118456,1.3,19,-1,
1626528024,17-Jul-21 13:20:24,76.80002,111.00002,80,30.020004359,0.6,26,-1,
1626528084,17-Jul-21 13:21:24,76.80002,111.00002,81,30.021185563,1.9,38,-1,
1626528144,17-Jul-21 13:22:24,76.80002,111.00002,81,30.021185563,1.3,54,-1,
1626528204,17-Jul-21 13:23:24,76.80002,109.99994,80,30.021185563,0,53,-1,
1626528264,17-Jul-21 13:24:24,76.89992,109.99994,80,30.021185563,0.6,53,-1,
