NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
1,2,1,2:29.567,0,,27.389,0,1:21.563,0,40.615,0,156.8,2:29.567,13:52:29.567,0:27.389,1:21.563,0:40.615,,Madison Snow,0:00:11.706,GTD,,Paul Miller Racing,Lamborghini,GF,
1,2,2,2:09.365,0,,15.906,0,1:14.537,0,38.922,2,181.3,4:38.932,13:54:38.932,0:15.906,1:14.537,0:38.922,,Madison Snow,,GTD,,Paul Miller Racing,Lamborghini,GF,
1,2,3,2:09.110,2,,15.583,3,1:14.424,2,39.103,0,181.6,6:48.042,13:56:48.042,0:15.583,1:14.424,0:39.103,,Madison Snow,,GTD,,Paul Miller Racing,Lamborghini,GF,
1,2,4,2:28.668,0,B,15.845,0,1:15.616,0,57.207,0,157.8,9:16.710,13:59:16.710,0:15.845,1:15.616,0:57.207,,Madison Snow,,GTD,,Paul Miller Racing,Lamborghini,GF,
12,1,1,2:38.301,0,,34.039,0,1:20.368,0,43.894,0,148.2,2:38.301,13:52:38.301,0:34.039,1:20.368,0:43.894,,Frankie Montecalvo,0:00:16.917,GTD,,VASSER SULLIVAN,Lexus,GF,
12,1,2,2:08.799,0,,15.942,0,1:14.283,0,38.574,2,182.1,4:47.100,13:54:47.100,0:15.942,1:14.283,0:38.574,,Frankie Montecalvo,,GTD,,VASSER SULLIVAN,Lexus,GF,
12,1,3,2:08.702,2,,15.857,0,1:13.869,2,38.976,0,182.2,6:55.802,13:56:55.802,0:15.857,1:13.869,0:38.976,,Frankie Montecalvo,,GTD,,VASSER SULLIVAN,Lexus,GF,
12,1,4,2:11.728,0,,15.693,2,1:15.884,0,40.151,0,178.0,9:07.530,13:59:07.530,0:15.693,1:15.884,0:40.151,,Frankie Montecalvo,,GTD,,VASSER SULLIVAN,Lexus,GF,
12,1,5,3:07.398,0,B,16.114,0,1:38.860,0,1:12.424,0,125.1,12:14.928,14:02:14.928,0:16.114,1:38.860,1:12.424,,Frankie Montecalvo,,GTD,,VASSER SULLIVAN,Lexus,GF,
14,1,1,2:37.284,0,,32.321,0,1:17.724,0,47.239,0,149.1,2:37.284,13:52:37.284,0:32.321,1:17.724,0:47.239,,Aaron Telitz,0:00:16.218,GTD,,VASSER SULLIVAN,Lexus,GF,
