NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,2,1,55:46.026,0,,54:03.120,0,1:12.127,0,30.779,0,6.5,55:46.026,10:15:46.026,54:03.120,1:12.127,0:30.779,,Sebastien Bourdais,0:53:54.222,DPi,,Cadillac Racing,Cadillac,GF,
01,2,2,1:46.729,0,,9.906,0,1:07.418,0,29.405,0,203.0,57:32.755,10:17:32.755,0:09.906,1:07.418,0:29.405,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,3,1:45.166,3,,9.661,0,1:06.380,2,29.125,3,206.0,59:17.921,10:19:17.921,0:09.661,1:06.380,0:29.125,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,4,1:50.827,0,,9.550,0,1:07.942,0,33.335,0,195.5,1:01:08.748,10:21:08.748,0:09.550,1:07.942,0:33.335,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,5,1:54.232,0,,9.558,0,1:09.089,0,35.585,0,189.7,1:03:02.980,10:23:02.980,0:09.558,1:09.089,0:35.585,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,6,1:47.199,0,,9.480,2,1:07.888,0,29.831,0,202.1,1:04:50.179,10:24:50.179,0:09.480,1:07.888,0:29.831,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,7,2:11.290,0,B,9.504,0,1:16.491,0,45.295,0,165.0,1:07:01.469,10:27:01.469,0:09.504,1:16.491,0:45.295,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,FF,
02,2,1,52:24.823,0,,50:31.337,0,1:21.395,0,32.091,0,6.9,52:24.823,10:12:24.823,50:31.337,1:21.395,0:32.091,,Alex Lynn,0:50:21.411,DPi,,Cadillac Racing,Cadillac,GF,
02,2,2,1:50.173,0,,9.873,0,1:08.023,0,32.277,0,196.7,54:14.996,10:14:14.996,0:09.873,1:08.023,0:32.277,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,3,1:53.826,0,,9.689,0,1:13.312,0,30.825,0,190.4,56:08.822,10:16:08.822,0:09.689,1:13.312,0:30.825,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,4,1:45.323,2,,9.627,0,1:06.426,2,29.270,2,205.7,57:54.145,10:17:54.145,0:09.627,1:06.426,0:29.270,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,5,1:49.566,0,,9.552,0,1:09.881,0,30.133,0,197.8,59:43.711,10:19:43.711,0:09.552,1:09.881,0:30.133,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,6,1:49.974,0,,9.552,0,1:09.905,0,30.517,0,197.0,1:01:33.685,10:21:33.685,0:09.552,1:09.905,0:30.517,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,7,1:45.414,0,,9.547,2,1:06.465,0,29.402,0,205.6,1:03:19.099,10:23:19.099,0:09.547,1:06.465,0:29.402,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,8,2:01.436,0,B,9.658,0,1:09.520,0,42.258,0,178.4,1:05:20.535,10:25:20.535,0:09.658,1:09.520,0:42.258,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,FF,
1,2,1,3:31.545,0,,1:26.564,0,1:27.738,0,37.243,0,102.4,3:31.545,09:23:31.545,1:26.564,1:27.738,0:37.243,,Madison Snow,0:01:14.517,GTD,,Paul Miller Racing,BMW,GF,
1,2,2,2:09.435,0,,11.942,0,1:23.546,0,33.947,0,167.4,5:40.980,09:25:40.980,0:11.942,1:23.546,0:33.947,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,3,2:38.658,0,B,13.046,0,1:28.795,0,56.817,0,136.6,8:19.638,09:28:19.638,0:13.046,1:28.795,0:56.817,,Madison Snow,,GTD,,Paul Miller Racing,BMW,RF,
1,2,4,3:44.146,0,,1:38.894,0,1:24.537,0,40.715,0,96.7,12:03.784,09:32:03.784,1:38.894,1:24.537,0:40.715,,Madison Snow,0:01:39.054,GTD,,Paul Miller Racing,BMW,GF,
1,2,5,2:00.781,0,,11.586,0,1:15.594,0,33.601,0,179.4,14:04.565,09:34:04.565,0:11.586,1:15.594,0:33.601,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,6,1:59.898,2,,11.408,2,1:14.891,2,33.599,2,180.7,16:04.463,09:36:04.463,0:11.408,1:14.891,0:33.599,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,7,2:46.187,0,B,12.208,0,1:30.193,0,1:03.786,0,130.4,18:50.650,09:38:50.650,0:12.208,1:30.193,1:03.786,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
10,1,1,52:12.705,0,,50:22.752,0,1:17.168,0,32.785,0,6.9,52:12.705,10:12:12.705,50:22.752,1:17.168,0:32.785,,Ricky Taylor,0:50:13.590,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,1,2,1:54.545,0,,10.342,0,1:12.495,0,31.708,0,189.2,54:07.250,10:14:07.250,0:10.342,1:12.495,0:31.708,,Ricky Taylor,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,1,3,1:51.037,0,,9.574,0,1:07.529,0,33.934,0,195.1,55:58.287,10:15:58.287,0:09.574,1:07.529,0:33.934,,Ricky Taylor,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,1,4,1:45.895,0,,9.531,0,1:06.912,0,29.452,0,204.6,57:44.182,10:17:44.182,0:09.531,1:06.912,0:29.452,,Ricky Taylor,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,1,5,1:45.301,2,,9.459,3,1:06.579,2,29.263,2,205.8,59:29.483,10:19:29.483,0:09.459,1:06.579,0:29.263,,Ricky Taylor,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,1,6,2:21.266,0,B,9.556,0,1:20.230,0,51.480,0,153.4,1:01:50.749,10:21:50.749,0:09.556,1:20.230,0:51.480,,Ricky Taylor,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
11,1,1,52:35.196,0,,50:35.052,0,1:23.207,0,36.937,0,6.9,52:35.196,10:12:35.196,50:35.052,1:23.207,0:36.937,,Steven Thomas,0:50:24.671,LMP2,,PR1 Mathiasen Motorsports,ORECA,GF,
11,1,2,1:53.494,0,,10.658,0,1:11.747,0,31.089,0,190.9,54:28.690,10:14:28.690,0:10.658,1:11.747,0:31.089,,Steven Thomas,,LMP2,,PR1 Mathiasen Motorsports,ORECA,GF,
11,1,3,1:51.611,0,,10.146,0,1:10.247,0,31.218,0,194.1,56:20.301,10:16:20.301,0:10.146,1:10.247,0:31.218,,Steven Thomas,,LMP2,,PR1 Mathiasen Motorsports,ORECA,GF,
11,1,4,1:52.787,0,,10.121,0,1:10.903,0,31.763,0,192.1,58:13.088,10:18:13.088,0:10.121,1:10.903,0:31.763,,Steven Thomas,,LMP2,,PR1 Mathiasen Motorsports,ORECA,GF,
11,1,5,1:52.261,0,,10.135,0,1:10.802,0,31.324,0,193.0,1:00:05.349,10:20:05.349,0:10.135,1:10.802,0:31.324,,Steven Thomas,,LMP2,,PR1 Mathiasen Motorsports,ORECA,GF,
11,1,6,1:51.761,0,,10.116,0,1:10.221,0,31.424,0,193.9,1:01:57.110,10:21:57.110,0:10.116,1:10.221,0:31.424,,Steven Thomas,,LMP2,,PR1 Mathiasen Motorsports,ORECA,GF,
11,1,7,1:51.841,0,,10.080,2,1:10.272,0,31.489,0,193.7,1:03:48.951,10:23:48.951,0:10.080,1:10.272,0:31.489,,Steven Thomas,,LMP2,,PR1 Mathiasen Motorsports,ORECA,GF,
11,1,8,1:50.732,2,,10.225,0,1:09.593,2,30.914,2,195.7,1:05:39.683,10:25:39.683,0:10.225,1:09.593,0:30.914,,Steven Thomas,,LMP2,,PR1 Mathiasen Motorsports,ORECA,FF,
12,1,1,2:51.756,0,,41.386,0,1:28.599,0,41.771,0,126.2,2:51.756,09:22:51.756,0:41.386,1:28.599,0:41.771,,Frankie Montecalvo,0:00:29.833,GTD,,VasserSullivan,Lexus,GF,
12,1,2,2:02.683,0,,11.875,0,1:17.015,0,33.793,2,176.6,4:54.439,09:24:54.439,0:11.875,1:17.015,0:33.793,,Frankie Montecalvo,,GTD,,VasserSullivan,Lexus,GF,
12,1,3,2:28.942,0,B,11.277,2,1:25.248,0,52.417,0,145.5,7:23.381,09:27:23.381,0:11.277,1:25.248,0:52.417,,Frankie Montecalvo,,GTD,,VasserSullivan,Lexus,RF,
12,1,4,4:15.322,0,,2:19.325,0,1:18.955,0,37.042,0,84.9,11:38.703,09:31:38.703,2:19.325,1:18.955,0:37.042,,Frankie Montecalvo,0:02:19.905,GTD,,VasserSullivan,Lexus,GF,
12,1,5,2:01.536,2,,11.438,0,1:16.270,2,33.828,0,178.3,13:40.239,09:33:40.239,0:11.438,1:16.270,0:33.828,,Frankie Montecalvo,,GTD,,VasserSullivan,Lexus,GF,
