NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,2,1,2:33.249,0,B,1:19.215,0,34.530,0,39.504,0,74.4,2:33.249,09:17:33.249,1:19.215,0:34.530,0:39.504,,Sebastien Bourdais,0:00:47.862,DPi,,Cadillac Racing,Cadillac,GF,
01,2,2,4:30.948,0,B,3:22.312,0,31.579,0,37.057,0,42.1,7:04.197,09:22:04.197,3:22.312,0:31.579,0:37.057,,Sebastien Bourdais,0:03:08.866,DPi,,Cadillac Racing,Cadillac,GF,
01,2,3,2:07.930,0,,1:16.231,0,29.136,0,22.563,0,89.1,9:12.127,09:24:12.127,1:16.231,0:29.136,0:22.563,,Sebastien Bourdais,0:01:07.886,DPi,,Cadillac Racing,Cadillac,GF,
01,2,4,1:17.597,0,,25.864,0,29.351,0,22.382,0,146.9,10:29.724,09:25:29.724,0:25.864,0:29.351,0:22.382,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,5,1:15.290,0,,24.294,0,28.916,0,22.080,0,151.4,11:45.014,09:26:45.014,0:24.294,0:28.916,0:22.080,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,6,1:34.446,0,B,25.215,0,28.934,0,40.297,0,120.7,13:19.460,09:28:19.460,0:25.215,0:28.934,0:40.297,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,RF,
01,2,7,15:32.108,0,,14:34.806,0,33.547,0,23.755,0,12.2,28:51.568,09:43:51.568,14:34.806,0:33.547,0:23.755,,Sebastien Bourdais,0:14:23.103,DPi,,Cadillac Racing,Cadillac,GF,
01,2,8,1:15.686,0,,24.795,0,28.672,0,22.219,0,150.6,30:07.254,09:45:07.254,0:24.795,0:28.672,0:22.219,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,9,1:41.607,0,B,25.641,0,31.737,0,44.229,0,112.2,31:48.861,09:46:48.861,0:25.641,0:31.737,0:44.229,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,RF,
01,2,10,9:12.200,0,,8:16.201,0,31.547,0,24.452,0,20.6,41:01.061,09:56:01.061,8:16.201,0:31.547,0:24.452,,Sebastien Bourdais,0:08:08.330,DPi,,Cadillac Racing,Cadillac,GF,
01,2,11,1:40.540,0,B,25.126,0,33.784,0,41.630,0,113.4,42:41.601,09:57:41.601,0:25.126,0:33.784,0:41.630,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,RF,
01,2,12,2:27.330,0,,1:34.709,0,29.510,0,23.111,0,77.4,45:08.931,10:00:08.931,1:34.709,0:29.510,0:23.111,,Sebastien Bourdais,0:01:25.746,DPi,,Cadillac Racing,Cadillac,GF,
01,2,13,1:18.443,0,,26.084,0,29.089,0,23.270,0,145.4,46:27.374,10:01:27.374,0:26.084,0:29.089,0:23.270,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,14,1:15.117,0,,24.447,0,28.612,0,22.058,0,151.8,47:42.491,10:02:42.491,0:24.447,0:28.612,0:22.058,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,15,1:13.642,2,,23.971,2,27.881,2,21.790,2,154.8,48:56.133,10:03:56.133,0:23.971,0:27.881,0:21.790,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,16,1:15.350,0,,24.137,0,28.028,0,23.185,0,151.3,50:11.483,10:05:11.483,0:24.137,0:28.028,0:23.185,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,17,1:27.798,0,B,24.346,0,28.166,0,35.286,0,129.9,51:39.281,10:06:39.281,0:24.346,0:28.166,0:35.286,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,1,18,4:10.743,0,,3:16.959,0,29.466,0,24.318,0,45.5,55:50.024,10:10:50.024,3:16.959,0:29.466,0:24.318,,Renger van der Zande,0:03:07.494,DPi,,Cadillac Racing,Cadillac,GF,
01,1,19,1:18.477,0,,25.917,0,28.915,1,23.645,1,145.3,57:08.501,10:12:08.501,0:25.917,0:28.915,0:23.645,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,GF,
01,1,20,1:44.684,0,B,24.900,1,37.271,0,42.513,0,108.9,58:53.185,10:13:53.185,0:24.900,0:37.271,0:42.513,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,RF,
02,2,1,2:10.492,0,B,54.410,0,35.175,0,40.907,0,87.4,2:10.492,09:17:10.492,0:54.410,0:35.175,0:40.907,,Alex Lynn,0:00:23.994,DPi,,Cadillac Racing,Cadillac,GF,
02,2,2,6:12.558,0,B,5:02.714,0,32.318,0,37.526,0,30.6,8:23.050,09:23:23.050,5:02.714,0:32.318,0:37.526,,Alex Lynn,0:04:51.291,DPi,,Cadillac Racing,Cadillac,GF,
02,1,3,2:30.787,0,B,1:23.636,0,30.758,0,36.393,0,75.6,10:53.837,09:25:53.837,1:23.636,0:30.758,0:36.393,,Earl Bamber,0:01:13.251,DPi,,Cadillac Racing,Cadillac,GF,
02,2,4,2:41.801,0,B,1:23.640,0,36.819,0,41.342,0,70.5,13:35.638,09:28:35.638,1:23.640,0:36.819,0:41.342,,Alex Lynn,0:01:08.970,DPi,,Cadillac Racing,Cadillac,RF,
02,2,5,15:17.285,0,,14:20.583,0,32.573,0,24.129,0,12.4,28:52.923,09:43:52.923,14:20.583,0:32.573,0:24.129,,Alex Lynn,0:14:10.807,DPi,,Cadillac Racing,Cadillac,GF,
02,2,6,1:17.621,0,,25.606,0,29.191,0,22.824,0,146.9,30:10.544,09:45:10.544,0:25.606,0:29.191,0:22.824,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,7,1:38.970,0,B,25.248,0,31.962,0,41.760,0,115.2,31:49.514,09:46:49.514,0:25.248,0:31.962,0:41.760,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,RF,
02,2,8,5:08.047,0,,4:14.886,0,29.844,0,23.317,0,37.0,36:57.561,09:51:57.561,4:14.886,0:29.844,0:23.317,,Alex Lynn,0:04:06.245,DPi,,Cadillac Racing,Cadillac,GF,
02,2,9,1:16.978,0,,25.330,0,29.054,0,22.594,0,148.1,38:14.539,09:53:14.539,0:25.330,0:29.054,0:22.594,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,10,1:16.270,0,,24.843,0,28.824,0,22.603,0,149.5,39:30.809,09:54:30.809,0:24.843,0:28.824,0:22.603,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,11,1:18.470,0,,24.763,0,28.578,0,25.129,0,145.3,40:49.279,09:55:49.279,0:24.763,0:28.578,0:25.129,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,12,1:39.847,0,B,25.137,0,35.896,0,38.814,0,114.2,42:29.126,09:57:29.126,0:25.137,0:35.896,0:38.814,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,RF,
02,2,13,2:30.419,0,,1:37.310,0,30.341,0,22.768,0,75.8,44:59.545,09:59:59.545,1:37.310,0:30.341,0:22.768,,Alex Lynn,0:01:27.451,DPi,,Cadillac Racing,Cadillac,GF,
02,2,14,1:17.284,0,,25.734,0,29.164,0,22.386,0,147.5,46:16.829,10:01:16.829,0:25.734,0:29.164,0:22.386,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,15,1:15.045,0,,24.263,0,28.312,0,22.470,0,151.9,47:31.874,10:02:31.874,0:24.263,0:28.312,0:22.470,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,16,1:16.585,0,,24.755,0,28.745,0,23.085,0,148.9,48:48.459,10:03:48.459,0:24.755,0:28.745,0:23.085,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,17,1:17.026,0,,25.340,0,29.336,0,22.350,0,148.0,50:05.485,10:05:05.485,0:25.340,0:29.336,0:22.350,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,18,1:15.451,0,,24.516,0,28.922,0,22.013,2,151.1,51:20.936,10:06:20.936,0:24.516,0:28.922,0:22.013,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,19,1:14.509,2,,24.173,2,28.110,1,22.226,0,153.0,52:35.445,10:07:35.445,0:24.173,0:28.110,0:22.226,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,20,1:27.434,0,B,24.368,0,28.153,0,34.913,0,130.4,54:02.879,10:09:02.879,0:24.368,0:28.153,0:34.913,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,1,21,2:03.105,0,,1:11.579,0,29.290,0,22.236,1,92.6,56:05.984,10:11:05.984,1:11.579,0:29.290,0:22.236,,Earl Bamber,0:01:01.466,DPi,,Cadillac Racing,Cadillac,GF,
02,1,22,1:16.475,0,,24.543,0,27.980,2,23.952,0,149.1,57:22.459,10:12:22.459,0:24.543,0:27.980,0:23.952,,Earl Bamber,,DPi,,Cadillac Racing,Cadillac,GF,
02,1,23,1:46.173,0,B,24.251,1,39.459,0,42.463,0,107.4,59:08.632,10:14:08.632,0:24.251,0:39.459,0:42.463,,Earl Bamber,,DPi,,Cadillac Racing,Cadillac,RF,
1,2,1,2:23.715,0,B,1:08.987,0,35.021,0,39.707,0,79.3,2:23.715,09:17:23.715,1:08.987,0:35.021,0:39.707,,Madison Snow,0:00:37.969,GTD,,Paul Miller Racing,BMW,GF,
1,2,2,3:14.235,0,,2:17.542,0,31.995,0,24.698,0,58.7,5:37.950,09:20:37.950,2:17.542,0:31.995,0:24.698,,Madison Snow,0:02:06.957,GTD,,Paul Miller Racing,BMW,GF,
1,2,3,1:22.379,0,,27.095,0,30.991,0,24.293,0,138.4,7:00.329,09:22:00.329,0:27.095,0:30.991,0:24.293,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,4,1:21.275,0,,26.649,0,30.686,0,23.940,2,140.3,8:21.604,09:23:21.604,0:26.649,0:30.686,0:23.940,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,5,1:21.116,0,,26.407,0,30.483,0,24.226,0,140.6,9:42.720,09:24:42.720,0:26.407,0:30.483,0:24.226,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,6,1:21.351,0,,26.299,1,30.434,1,24.618,0,140.2,11:04.071,09:26:04.071,0:26.299,0:30.434,0:24.618,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,7,1:33.328,0,B,26.748,0,30.597,0,35.983,0,122.2,12:37.399,09:27:37.399,0:26.748,0:30.597,0:35.983,,Madison Snow,,GTD,,Paul Miller Racing,BMW,RF,
1,1,8,16:56.588,0,,15:50.612,0,34.487,0,31.489,0,11.2,29:33.987,09:44:33.987,15:50.612,0:34.487,0:31.489,,Bryan Sellers,0:15:37.825,GTD,,Paul Miller Racing,BMW,GF,
1,1,9,1:22.409,0,,26.841,0,30.981,0,24.587,0,138.4,30:56.396,09:45:56.396,0:26.841,0:30.981,0:24.587,,Bryan Sellers,,GTD,,Paul Miller Racing,BMW,RF,
1,1,10,1:49.059,0,B,29.148,0,40.453,0,39.458,0,104.5,32:45.455,09:47:45.455,0:29.148,0:40.453,0:39.458,,Bryan Sellers,,GTD,,Paul Miller Racing,BMW,RF,
1,1,11,4:44.867,0,,3:45.026,0,32.800,0,27.041,0,40.0,37:30.322,09:52:30.322,3:45.026,0:32.800,0:27.041,,Bryan Sellers,0:03:33.495,GTD,,Paul Miller Racing,BMW,GF,
