NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,2,1,1:48.169,0,,51.714,0,35.889,0,20.566,0,119.9,1:48.169,08:01:48.169,0:51.714,0:35.889,0:20.566,,Sebastien Bourdais,0:00:08.610,DPi,,Cadillac Racing,Cadillac,GF,
01,2,2,1:24.423,0,,32.480,0,32.833,0,19.110,0,153.6,3:12.592,08:03:12.592,0:32.480,0:32.833,0:19.110,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,3,1:19.382,0,,29.925,0,30.937,0,18.520,0,163.3,4:31.974,08:04:31.974,0:29.925,0:30.937,0:18.520,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,4,1:19.327,0,,30.000,0,30.766,0,18.561,0,163.5,5:51.301,08:05:51.301,0:30.000,0:30.766,0:18.561,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,5,1:17.223,0,,28.787,0,30.283,0,18.153,1,167.9,7:08.524,08:07:08.524,0:28.787,0:30.283,0:18.153,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,6,1:18.792,0,,28.568,0,30.451,0,19.773,0,164.6,8:27.316,08:08:27.316,0:28.568,0:30.451,0:19.773,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,7,1:16.376,0,,28.482,1,29.730,0,18.164,0,169.8,9:43.692,08:09:43.692,0:28.482,0:29.730,0:18.164,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,8,2:06.393,0,B,28.710,0,29.474,1,1:08.209,0,102.6,11:50.085,08:11:50.085,0:28.710,0:29.474,1:08.209,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,1,9,1:24.026,0,,34.637,0,30.626,0,18.763,0,154.3,13:14.111,08:13:14.111,0:34.637,0:30.626,0:18.763,,Renger van der Zande,0:01:01.299,DPi,,Cadillac Racing,Cadillac,GF,
01,1,10,1:16.110,2,,28.516,0,29.548,0,18.046,2,170.4,14:30.221,08:14:30.221,0:28.516,0:29.548,0:18.046,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,GF,
01,1,11,1:18.732,0,,28.563,0,30.497,0,19.672,0,164.7,15:48.953,08:15:48.953,0:28.563,0:30.497,0:19.672,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,GF,
01,1,12,1:16.352,0,,28.453,2,29.316,3,18.583,0,169.8,17:05.305,08:17:05.305,0:28.453,0:29.316,0:18.583,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,GF,
01,1,13,1:18.171,0,,28.782,0,31.245,0,18.144,0,165.9,18:23.476,08:18:23.476,0:28.782,0:31.245,0:18.144,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,GF,
01,1,14,1:18.194,0,,29.173,0,30.328,0,18.693,0,165.8,19:41.670,08:19:41.670,0:29.173,0:30.328,0:18.693,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,GF,
01,1,15,1:16.817,0,,28.711,0,29.514,0,18.592,0,168.8,20:58.487,08:20:58.487,0:28.711,0:29.514,0:18.592,,Renger van der Zande,,DPi,,Cadillac Racing,Cadillac,FF,
02,2,1,3:07.659,0,B,1:10.568,0,40.752,0,1:16.339,0,69.1,3:07.659,08:03:07.659,1:10.568,0:40.752,1:16.339,,Alex Lynn,0:00:19.103,DPi,,Cadillac Racing,Cadillac,GF,
