NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,2,1,56:37.720,0,,54:26.968,0,1:21.175,0,49.577,2,6.9,56:37.720,11:56:37.720,54:26.968,1:21.175,0:49.577,,Sebastien Bourdais,0:54:07.572,DPi,,Cadillac Racing,Cadillac,GF,
01,2,2,2:26.345,0,,20.881,0,1:31.534,0,33.930,0,160.3,59:04.065,11:59:04.065,0:20.881,1:31.534,0:33.930,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
01,2,3,1:51.311,0,,13.630,0,1:04.612,0,33.069,0,210.7,1:00:55.376,12:00:55.376,0:13.630,1:04.612,0:33.069,,Sebastien Bourdais,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,1,55:54.357,0,,54:06.403,0,1:12.032,0,35.922,0,7.0,55:54.357,11:55:54.357,54:06.403,1:12.032,0:35.922,,Alex Lynn,0:53:51.083,DPi,,Cadillac Racing,Cadillac,GF,
02,2,2,2:12.364,0,,14.415,0,1:21.286,0,36.663,0,177.2,58:06.721,11:58:06.721,0:14.415,1:21.286,0:36.663,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,3,1:49.097,2,,13.353,0,1:02.842,2,32.902,2,215.0,59:55.818,11:59:55.818,0:13.353,1:02.842,0:32.902,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,4,1:58.394,0,,13.312,0,1:10.517,0,34.565,0,198.1,1:01:54.212,12:01:54.212,0:13.312,1:10.517,0:34.565,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,GF,
02,2,5,2:29.842,0,B,13.219,2,1:07.477,0,1:09.146,0,156.5,1:04:24.054,12:04:24.054,0:13.219,1:07.477,1:09.146,,Alex Lynn,,DPi,,Cadillac Racing,Cadillac,RF,
1,2,1,3:09.554,0,,1:05.386,0,1:24.431,0,39.737,0,123.7,3:09.554,11:03:09.554,1:05.386,1:24.431,0:39.737,,Madison Snow,0:00:47.288,GTD,,Paul Miller Racing,BMW,GF,
1,2,2,2:11.724,0,,16.209,0,1:15.730,0,39.785,0,178.0,5:21.278,11:05:21.278,0:16.209,1:15.730,0:39.785,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,3,2:06.688,0,,15.710,0,1:12.916,0,38.062,2,185.1,7:27.966,11:07:27.966,0:15.710,1:12.916,0:38.062,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,4,2:06.674,2,,15.645,2,1:12.842,2,38.187,0,185.1,9:34.640,11:09:34.640,0:15.645,1:12.842,0:38.187,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,5,2:35.154,0,B,17.061,0,1:20.898,0,57.195,0,151.2,12:09.794,11:12:09.794,0:17.061,1:20.898,0:57.195,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
10,2,1,52:13.866,0,,50:25.891,0,1:12.025,0,35.950,0,7.5,52:13.866,11:52:13.866,50:25.891,1:12.025,0:35.950,,Filipe Albuquerque,0:50:10.997,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,2,2,1:55.904,0,,14.510,0,1:07.310,0,34.084,0,202.3,54:09.770,11:54:09.770,0:14.510,1:07.310,0:34.084,,Filipe Albuquerque,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,2,3,1:49.303,0,,13.354,0,1:03.056,0,32.893,3,214.6,55:59.073,11:55:59.073,0:13.354,1:03.056,0:32.893,,Filipe Albuquerque,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,2,4,1:48.955,0,,13.176,3,1:02.882,0,32.897,0,215.3,57:48.028,11:57:48.028,0:13.176,1:02.882,0:32.897,,Filipe Albuquerque,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,2,5,1:48.915,3,,13.205,0,1:02.808,3,32.902,0,215.3,59:36.943,11:59:36.943,0:13.205,1:02.808,0:32.902,,Filipe Albuquerque,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
10,2,6,2:21.671,0,B,14.418,0,1:14.858,0,52.395,0,165.5,1:01:58.614,12:01:58.614,0:14.418,1:14.858,0:52.395,,Filipe Albuquerque,,DPi,,Konica Minolta Acura ARX-05,Acura,GF,
11,1,1,52:28.417,0,,50:31.334,0,1:15.674,0,41.409,0,7.4,52:28.417,11:52:28.417,50:31.334,1:15.674,0:41.409,,Steven Thomas,0:50:15.155,LMP2,,PR1 Mathiasen Motorsports,ORECA,GF,
11,1,2,1:56.423,0,,14.506,0,1:07.332,0,34.585,0,201.4,54:24.840,11:54:24.840,0:14.506,1:07.332,0:34.585,,Steven Thomas,,LMP2,,PR1 Mathiasen Motorsports,ORECA,GF,
