TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1661611220,27-Aug-22 14:40:20,81.60008,89.00006,74,29.970984393,1.3,252,-1,
1661611280,27-Aug-22 14:41:20,81.69998,89.00006,74,29.972165597,0.6,229,-1,
1661611340,27-Aug-22 14:42:20,81.80006,89.99996,74,29.97009849,0.6,229,-1,
1661611400,27-Aug-22 14:43:20,81.80006,89.99996,74,29.972165597,0.6,204,-1,
1661611460,27-Aug-22 14:44:20,82.00004,89.99996,74,29.970984393,0.6,200,-1,
1661611520,27-Aug-22 14:45:20,82.00004,89.99996,74,29.972165597,1.3,200,-1,
1661611580,27-Aug-22 14:46:20,82.20002,89.99996,74,29.970984393,0.6,169,-1,
1661611640,27-Aug-22 14:47:20,82.29992,91.00004,74,29.972165597,0.6,169,-1,
1661611701,27-Aug-22 14:48:21,82.4,91.00004,73,29.970984393,0.6,172,-1,
1661611761,27-Aug-22 14:49:21,82.70006,91.00004,73,29.970984393,1.9,260,-1,
1661611821,27-Aug-22 14:50:21,82.79996,91.00004,72,29.972165597,1.9,286,-1,
1661611881,27-Aug-22 14:51:21,82.90004,91.00004,72,29.972165597,0.6,286,-1,
1661611941,27-Aug-22 14:52:21,82.99994,91.00004,72,29.970984393,0,286,-1,
1661612001,27-Aug-22 14:53:21,83.10002,91.00004,71,29.972165597,0,286,-1,
1661612061,27-Aug-22 14:54:21,83.19992,91.00004,71,29.9730515,0.6,286,-1,
1661612121,27-Aug-22 14:55:21,83.40008,91.00004,71,29.9730515,1.3,298,-1,
1661612181,27-Aug-22 14:56:21,83.49998,91.00004,71,29.975118607,0.6,309,-1,
1661612241,27-Aug-22 14:57:21,83.60006,91.00004,71,29.9730515,0.6,309,-1,
1661612301,27-Aug-22 14:58:21,83.69996,91.00004,71,29.9730515,0,309,-1,
1661612362,27-Aug-22 14:59:22,83.89994,91.00004,71,29.9730515,0,309,-1,
1661612422,27-Aug-22 15:00:22,84.00002,91.00004,71,29.975118607,0,309,-1,
1661612482,27-Aug-22 15:01:22,84.2,91.00004,70,29.975118607,1.3,201,-1,
1661612542,27-Aug-22 15:02:22,84.30008,91.99994,69,29.975118607,1.3,196,-1,
1661612602,27-Aug-22 15:03:22,84.39998,91.99994,69,29.974232704,1.9,201,-1,
1661612662,27-Aug-22 15:04:22,84.50006,91.99994,69,29.975118607,2.6,169,-1,
1661612722,27-Aug-22 15:05:22,84.50006,91.99994,69,29.975118607,1.3,169,-1,
1661612782,27-Aug-22 15:06:22,84.50006,91.99994,69,29.974232704,0.6,146,-1,
1661612842,27-Aug-22 15:07:22,84.50006,91.99994,69,29.9730515,1.9,140,-1,
1661612902,27-Aug-22 15:08:22,84.39998,93.00002,69,29.975118607,0.6,140,-1,
1661612962,27-Aug-22 15:09:22,84.50006,93.00002,69,29.9730515,0.6,140,-1,
1661613023,27-Aug-22 15:10:23,84.59996,93.00002,68,29.9730515,1.3,296,-1,
1661613083,27-Aug-22 15:11:23,84.70004,91.99994,67,29.9730515,1.3,292,-1,
1661613143,27-Aug-22 15:12:23,84.79994,91.99994,67,29.9730515,2.6,342,-1,
1661613203,27-Aug-22 15:13:23,84.99992,91.99994,66,29.972165597,1.9,181,-1,
1661613263,27-Aug-22 15:14:23,84.99992,93.00002,67,29.9730515,1.3,225,-1,
1661613323,27-Aug-22 15:15:23,85.1,93.00002,65,29.9730515,1.9,264,-1,
1661613383,27-Aug-22 15:16:23,85.20008,91.99994,65,29.97600451,2.6,274,-1,
1661613443,27-Aug-22 15:17:23,85.29998,91.99994,65,29.974232704,3.9,278,-1,
1661613503,27-Aug-22 15:18:23,85.40006,91.99994,66,29.974232704,2.6,306,-1,
1661613563,27-Aug-22 15:19:23,85.40006,91.99994,66,29.975118607,1.9,280,-1,
1661613623,27-Aug-22 15:20:23,85.20008,91.99994,65,29.974232704,1.3,291,-1,
1661613684,27-Aug-22 15:21:24,85.20008,91.99994,65,29.974232704,1.9,273,-1,
1661613754,27-Aug-22 15:22:34,84.99992,93.00002,65,29.974232704,1.9,279,-1,
1661613814,27-Aug-22 15:23:34,84.90002,93.00002,66,29.974232704,1.3,280,-1,
1661613874,27-Aug-22 15:24:34,84.90002,93.00002,66,29.974232704,0,280,-1,
1661613934,27-Aug-22 15:25:34,84.90002,93.00002,66,29.9730515,2.6,297,-1,
1661613994,27-Aug-22 15:26:34,84.99992,93.00002,66,29.9730515,3.2,298,-1,
1661614054,27-Aug-22 15:27:34,84.99992,93.00002,66,29.9730515,2.6,216,-1,
1661614114,27-Aug-22 15:28:34,84.99992,93.00002,66,29.9730515,1.9,277,-1,
1661614174,27-Aug-22 15:29:34,84.99992,93.00002,66,29.974232704,1.9,253,-1,
1661614234,27-Aug-22 15:30:34,85.1,93.99992,66,29.970984393,2.6,230,-1,
1661614294,27-Aug-22 15:31:34,85.1,93.99992,65,29.972165597,2.6,228,-1,
1661614355,27-Aug-22 15:32:35,85.20008,93.99992,65,29.9730515,1.9,296,-1,
1661614415,27-Aug-22 15:33:35,85.29998,93.99992,65,29.972165597,0.6,284,-1,
1661614475,27-Aug-22 15:34:35,85.40006,93.99992,65,29.972165597,0.6,219,-1,
1661614535,27-Aug-22 15:35:35,85.40006,93.99992,65,29.972165597,2.6,293,-1,
1661614595,27-Aug-22 15:36:35,85.49996,93.99992,65,29.972165597,1.9,275,-1,
1661614655,27-Aug-22 15:37:35,85.49996,93.99992,64,29.97009849,1.9,289,-1,
1661614715,27-Aug-22 15:38:35,85.40006,93.99992,64,29.970984393,0.6,302,-1,
1661614775,27-Aug-22 15:39:35,85.40006,93.00002,65,29.972165597,1.3,326,-1,
1661614835,27-Aug-22 15:40:35,85.40006,93.00002,65,29.970984393,1.3,343,-1,
1661614900,27-Aug-22 15:41:40,85.49996,93.99992,65,29.972165597,1.3,331,-1,
1661614960,27-Aug-22 15:42:40,85.60004,93.99992,65,29.9730515,0.6,332,-1,
1661615021,27-Aug-22 15:43:41,85.69994,93.99992,66,29.972165597,1.3,173,-1,
1661615081,27-Aug-22 15:44:41,85.89992,93.99992,65,29.972165597,0.6,154,-1,
1661615141,27-Aug-22 15:45:41,85.89992,93.99992,65,29.97009849,0.6,154,-1,
1661615201,27-Aug-22 15:46:41,86.10008,95,65,29.969212587,0,154,-1,
1661615261,27-Aug-22 15:47:41,86.19998,95,65,29.970984393,0,154,-1,
1661615321,27-Aug-22 15:48:41,86.39996,95,65,29.97009849,0,154,-1,
1661615381,27-Aug-22 15:49:41,86.50004,95,64,29.97009849,2.6,137,-1,
1661615441,27-Aug-22 15:50:41,86.59994,96.00008,64,29.969212587,1.9,132,-1,
1661615501,27-Aug-22 15:51:41,86.59994,96.00008,64,29.97009849,2.6,161,-1,
1661615561,27-Aug-22 15:52:41,86.59994,96.00008,64,29.97009849,0.6,161,-1,
1661615622,27-Aug-22 15:53:42,86.59994,96.00008,64,29.97009849,2.6,182,-1,
1661615682,27-Aug-22 15:54:42,86.59994,96.00008,64,29.969212587,1.9,115,-1,
1661615742,27-Aug-22 15:55:42,86.59994,96.00008,64,29.968031383,0.6,141,-1,
1661615802,27-Aug-22 15:56:42,86.50004,96.00008,64,29.969212587,2.6,113,-1,
1661615862,27-Aug-22 15:57:42,86.50004,96.00008,63,29.968031383,1.9,109,-1,
1661615922,27-Aug-22 15:58:42,86.50004,96.00008,63,29.968031383,0.6,105,-1,
1661615982,27-Aug-22 15:59:42,86.50004,96.00008,64,29.968031383,0.6,68,-1,
1661616042,27-Aug-22 16:00:42,86.59994,96.00008,64,29.96714548,1.9,200,-1,
