TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1674331813,21-Jan-23 20:10:13,65.60006,74.66,66,30.047172051,3.9,90,-1,
1674331878,21-Jan-23 20:11:18,65.49998,74.66,67,30.048057954,3.2,85,-1,
1674331938,21-Jan-23 20:12:18,65.40008,74.66,67,30.048057954,2.6,111,-1,
1674331998,21-Jan-23 20:13:18,65.40008,74.66,67,30.049239158,3.2,79,-1,
1674332058,21-Jan-23 20:14:18,65.40008,74.66,67,30.053078071,1.3,62,-1,
1674332118,21-Jan-23 20:15:18,65.3,74.48,67,30.055145178,2.6,45,-1,
1674332179,21-Jan-23 20:16:19,65.40008,74.48,67,30.056031081,1.9,40,-1,
1674332239,21-Jan-23 20:17:19,65.40008,74.48,67,30.055145178,1.9,78,-1,
1674332299,21-Jan-23 20:18:19,65.40008,74.48,67,30.053078071,3.9,71,-1,
1674332359,21-Jan-23 20:19:19,65.40008,74.48,67,30.053078071,1.9,95,-1,
1674332419,21-Jan-23 20:20:19,65.40008,74.48,67,30.054259275,1.3,355,-1,
1674332479,21-Jan-23 20:21:19,65.40008,74.48,67,30.053078071,2.6,76,-1,
1674332539,21-Jan-23 20:22:19,65.49998,74.48,67,30.053078071,1.9,58,-1,
1674332599,21-Jan-23 20:23:19,65.49998,74.48,67,30.054259275,1.3,61,-1,
1674332659,21-Jan-23 20:24:19,65.49998,74.48,67,30.056031081,1.3,89,-1,
1674332719,21-Jan-23 20:25:19,65.49998,74.48,67,30.058098188,0.6,117,-1,
1674332779,21-Jan-23 20:26:19,65.49998,74.48,67,30.058984091,1.3,101,-1,
1674332840,21-Jan-23 20:27:20,65.60006,74.48,67,30.062232402,1.9,94,-1,
1674332900,21-Jan-23 20:28:20,65.60006,74.3,67,30.061051198,0.6,9,-1,
1674332960,21-Jan-23 20:29:20,65.60006,74.3,67,30.062232402,0.6,9,-1,
1674333020,21-Jan-23 20:30:20,65.69996,74.3,67,30.063118305,1.9,115,-1,
1674333080,21-Jan-23 20:31:20,65.69996,74.3,67,30.063118305,1.3,115,-1,
