NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,1,1,29:48.260,0,,28:44.959,0,36.692,0,26.609,0,6.4,29:48.260,17:44:48.260,28:44.959,0:36.692,0:26.609,,Sebastien Bourdais,0:28:15.777,GTP,,Cadillac Racing,Cadillac,GF,
01,1,2,1:25.350,0,,28.738,0,31.959,0,24.653,0,133.6,31:13.610,17:46:13.610,0:28.738,0:31.959,0:24.653,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,3,1:20.014,0,,25.592,0,30.508,0,23.914,0,142.5,32:33.624,17:47:33.624,0:25.592,0:30.508,0:23.914,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,4,1:17.558,0,,25.502,0,29.218,0,22.838,0,147.0,33:51.182,17:48:51.182,0:25.502,0:29.218,0:22.838,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,5,1:14.604,0,,24.631,0,27.650,0,22.323,0,152.8,35:05.786,17:50:05.786,0:24.631,0:27.650,0:22.323,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,6,1:13.009,0,,23.898,0,27.303,0,21.808,0,156.2,36:18.795,17:51:18.795,0:23.898,0:27.303,0:21.808,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,7,1:12.995,0,,24.175,0,27.278,0,21.542,0,156.2,37:31.790,17:52:31.790,0:24.175,0:27.278,0:21.542,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,8,1:11.541,0,,23.315,0,26.872,0,21.354,0,159.4,38:43.331,17:53:43.331,0:23.315,0:26.872,0:21.354,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,9,1:16.345,0,,24.064,0,29.156,0,23.125,0,149.3,39:59.676,17:54:59.676,0:24.064,0:29.156,0:23.125,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,10,1:11.078,0,,23.272,0,26.630,2,21.176,0,160.4,41:10.754,17:56:10.754,0:23.272,0:26.630,0:21.176,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,11,1:23.399,0,,24.234,0,32.559,0,26.606,0,136.7,42:34.153,17:57:34.153,0:24.234,0:32.559,0:26.606,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,12,1:11.132,0,,23.230,0,26.846,0,21.056,0,160.3,43:45.285,17:58:45.285,0:23.230,0:26.846,0:21.056,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,13,1:10.981,2,,23.105,2,26.866,0,21.010,2,160.6,44:56.266,17:59:56.266,0:23.105,0:26.866,0:21.010,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
1,2,1,1:52.451,0,,46.344,0,37.473,0,28.634,0,101.4,1:52.451,17:16:52.451,0:46.344,0:37.473,0:28.634,,Madison Snow,0:00:17.031,GTD,,Paul Miller Racing,BMW,GF,
1,2,2,1:31.114,0,,31.805,0,34.031,0,25.278,0,125.1,3:23.565,17:18:23.565,0:31.805,0:34.031,0:25.278,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,3,1:24.501,0,,27.280,0,31.551,0,25.670,0,134.9,4:48.066,17:19:48.066,0:27.280,0:31.551,0:25.670,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,4,1:21.271,0,,26.438,0,30.862,0,23.971,0,140.3,6:09.337,17:21:09.337,0:26.438,0:30.862,0:23.971,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,5,1:19.152,0,,25.931,0,29.799,0,23.422,0,144.1,7:28.489,17:22:28.489,0:25.931,0:29.799,0:23.422,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,6,1:52.902,0,,56.556,0,32.153,0,24.193,0,101.0,9:21.391,17:24:21.391,0:56.556,0:32.153,0:24.193,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,7,1:18.383,2,,25.553,0,29.555,2,23.275,0,145.5,10:39.774,17:25:39.774,0:25.553,0:29.555,0:23.275,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,8,1:22.174,0,,25.531,2,31.839,0,24.804,0,138.8,12:01.948,17:27:01.948,0:25.531,0:31.839,0:24.804,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,9,1:18.393,0,,25.568,0,29.704,0,23.121,2,145.4,13:20.341,17:28:20.341,0:25.568,0:29.704,0:23.121,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,10,1:51.273,0,B,25.626,0,37.413,0,48.234,0,102.5,15:11.614,17:30:11.614,0:25.626,0:37.413,0:48.234,,Madison Snow,,GTD,,Paul Miller Racing,BMW,RF,
10,2,1,29:12.355,0,B,27:55.467,0,37.341,0,39.547,0,6.5,29:12.355,17:44:12.355,27:55.467,0:37.341,0:39.547,,Filipe Albuquerque,0:27:23.478,GTP,,Konica Minolta Acura ARX-06,Acura,GF,
10,2,2,2:42.003,0,,1:40.165,0,35.343,0,26.495,0,70.4,31:54.358,17:46:54.358,1:40.165,0:35.343,0:26.495,,Filipe Albuquerque,0:01:26.431,GTP,,Konica Minolta Acura ARX-06,Acura,GF,
10,2,3,1:24.965,0,,28.511,0,31.427,0,25.027,0,134.2,33:19.323,17:48:19.323,0:28.511,0:31.427,0:25.027,,Filipe Albuquerque,,GTP,,Konica Minolta Acura ARX-06,Acura,GF,
10,2,4,1:20.396,0,,26.828,0,30.065,0,23.503,0,141.8,34:39.719,17:49:39.719,0:26.828,0:30.065,0:23.503,,Filipe Albuquerque,,GTP,,Konica Minolta Acura ARX-06,Acura,GF,
10,2,5,1:19.938,0,,26.464,0,29.996,0,23.478,0,142.6,35:59.657,17:50:59.657,0:26.464,0:29.996,0:23.478,,Filipe Albuquerque,,GTP,,Konica Minolta Acura ARX-06,Acura,GF,
10,2,6,1:13.318,0,,24.267,0,27.558,0,21.493,0,155.5,37:12.975,17:52:12.975,0:24.267,0:27.558,0:21.493,,Filipe Albuquerque,,GTP,,Konica Minolta Acura ARX-06,Acura,GF,
10,2,7,1:11.582,0,,23.611,0,26.902,0,21.069,0,159.3,38:24.557,17:53:24.557,0:23.611,0:26.902,0:21.069,,Filipe Albuquerque,,GTP,,Konica Minolta Acura ARX-06,Acura,GF,
10,2,8,1:10.943,0,,23.354,0,26.567,0,21.022,0,160.7,39:35.500,17:54:35.500,0:23.354,0:26.567,0:21.022,,Filipe Albuquerque,,GTP,,Konica Minolta Acura ARX-06,Acura,GF,
