NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
1,2,1,1:20.957,0,,43.586,0,23.452,0,13.919,0,105.5,1:20.957,17:41:20.957,0:43.586,0:23.452,0:13.919,,Madison Snow,0:00:13.294,GTD,,Paul Miller Racing,BMW,GF,
1,2,2,1:00.893,0,,25.406,0,22.341,0,13.146,0,140.2,2:21.850,17:42:21.850,0:25.406,0:22.341,0:13.146,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,3,57.406,0,,23.144,0,22.025,0,12.237,0,148.8,3:19.256,17:43:19.256,0:23.144,0:22.025,0:12.237,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,4,52.329,0,,21.654,0,18.839,0,11.836,0,163.2,4:11.585,17:44:11.585,0:21.654,0:18.839,0:11.836,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,5,51.878,0,,21.366,0,18.706,0,11.806,0,164.6,5:03.463,17:45:03.463,0:21.366,0:18.706,0:11.806,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,6,52.083,0,,21.346,0,18.835,0,11.902,0,164.0,5:55.546,17:45:55.546,0:21.346,0:18.835,0:11.902,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,7,56.624,0,,23.039,0,21.809,0,11.776,0,150.8,6:52.170,17:46:52.170,0:23.039,0:21.809,0:11.776,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,8,52.010,0,,21.212,2,19.108,0,11.690,2,164.2,7:44.180,17:47:44.180,0:21.212,0:19.108,0:11.690,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
1,2,9,51.643,2,,21.282,0,18.622,2,11.739,0,165.4,8:35.823,17:48:35.823,0:21.282,0:18.622,0:11.739,,Madison Snow,,GTD,,Paul Miller Racing,BMW,GF,
12,1,1,2:09.896,0,,1:25.828,0,28.812,0,15.256,0,65.7,2:09.896,17:42:09.896,1:25.828,0:28.812,0:15.256,,Frankie Montecalvo,0:00:51.317,GTD,,Vasser Sullivan,Lexus,GF,
