TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1720881318,7/13/2024 2:35:18 PM,77.39996,98.00006,67,30.617102981,0.6,23,-1,
1720881378,7/13/2024 2:36:18 PM,77.59994,98.99996,67,30.617102981,0.6,338,-1,
1720881438,7/13/2024 2:37:18 PM,77.70002,98.99996,67,30.617988884,1.3,309,-1,
1720881503,7/13/2024 2:38:23 PM,77.79992,98.99996,67,30.617988884,1.3,323,-1,
1720881563,7/13/2024 2:39:23 PM,78.00008,98.99996,67,30.619170088,0,69,-1,
1720881628,7/13/2024 2:40:28 PM,78.09998,98.99996,67,30.619170088,1.3,333,-1,
1720881693,7/13/2024 2:41:33 PM,78.29996,98.99996,66,30.621237195,1.9,310,-1,
1720881758,7/13/2024 2:42:38 PM,78.49994,98.99996,65,30.617988884,0,9,-1,
1720881823,7/13/2024 2:43:43 PM,78.60002,100.00004,64,30.619170088,0,164,-1,
1720881883,7/13/2024 2:44:43 PM,78.69992,100.00004,64,30.617988884,1.9,24,-1,
1720881943,7/13/2024 2:45:43 PM,78.8,100.00004,65,30.619170088,1.9,5,-1,
1720882003,7/13/2024 2:46:43 PM,78.69992,100.00004,65,30.619170088,1.3,26,-1,
1720882068,7/13/2024 2:47:48 PM,78.69992,100.00004,65,30.617988884,0.6,27,-1,
1720882128,7/13/2024 2:48:48 PM,78.8,100.00004,66,30.617988884,1.9,306,-1,
1720882193,7/13/2024 2:49:53 PM,78.8,100.00004,66,30.619170088,1.3,5,-1,
1720882253,7/13/2024 2:50:53 PM,78.8,100.00004,65,30.619170088,1.3,39,-1,
1720882318,7/13/2024 2:51:58 PM,78.69992,100.00004,65,30.617988884,0,78,-1,
1720882378,7/13/2024 2:52:58 PM,78.8,100.00004,65,30.617988884,0.6,288,-1,
1720882438,7/13/2024 2:53:58 PM,78.8,100.99994,65,30.617988884,0,36,-1,
1720882498,7/13/2024 2:54:58 PM,78.8,100.99994,65,30.617988884,1.9,317,-1,
1720882578,7/13/2024 2:56:18 PM,78.69992,102.00002,65,30.619170088,0.6,115,-1,
1720882638,7/13/2024 2:57:18 PM,78.69992,102.00002,65,30.617988884,0,325,-1,
1720882703,7/13/2024 2:58:23 PM,78.69992,102.00002,65,30.617988884,1.3,286,-1,
1720882763,7/13/2024 2:59:23 PM,78.49994,102.99992,65,30.617988884,0.6,284,-1,
1720882828,7/13/2024 3:00:28 PM,78.49994,102.99992,65,30.617988884,0.6,316,-1,
1720882888,7/13/2024 3:01:28 PM,78.60002,102.99992,65,30.619170088,1.3,300,-1,
1720882953,7/13/2024 3:02:33 PM,78.69992,102.99992,65,30.619170088,0.6,360,-1,
1720883018,7/13/2024 3:03:38 PM,78.69992,102.00002,65,30.619170088,1.3,49,-1,
1720883078,7/13/2024 3:04:38 PM,78.8,100.99994,65,30.619170088,0,27,-1,
1720883143,7/13/2024 3:05:43 PM,78.90008,100.00004,65,30.619170088,0.6,286,-1,
1720883203,7/13/2024 3:06:43 PM,78.99998,100.00004,65,30.621237195,0.6,317,-1,
1720883263,7/13/2024 3:07:43 PM,79.10006,100.99994,65,30.622123098,1.9,272,-1,
1720883328,7/13/2024 3:08:48 PM,79.10006,102.00002,64,30.619170088,1.9,306,-1,
1720883388,7/13/2024 3:09:48 PM,78.99998,102.00002,64,30.619170088,3.2,311,-1,
1720883453,7/13/2024 3:10:53 PM,78.90008,102.00002,64,30.622123098,1.9,284,-1,
1720883513,7/13/2024 3:11:53 PM,78.69992,100.99994,64,30.620055991,1.9,280,-1,
1720883578,7/13/2024 3:12:58 PM,78.60002,100.00004,65,30.620055991,2.6,303,-1,
1720883638,7/13/2024 3:13:58 PM,78.60002,98.99996,66,30.620055991,1.3,341,-1,
1720883708,7/13/2024 3:15:08 PM,78.60002,98.99996,66,30.619170088,1.3,326,-1,
1720883773,7/13/2024 3:16:13 PM,78.60002,98.99996,65,30.617988884,0.6,327,-1,
1720883833,7/13/2024 3:17:13 PM,78.60002,98.99996,65,30.617988884,2.6,268,-1,
1720883893,7/13/2024 3:18:13 PM,78.60002,98.99996,65,30.617988884,1.3,303,-1,
1720883958,7/13/2024 3:19:18 PM,78.49994,98.99996,65,30.620055991,1.9,305,-1,
1720884023,7/13/2024 3:20:23 PM,78.49994,98.00006,65,30.620055991,1.3,322,-1,
1720884083,7/13/2024 3:21:23 PM,78.49994,98.00006,64,30.620055991,1.3,339,-1,
1720884143,7/13/2024 3:22:23 PM,78.49994,96.99998,64,30.620055991,1.9,319,-1,
1720884203,7/13/2024 3:23:23 PM,78.40004,96.99998,64,30.622123098,1.9,298,-1,
1720884268,7/13/2024 3:24:28 PM,78.40004,96.00008,64,30.622123098,2.6,295,-1,
1720884328,7/13/2024 3:25:28 PM,78.40004,96.00008,64,30.620055991,2.6,287,-1,
1720884393,7/13/2024 3:26:33 PM,78.29996,96.99998,64,30.622123098,1.3,293,-1,
1720884453,7/13/2024 3:27:33 PM,78.29996,98.00006,65,30.622123098,1.3,290,-1,
1720884513,7/13/2024 3:28:33 PM,78.40004,98.99996,65,30.620055991,0,295,-1,
1720884578,7/13/2024 3:29:38 PM,78.40004,98.99996,64,30.619170088,0.6,274,-1,
1720884643,7/13/2024 3:30:43 PM,78.49994,100.00004,64,30.617988884,0.6,271,-1,
1720884703,7/13/2024 3:31:43 PM,78.40004,100.99994,64,30.617988884,2.6,294,-1,
1720884763,7/13/2024 3:32:43 PM,78.49994,102.00002,64,30.619170088,0.6,309,-1,
1720884823,7/13/2024 3:33:43 PM,78.49994,102.00002,64,30.617988884,1.3,318,-1,
1720884888,7/13/2024 3:34:48 PM,78.69992,102.99992,65,30.619170088,0.6,348,-1,
1720884948,7/13/2024 3:35:48 PM,78.8,102.99992,64,30.617988884,1.3,306,-1,
1720885008,7/13/2024 3:36:48 PM,78.90008,104,64,30.617988884,2.6,308,-1,
1720885073,7/13/2024 3:37:53 PM,78.99998,104,64,30.617988884,1.3,328,-1,
1720885133,7/13/2024 3:38:53 PM,79.10006,105.00008,64,30.617102981,1.3,330,-1,
