NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
01,1,1,52:06.508,0,B,50:46.411,0,31.192,0,48.905,0,4.5,52:06.508,16:32:06.508,50:46.411,0:31.192,0:48.905,,Sebastien Bourdais,0:50:17.316,GTP,,Cadillac Racing,Cadillac,GF,
01,1,2,2:25.743,0,,1:24.861,0,33.042,0,27.840,0,97.0,54:32.251,16:34:32.251,1:24.861,0:33.042,0:27.840,,Sebastien Bourdais,0:01:21.906,GTP,,Cadillac Racing,Cadillac,GF,
01,1,3,1:44.227,0,,34.009,0,44.989,0,25.229,0,135.6,56:16.478,16:36:16.478,0:34.009,0:44.989,0:25.229,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,4,1:17.181,0,,26.825,0,26.646,0,23.710,0,183.1,57:33.659,16:37:33.659,0:26.825,0:26.646,0:23.710,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,5,1:15.446,0,,25.880,0,26.205,0,23.361,0,187.3,58:49.105,16:38:49.105,0:25.880,0:26.205,0:23.361,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,6,1:14.592,3,,25.506,3,25.726,3,23.360,2,189.4,1:00:03.697,16:40:03.697,0:25.506,0:25.726,0:23.360,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,7,1:22.601,0,,31.487,0,27.537,0,23.577,0,171.1,1:01:26.298,16:41:26.298,0:31.487,0:27.537,0:23.577,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
01,1,8,1:42.837,0,B,26.899,0,28.555,0,47.383,0,137.4,1:03:09.135,16:43:09.135,0:26.899,0:28.555,0:47.383,,Sebastien Bourdais,,GTP,,Cadillac Racing,Cadillac,GF,
023,2,1,4:45.209,0,,3:44.902,0,32.180,0,28.127,0,49.5,4:45.209,15:44:45.209,3:44.902,0:32.180,0:28.127,,Charles Scardina,0:03:15.055,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,2,1:27.664,0,,30.165,0,30.218,0,27.281,0,161.2,6:12.873,15:46:12.873,0:30.165,0:30.218,0:27.281,,Charles Scardina,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,3,1:24.963,0,,29.315,0,29.213,0,26.435,2,166.3,7:37.836,15:47:37.836,0:29.315,0:29.213,0:26.435,,Charles Scardina,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,4,1:24.702,2,,29.002,0,29.189,0,26.511,0,166.8,9:02.538,15:49:02.538,0:29.002,0:29.189,0:26.511,,Charles Scardina,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,5,1:30.096,0,,29.492,0,32.829,0,27.775,0,156.8,10:32.634,15:50:32.634,0:29.492,0:32.829,0:27.775,,Charles Scardina,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,6,1:25.821,0,,29.097,0,29.081,0,27.643,0,164.7,11:58.455,15:51:58.455,0:29.097,0:29.081,0:27.643,,Charles Scardina,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,7,1:24.735,0,,28.904,0,29.164,0,26.667,0,166.8,13:23.190,15:53:23.190,0:28.904,0:29.164,0:26.667,,Charles Scardina,,GTD,,Triarsi Competizione,Ferrari,GF,
023,2,8,1:24.855,0,,28.893,2,29.047,2,26.915,0,166.5,14:48.045,15:54:48.045,0:28.893,0:29.047,0:26.915,,Charles Scardina,,GTD,,Triarsi Competizione,Ferrari,GF,
027,2,1,2:00.720,0,,54.533,0,36.086,0,30.101,0,117.1,2:00.720,15:42:00.720,0:54.533,0:36.086,0:30.101,,Roman De Angelis,0:00:21.690,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
027,2,2,1:34.338,0,,31.332,0,32.936,0,30.070,0,149.8,3:35.058,15:43:35.058,0:31.332,0:32.936,0:30.070,,Roman De Angelis,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
027,2,3,1:23.874,0,,28.758,0,28.650,0,26.466,0,168.5,4:58.932,15:44:58.932,0:28.758,0:28.650,0:26.466,,Roman De Angelis,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
027,2,4,1:23.506,2,,28.618,2,28.563,2,26.325,2,169.2,6:22.438,15:46:22.438,0:28.618,0:28.563,0:26.325,,Roman De Angelis,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
027,2,5,1:23.919,0,,28.690,0,28.742,0,26.487,0,168.4,7:46.357,15:47:46.357,0:28.690,0:28.742,0:26.487,,Roman De Angelis,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
027,2,6,1:28.360,0,,28.756,0,28.992,0,30.612,0,159.9,9:14.717,15:49:14.717,0:28.756,0:28.992,0:30.612,,Roman De Angelis,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
027,2,7,1:35.301,0,,30.951,0,34.652,0,29.698,0,148.3,10:50.018,15:50:50.018,0:30.951,0:34.652,0:29.698,,Roman De Angelis,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
027,2,8,1:45.197,0,B,28.802,0,28.845,0,47.550,0,134.3,12:35.215,15:52:35.215,0:28.802,0:28.845,0:47.550,,Roman De Angelis,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
1,1,1,1:55.128,0,,48.628,0,36.258,0,30.242,0,122.7,1:55.128,15:41:55.128,0:48.628,0:36.258,0:30.242,,Neil Verhagen,0:00:16.036,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,2,1:41.097,0,,31.532,0,35.212,0,34.353,0,139.8,3:36.225,15:43:36.225,0:31.532,0:35.212,0:34.353,,Neil Verhagen,,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,3,1:24.278,0,,28.774,0,28.617,0,26.887,0,167.7,5:00.503,15:45:00.503,0:28.774,0:28.617,0:26.887,,Neil Verhagen,,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,4,1:32.278,0,,31.015,0,32.251,0,29.012,0,153.1,6:32.781,15:46:32.781,0:31.015,0:32.251,0:29.012,,Neil Verhagen,,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,5,1:23.261,2,,28.535,0,28.571,2,26.155,2,169.7,7:56.042,15:47:56.042,0:28.535,0:28.571,0:26.155,,Neil Verhagen,,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,6,1:32.861,0,,31.822,0,33.593,0,27.446,0,152.2,9:28.903,15:49:28.903,0:31.822,0:33.593,0:27.446,,Neil Verhagen,,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,7,1:23.362,0,,28.525,2,28.601,0,26.236,0,169.5,10:52.265,15:50:52.265,0:28.525,0:28.601,0:26.236,,Neil Verhagen,,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,8,1:56.464,0,B,30.965,0,36.186,0,49.313,0,121.3,12:48.729,15:52:48.729,0:30.965,0:36.186,0:49.313,,Neil Verhagen,,GTDPRO,,Paul Miller Racing,BMW,GF,
10,2,1,52:19.004,0,B,50:55.312,0,33.424,0,50.268,0,4.5,52:19.004,16:32:19.004,50:55.312,0:33.424,0:50.268,,Ricky Taylor,0:50:23.731,GTP,,Wayne Taylor Racing with Andretti,Acura,GF,
10,2,2,2:43.281,0,,1:36.766,0,35.079,0,31.436,0,86.5,55:02.285,16:35:02.285,1:36.766,0:35.079,0:31.436,,Ricky Taylor,0:01:29.648,GTP,,Wayne Taylor Racing with Andretti,Acura,GF,
10,2,3,1:25.418,0,,30.852,0,29.674,0,24.892,0,165.4,56:27.703,16:36:27.703,0:30.852,0:29.674,0:24.892,,Ricky Taylor,,GTP,,Wayne Taylor Racing with Andretti,Acura,GF,
10,2,4,1:20.282,0,,26.236,0,28.353,0,25.693,0,176.0,57:47.985,16:37:47.985,0:26.236,0:28.353,0:25.693,,Ricky Taylor,,GTP,,Wayne Taylor Racing with Andretti,Acura,GF,
10,2,5,1:15.525,0,,25.885,0,26.169,0,23.471,0,187.1,59:03.510,16:39:03.510,0:25.885,0:26.169,0:23.471,,Ricky Taylor,,GTP,,Wayne Taylor Racing with Andretti,Acura,GF,
10,2,6,1:15.208,0,,25.663,0,26.045,0,23.500,0,187.9,1:00:18.718,16:40:18.718,0:25.663,0:26.045,0:23.500,,Ricky Taylor,,GTP,,Wayne Taylor Racing with Andretti,Acura,GF,
10,2,7,1:15.030,0,,25.712,0,25.865,2,23.453,0,188.3,1:01:33.748,16:41:33.748,0:25.712,0:25.865,0:23.453,,Ricky Taylor,,GTP,,Wayne Taylor Racing with Andretti,Acura,GF,
10,2,8,1:29.705,0,,26.632,0,35.062,0,28.011,0,157.5,1:03:03.453,16:43:03.453,0:26.632,0:35.062,0:28.011,,Ricky Taylor,,GTP,,Wayne Taylor Racing with Andretti,Acura,GF,
10,2,9,1:15.008,2,,25.689,0,25.906,0,23.413,2,188.4,1:04:18.461,16:44:18.461,0:25.689,0:25.906,0:23.413,,Ricky Taylor,,GTP,,Wayne Taylor Racing with Andretti,Acura,GF,
10,2,10,1:15.069,0,,25.637,2,25.959,0,23.473,0,188.2,1:05:33.530,16:45:33.530,0:25.637,0:25.959,0:23.473,,Ricky Taylor,,GTP,,Wayne Taylor Racing with Andretti,Acura,FF,
11,3,1,27:04.219,0,,26:06.050,0,31.019,0,27.150,0,8.7,27:04.219,16:07:04.219,26:06.050,0:31.019,0:27.150,,Steven Thomas,0:25:37.627,LMP2,,TDS Racing,Gibson,GF,
11,3,2,1:19.871,0,,27.389,0,27.428,0,25.054,0,176.9,28:24.090,16:08:24.090,0:27.389,0:27.428,0:25.054,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
11,3,3,1:18.615,0,,26.915,0,26.936,0,24.764,0,179.7,29:42.705,16:09:42.705,0:26.915,0:26.936,0:24.764,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
11,3,4,1:18.167,0,,26.726,0,26.899,0,24.542,2,180.8,31:00.872,16:11:00.872,0:26.726,0:26.899,0:24.542,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
11,3,5,1:18.745,0,,26.521,2,27.185,0,25.039,0,179.4,32:19.617,16:12:19.617,0:26.521,0:27.185,0:25.039,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
11,3,6,1:22.757,0,,26.857,0,29.886,0,26.014,0,170.7,33:42.374,16:13:42.374,0:26.857,0:29.886,0:26.014,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
11,3,7,1:18.949,0,,26.782,0,27.196,0,24.971,0,179.0,35:01.323,16:15:01.323,0:26.782,0:27.196,0:24.971,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
11,3,8,1:18.402,0,,26.883,0,26.866,0,24.653,0,180.2,36:19.725,16:16:19.725,0:26.883,0:26.866,0:24.653,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
11,3,9,1:18.079,2,,26.613,0,26.738,2,24.728,0,181.0,37:37.804,16:17:37.804,0:26.613,0:26.738,0:24.728,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
11,3,10,1:18.119,0,,26.681,0,26.881,0,24.557,0,180.9,38:55.923,16:18:55.923,0:26.681,0:26.881,0:24.557,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
11,3,11,1:18.268,0,,26.540,0,27.088,0,24.640,0,180.5,40:14.191,16:20:14.191,0:26.540,0:27.088,0:24.640,,Steven Thomas,,LMP2,,TDS Racing,Gibson,GF,
12,2,1,2:13.620,0,,1:01.610,0,38.260,0,33.750,0,105.8,2:13.620,15:42:13.620,1:01.610,0:38.260,0:33.750,,Parker Thompson,0:00:29.296,GTD,,VasserSullivan,Lexus,GF,
12,2,2,1:42.122,0,,32.065,0,31.182,0,38.875,0,138.4,3:55.742,15:43:55.742,0:32.065,0:31.182,0:38.875,,Parker Thompson,,GTD,,VasserSullivan,Lexus,GF,
12,2,3,1:28.562,0,,29.147,0,30.206,0,29.209,0,159.6,5:24.304,15:45:24.304,0:29.147,0:30.206,0:29.209,,Parker Thompson,,GTD,,VasserSullivan,Lexus,GF,
12,2,4,1:24.071,0,,28.991,0,28.794,2,26.286,2,168.1,6:48.375,15:46:48.375,0:28.991,0:28.794,0:26.286,,Parker Thompson,,GTD,,VasserSullivan,Lexus,GF,
12,2,5,1:24.134,0,,28.735,2,29.076,0,26.323,0,168.0,8:12.509,15:48:12.509,0:28.735,0:29.076,0:26.323,,Parker Thompson,,GTD,,VasserSullivan,Lexus,GF,
12,2,6,1:23.939,2,,28.804,0,28.818,0,26.317,0,168.3,9:36.448,15:49:36.448,0:28.804,0:28.818,0:26.317,,Parker Thompson,,GTD,,VasserSullivan,Lexus,GF,
12,2,7,1:24.127,0,,28.803,0,28.827,0,26.497,0,168.0,11:00.575,15:51:00.575,0:28.803,0:28.827,0:26.497,,Parker Thompson,,GTD,,VasserSullivan,Lexus,GF,
12,2,8,1:29.647,0,,30.825,0,30.966,0,27.856,0,157.6,12:30.222,15:52:30.222,0:30.825,0:30.966,0:27.856,,Parker Thompson,,GTD,,VasserSullivan,Lexus,GF,
12,2,9,1:48.329,0,B,29.323,0,29.640,0,49.366,0,130.4,14:18.551,15:54:18.551,0:29.323,0:29.640,0:49.366,,Parker Thompson,,GTD,,VasserSullivan,Lexus,GF,
120,3,1,2:27.302,0,,1:23.026,0,34.338,0,29.938,0,95.9,2:27.302,15:42:27.302,1:23.026,0:34.338,0:29.938,,Adam Adelson,0:00:50.489,GTD,,Wright Motorsports,Porsche,GF,
120,3,2,1:44.313,0,,31.526,0,31.397,0,41.390,0,135.5,4:11.615,15:44:11.615,0:31.526,0:31.397,0:41.390,,Adam Adelson,,GTD,,Wright Motorsports,Porsche,GF,
120,3,3,1:33.433,0,,29.179,0,30.399,0,33.855,0,151.2,5:45.048,15:45:45.048,0:29.179,0:30.399,0:33.855,,Adam Adelson,,GTD,,Wright Motorsports,Porsche,GF,
120,3,4,1:24.919,0,,29.136,0,29.138,0,26.645,0,166.4,7:09.967,15:47:09.967,0:29.136,0:29.138,0:26.645,,Adam Adelson,,GTD,,Wright Motorsports,Porsche,GF,
