NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
007,3,1,19:49.984,0,,18:20.102,0,56.267,0,33.615,0,17.3,19:49.984,18:49:49.984,18:20.102,0:56.267,0:33.615,,Alex Riberas,0:17:59.699,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,2,1:49.720,0,,25.815,0,51.003,0,32.902,0,188.0,21:39.704,18:51:39.704,0:25.815,0:51.003,0:32.902,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,3,1:48.841,0,,25.394,0,50.590,2,32.857,0,189.5,23:28.545,18:53:28.545,0:25.394,0:50.590,0:32.857,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,4,1:49.064,0,,25.499,0,50.984,0,32.581,1,189.1,25:17.609,18:55:17.609,0:25.499,0:50.984,0:32.581,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,5,1:48.903,0,,25.269,2,51.024,0,32.610,0,189.4,27:06.512,18:57:06.512,0:25.269,0:51.024,0:32.610,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,6,1:49.959,0,,26.115,0,50.952,0,32.892,0,187.6,28:56.471,18:58:56.471,0:26.115,0:50.952,0:32.892,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,7,1:48.818,2,,25.436,0,50.790,0,32.592,0,189.5,30:45.289,19:00:45.289,0:25.436,0:50.790,0:32.592,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,8,6:39.005,0,B,25.821,0,51.274,0,5:21.910,0,51.7,37:24.294,19:07:24.294,0:25.821,0:51.274,5:21.910,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,9,2:14.131,0,,49.446,0,51.841,0,32.844,0,153.8,39:38.425,19:09:38.425,0:49.446,0:51.841,0:32.844,,Alex Riberas,0:05:20.870,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,10,1:49.313,0,,25.481,0,51.210,0,32.622,0,188.7,41:27.738,19:11:27.738,0:25.481,0:51.210,0:32.622,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,11,1:49.749,0,,25.517,0,51.085,0,33.147,0,187.9,43:17.487,19:13:17.487,0:25.517,0:51.085,0:33.147,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,12,1:49.693,0,,26.099,0,50.979,0,32.615,0,188.0,45:07.180,19:15:07.180,0:26.099,0:50.979,0:32.615,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
007,3,13,4:44.113,0,B,26.286,0,50.940,0,3:26.887,0,72.6,49:51.293,19:19:51.293,0:26.286,0:50.940,3:26.887,,Alex Riberas,,GTDPRO,,Heart of Racing Team,Aston Martin,GF,
