NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
1,1,1,3:39.383,0,B,53.756,0,33.084,0,2:12.543,0,43.4,3:39.383,10:38:39.383,0:53.756,0:33.084,2:12.543,,Neil Verhagen,0:00:14.916,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,2,2:38.068,0,B,30.367,0,27.636,0,1:40.065,0,60.3,6:17.451,10:41:17.451,0:30.367,0:27.636,1:40.065,,Neil Verhagen,0:01:47.400,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,3,2:31.007,0,B,29.789,0,27.290,0,1:33.928,0,63.1,8:48.458,10:43:48.458,0:29.789,0:27.290,1:33.928,,Neil Verhagen,0:01:17.669,GTDPRO,,Paul Miller Racing,BMW,GF,
1,1,4,2:46.915,0,B,30.469,0,26.575,1,1:49.871,0,57.1,11:35.373,10:46:35.373,0:30.469,0:26.575,1:49.871,,Neil Verhagen,0:01:11.234,GTDPRO,,Paul Miller Racing,BMW,GF,
1,2,5,1:23.173,0,,28.507,0,25.907,0,28.759,2,114.6,12:58.546,10:47:58.546,0:28.507,0:25.907,0:28.759,,Madison Snow,0:01:28.890,GTDPRO,,Paul Miller Racing,BMW,GF,
1,2,6,1:15.901,2,,21.815,0,25.034,0,29.052,0,125.6,14:14.447,10:49:14.447,0:21.815,0:25.034,0:29.052,,Madison Snow,,GTDPRO,,Paul Miller Racing,BMW,GF,
1,2,7,2:29.350,0,B,21.440,2,24.271,2,1:43.639,0,63.8,16:43.797,10:51:43.797,0:21.440,0:24.271,1:43.639,,Madison Snow,,GTDPRO,,Paul Miller Racing,BMW,GF,
10,1,1,2:22.523,0,B,50.155,0,32.182,1,1:00.186,0,66.9,2:22.523,10:37:22.523,0:50.155,0:32.182,1:00.186,,Filipe Albuquerque,0:00:13.847,GTP,,Wayne Taylor Racing,Cadillac,GF,
10,1,2,1:48.030,0,,34.702,0,34.933,0,38.395,1,88.2,4:10.553,10:39:10.553,0:34.702,0:34.933,0:38.395,,Filipe Albuquerque,0:00:35.294,GTP,,Wayne Taylor Racing,Cadillac,GF,
10,1,3,2:02.898,0,B,34.729,1,32.484,0,55.685,0,77.5,6:13.451,10:41:13.451,0:34.729,0:32.484,0:55.685,,Filipe Albuquerque,,GTP,,Wayne Taylor Racing,Cadillac,GF,
