NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
12,2,1,2:53.248,0,,1:24.679,0,52.908,0,35.661,0,112.0,2:53.248,09:32:53.248,1:24.679,0:52.908,0:35.661,215.6,Benjamin Barker,0:00:39.683,GT,,Dinamic Motorsport,Porsche,GF,
12,2,2,1:56.351,2,,38.769,2,45.804,2,31.778,0,166.8,4:49.599,09:34:49.599,0:38.769,0:45.804,0:31.778,252.9,Benjamin Barker,,GT,,Dinamic Motorsport,Porsche,GF,
12,2,3,2:02.666,0,,41.017,0,48.282,0,33.367,0,158.2,6:52.265,09:36:52.265,0:41.017,0:48.282,0:33.367,208.5,Benjamin Barker,,GT,,Dinamic Motorsport,Porsche,GF,
12,2,4,1:56.637,0,,38.845,0,46.068,0,31.724,2,166.4,8:48.902,09:38:48.902,0:38.845,0:46.068,0:31.724,253.5,Benjamin Barker,,GT,,Dinamic Motorsport,Porsche,GF,
12,2,5,2:10.502,0,B,41.626,0,49.862,0,39.014,0,148.7,10:59.404,09:40:59.404,0:41.626,0:49.862,0:39.014,241.6,Benjamin Barker,,GT,,Dinamic Motorsport,Porsche,FF,
17,2,1,5:47.736,0,,4:27.157,0,48.238,0,32.341,0,55.8,5:47.736,09:35:47.736,4:27.157,0:48.238,0:32.341,237.9,Vincent Abril,0:03:46.680,GT,,AF Corse,Ferrari,GF,
17,2,2,1:55.372,0,,38.322,0,45.444,3,31.606,0,168.2,7:43.108,09:37:43.108,0:38.322,0:45.444,0:31.606,255.3,Vincent Abril,,GT,,AF Corse,Ferrari,GF,
17,2,3,1:55.217,2,,38.257,2,45.483,0,31.477,2,168.4,9:38.325,09:39:38.325,0:38.257,0:45.483,0:31.477,256.5,Vincent Abril,,GT,,AF Corse,Ferrari,GF,
17,2,4,2:19.797,0,B,44.842,0,54.940,0,40.015,0,138.8,11:58.122,09:41:58.122,0:44.842,0:54.940,0:40.015,171.4,Vincent Abril,,GT,,AF Corse,Ferrari,FF,
20,3,1,5:03.975,0,,3:29.248,0,53.165,0,41.562,0,63.8,5:03.975,09:35:03.975,3:29.248,0:53.165,0:41.562,226.4,Mikael Grenier,0:02:45.961,GT,AM,SPS Automotive Performance,Mercedes,GF,
20,3,2,1:55.802,0,,38.714,0,45.596,2,31.492,0,167.6,6:59.777,09:36:59.777,0:38.714,0:45.596,0:31.492,254.1,Mikael Grenier,,GT,AM,SPS Automotive Performance,Mercedes,GF,
20,3,3,1:55.338,2,,38.295,2,45.618,0,31.425,2,168.2,8:55.115,09:38:55.115,0:38.295,0:45.618,0:31.425,254.7,Mikael Grenier,,GT,AM,SPS Automotive Performance,Mercedes,GF,
20,3,4,2:02.700,0,B,38.374,0,45.737,0,38.589,0,158.1,10:57.815,09:40:57.815,0:38.374,0:45.737,0:38.589,254.1,Mikael Grenier,,GT,AM,SPS Automotive Performance,Mercedes,FF,
33,3,1,4:18.780,0,,2:51.692,0,53.011,0,34.077,0,75.0,4:18.780,09:34:18.780,2:51.692,0:53.011,0:34.077,212.6,Klaus Bachler,0:02:07.382,GT,,Herberth Motorsport,Porsche,GF,
33,3,2,1:55.988,0,,38.588,0,45.768,0,31.632,0,167.3,6:14.768,09:36:14.768,0:38.588,0:45.768,0:31.632,252.9,Klaus Bachler,,GT,,Herberth Motorsport,Porsche,GF,
33,3,3,1:55.860,2,,38.542,2,45.702,0,31.616,2,167.5,8:10.628,09:38:10.628,0:38.542,0:45.702,0:31.616,252.3,Klaus Bachler,,GT,,Herberth Motorsport,Porsche,GF,
33,3,4,1:57.630,0,,38.545,0,45.591,2,33.494,0,165.0,10:08.258,09:40:08.258,0:38.545,0:45.591,0:33.494,252.9,Klaus Bachler,,GT,,Herberth Motorsport,Porsche,FF,
34,3,1,3:54.090,0,,2:29.977,0,50.000,0,34.113,0,82.9,3:54.090,09:33:54.090,2:29.977,0:50.000,0:34.113,193.5,Nicky Catsburg,0:01:47.858,GT,,Walkenhorst Motorsport,BMW,GF,
34,3,2,1:56.242,0,,38.578,0,45.829,0,31.835,2,166.9,5:50.332,09:35:50.332,0:38.578,0:45.829,0:31.835,257.1,Nicky Catsburg,,GT,,Walkenhorst Motorsport,BMW,GF,
34,3,3,1:56.236,2,,38.529,2,45.822,2,31.885,0,166.9,7:46.568,09:37:46.568,0:38.529,0:45.822,0:31.885,255.9,Nicky Catsburg,,GT,,Walkenhorst Motorsport,BMW,GF,
34,3,4,2:06.266,0,B,38.876,0,49.955,0,37.435,0,153.7,9:52.834,09:39:52.834,0:38.876,0:49.955,0:37.435,165.4,Nicky Catsburg,,GT,,Walkenhorst Motorsport,BMW,GF,
35,2,1,4:03.060,0,,2:40.859,0,48.403,0,33.798,0,79.8,4:03.060,09:34:03.060,2:40.859,0:48.403,0:33.798,241.1,Henry Walkenhorst,0:01:59.989,GT,AM,Walkenhorst Motorsport,BMW,GF,
35,2,2,1:59.549,0,,39.761,2,46.896,2,32.892,0,162.3,6:02.609,09:36:02.609,0:39.761,0:46.896,0:32.892,251.7,Henry Walkenhorst,,GT,AM,Walkenhorst Motorsport,BMW,GF,
35,2,3,2:00.117,0,,40.218,0,47.282,0,32.617,2,161.5,8:02.726,09:38:02.726,0:40.218,0:47.282,0:32.617,251.7,Henry Walkenhorst,,GT,AM,Walkenhorst Motorsport,BMW,GF,
35,2,4,2:10.114,0,B,41.090,0,48.807,0,40.217,0,149.1,10:12.840,09:40:12.840,0:41.090,0:48.807,0:40.217,231.8,Henry Walkenhorst,,GT,AM,Walkenhorst Motorsport,BMW,FF,
42,3,1,4:44.191,0,,3:22.705,0,47.670,0,33.816,0,68.3,4:44.191,09:34:44.191,3:22.705,0:47.670,0:33.816,226.4,Joseph Osborne,0:02:40.677,GT,,Optimum Motorsport,McLaren,GF,
42,3,2,1:55.794,2,,38.409,2,45.700,0,31.685,2,167.6,6:39.985,09:36:39.985,0:38.409,0:45.700,0:31.685,256.5,Joseph Osborne,,GT,,Optimum Motorsport,McLaren,GF,
42,3,3,1:56.114,0,,38.615,0,45.638,2,31.861,0,167.1,8:36.099,09:38:36.099,0:38.615,0:45.638,0:31.861,257.1,Joseph Osborne,,GT,,Optimum Motorsport,McLaren,GF,
42,3,4,2:14.110,0,B,40.254,0,54.472,0,39.384,0,144.7,10:50.209,09:40:50.209,0:40.254,0:54.472,0:39.384,181.8,Joseph Osborne,,GT,,Optimum Motorsport,McLaren,FF,
48,3,1,2:23.190,0,,59.982,0,49.565,0,33.643,0,135.5,2:23.190,09:32:23.190,0:59.982,0:49.565,0:33.643,199.6,Peter KOX,0:00:16.220,GT,,Saalocin by Kox Racing,Porsche,GF,
48,3,2,2:05.113,2,,39.814,0,50.479,0,34.820,0,155.1,4:28.303,09:34:28.303,0:39.814,0:50.479,0:34.820,203.4,Peter KOX,,GT,,Saalocin by Kox Racing,Porsche,GF,
48,3,3,1:58.910,0,,39.682,0,46.590,2,32.638,0,163.2,6:27.213,09:36:27.213,0:39.682,0:46.590,0:32.638,248.3,Peter KOX,,GT,,Saalocin by Kox Racing,Porsche,GF,
48,3,4,1:58.706,0,,39.627,0,46.694,0,32.385,0,163.5,8:25.919,09:38:25.919,0:39.627,0:46.694,0:32.385,248.3,Peter KOX,,GT,,Saalocin by Kox Racing,Porsche,GF,
48,3,5,1:58.539,0,,39.579,2,46.605,0,32.355,2,163.7,10:24.458,09:40:24.458,0:39.579,0:46.605,0:32.355,249.4,Peter KOX,,GT,,Saalocin by Kox Racing,Porsche,FF,
51,1,1,7:25.399,0,,6:03.378,0,49.769,0,32.252,0,43.6,7:25.399,09:37:25.399,6:03.378,0:49.769,0:32.252,226.4,Alessandro Pier Guidi,0:05:21.197,GT,,AF Corse,Ferrari,GF,
51,1,2,1:55.806,2,,38.510,0,45.719,0,31.577,2,167.6,9:21.205,09:39:21.205,0:38.510,0:45.719,0:31.577,259.6,Alessandro Pier Guidi,,GT,,AF Corse,Ferrari,GF,
51,1,3,1:55.634,0,,38.219,2,45.629,2,31.786,0,167.8,11:16.839,09:41:16.839,0:38.219,0:45.629,0:31.786,260.2,Alessandro Pier Guidi,,GT,,AF Corse,Ferrari,FF,
55,3,1,5:24.145,0,,4:00.950,0,50.705,0,32.490,0,59.9,5:24.145,09:35:24.145,4:00.950,0:50.705,0:32.490,241.1,Davide Rigon,0:03:21.747,GT,,Rinaldi Racing,Ferrari,GF,
55,3,2,1:56.082,0,,38.775,0,45.676,0,31.631,0,167.2,7:20.227,09:37:20.227,0:38.775,0:45.676,0:31.631,252.9,Davide Rigon,,GT,,Rinaldi Racing,Ferrari,GF,
55,3,3,1:55.536,2,,38.480,2,45.484,2,31.572,2,167.9,9:15.763,09:39:15.763,0:38.480,0:45.484,0:31.572,254.1,Davide Rigon,,GT,,Rinaldi Racing,Ferrari,GF,
55,3,4,2:08.722,0,B,38.553,0,47.476,0,42.693,0,150.7,11:24.485,09:41:24.485,0:38.553,0:47.476,0:42.693,254.1,Davide Rigon,,GT,,Rinaldi Racing,Ferrari,FF,
57,3,1,5:37.706,0,,4:09.559,0,51.481,0,36.666,0,57.5,5:37.706,09:35:37.706,4:09.559,0:51.481,0:36.666,153.0,Axcil Jefferies,0:03:29.083,GT,AM,Kessel Racing,Ferrari,GF,
57,3,2,1:55.647,0,,38.282,0,45.700,0,31.665,0,167.8,7:33.353,09:37:33.353,0:38.282,0:45.700,0:31.665,255.9,Axcil Jefferies,,GT,AM,Kessel Racing,Ferrari,GF,
57,3,3,1:55.233,2,,38.134,3,45.545,2,31.554,2,168.4,9:28.586,09:39:28.586,0:38.134,0:45.545,0:31.554,255.9,Axcil Jefferies,,GT,AM,Kessel Racing,Ferrari,GF,
