NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
12,2,1,3:15.227,0,,1:37.615,0,48.235,0,49.377,0,95.4,3:15.227,09:53:15.227,1:37.615,0:48.235,0:49.377,237.9,Benjamin Barker,0:01:06.057,GT,,Dinamic Motorsport,Porsche,GF,
12,2,2,1:51.913,0,,23.548,0,46.706,0,41.659,0,169.9,5:07.140,09:55:07.140,0:23.548,0:46.706,0:41.659,260.9,Benjamin Barker,,GT,,Dinamic Motorsport,Porsche,GF,
12,2,3,1:51.393,2,,23.441,2,46.421,2,41.531,2,170.7,6:58.533,09:56:58.533,0:23.441,0:46.421,0:41.531,259.6,Benjamin Barker,,GT,,Dinamic Motorsport,Porsche,GF,
12,2,4,1:52.365,0,,23.630,0,46.647,0,42.088,0,169.2,8:50.898,09:58:50.898,0:23.630,0:46.647,0:42.088,260.9,Benjamin Barker,,GT,,Dinamic Motorsport,Porsche,GF,
12,2,5,2:01.348,0,B,23.514,0,46.480,0,51.354,0,156.7,10:52.246,10:00:52.246,0:23.514,0:46.480,0:51.354,261.5,Benjamin Barker,,GT,,Dinamic Motorsport,Porsche,FF,
17,2,1,3:08.596,0,,1:29.119,0,49.121,0,50.356,0,98.7,3:08.596,09:53:08.596,1:29.119,0:49.121,0:50.356,242.7,Vincent Abril,0:00:56.612,GT,,AF Corse,Ferrari,GF,
17,2,2,1:51.632,0,,23.584,0,46.986,0,41.062,0,170.3,5:00.228,09:55:00.228,0:23.584,0:46.986,0:41.062,257.8,Vincent Abril,,GT,,AF Corse,Ferrari,GF,
17,2,3,1:51.246,2,,23.415,0,46.793,2,41.038,2,170.9,6:51.474,09:56:51.474,0:23.415,0:46.793,0:41.038,257.1,Vincent Abril,,GT,,AF Corse,Ferrari,GF,
17,2,4,2:08.217,0,,25.252,0,53.069,0,49.896,0,148.3,8:59.691,09:58:59.691,0:25.252,0:53.069,0:49.896,231.3,Vincent Abril,,GT,,AF Corse,Ferrari,GF,
17,2,5,2:08.210,0,B,23.407,2,53.300,0,51.503,0,148.3,11:07.901,10:01:07.901,0:23.407,0:53.300,0:51.503,228.3,Vincent Abril,,GT,,AF Corse,Ferrari,FF,
20,3,1,2:10.866,0,,40.662,0,47.752,0,42.452,0,142.2,2:10.866,09:52:10.866,0:40.662,0:47.752,0:42.452,257.8,Mikael Grenier,0:00:09.169,GT,AM,SPS Automotive Performance,Mercedes,GF,
20,3,2,1:54.223,0,,23.375,2,46.537,0,44.311,0,166.4,4:05.089,09:54:05.089,0:23.375,0:46.537,0:44.311,260.9,Mikael Grenier,,GT,AM,SPS Automotive Performance,Mercedes,GF,
20,3,3,1:51.237,2,,23.460,0,46.578,0,41.199,2,170.9,5:56.326,09:55:56.326,0:23.460,0:46.578,0:41.199,260.2,Mikael Grenier,,GT,AM,SPS Automotive Performance,Mercedes,GF,
20,3,4,1:51.282,0,,23.528,0,46.434,2,41.320,0,170.8,7:47.608,09:57:47.608,0:23.528,0:46.434,0:41.320,258.4,Mikael Grenier,,GT,AM,SPS Automotive Performance,Mercedes,GF,
20,3,5,1:53.272,0,,23.391,0,46.948,0,42.933,0,167.8,9:40.880,09:59:40.880,0:23.391,0:46.948,0:42.933,262.1,Mikael Grenier,,GT,AM,SPS Automotive Performance,Mercedes,GF,
20,3,6,1:51.454,0,,23.407,0,46.499,0,41.548,0,170.6,11:32.334,10:01:32.334,0:23.407,0:46.499,0:41.548,261.5,Mikael Grenier,,GT,AM,SPS Automotive Performance,Mercedes,FF,
33,3,1,3:42.241,0,,2:08.541,0,48.779,0,44.921,0,83.8,3:42.241,09:53:42.241,2:08.541,0:48.779,0:44.921,252.9,Klaus Bachler,0:01:35.698,GT,,Herberth Motorsport,Porsche,GF,
33,3,2,1:51.244,0,,23.714,0,46.281,0,41.249,0,170.9,5:33.485,09:55:33.485,0:23.714,0:46.281,0:41.249,260.9,Klaus Bachler,,GT,,Herberth Motorsport,Porsche,GF,
33,3,3,1:50.811,0,,23.489,0,46.106,0,41.216,0,171.6,7:24.296,09:57:24.296,0:23.489,0:46.106,0:41.216,261.5,Klaus Bachler,,GT,,Herberth Motorsport,Porsche,GF,
33,3,4,1:55.157,0,,23.424,2,46.331,0,45.402,0,165.1,9:19.453,09:59:19.453,0:23.424,0:46.331,0:45.402,264.1,Klaus Bachler,,GT,,Herberth Motorsport,Porsche,GF,
33,3,5,1:50.670,3,,23.630,0,45.952,2,41.088,2,171.8,11:10.123,10:01:10.123,0:23.630,0:45.952,0:41.088,262.1,Klaus Bachler,,GT,,Herberth Motorsport,Porsche,FF,
