NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,2,1,2:38.333,0,,51.592,0,30.704,0,1:16.037,0,126.0,2:38.333,13:02:38.333,0:51.592,0:30.704,1:16.037,,Klaus Bachler,0:00:23.198,GT,,Manthey,Porsche,GF,51.592,30.704,76.037,
10,2,2,2:08.350,0,,28.131,0,28.606,0,1:11.613,0,155.5,4:46.683,13:04:46.683,0:28.131,0:28.606,1:11.613,234.8,Klaus Bachler,,GT,,Manthey,Porsche,GF,28.131,28.606,71.613,
10,2,3,2:06.449,0,,27.348,0,28.061,0,1:11.040,0,157.8,6:53.132,13:06:53.132,0:27.348,0:28.061,1:11.040,233.8,Klaus Bachler,,GT,,Manthey,Porsche,GF,27.348,28.061,71.040,
10,2,4,2:06.007,2,,27.132,0,27.843,2,1:11.032,2,158.4,8:59.139,13:08:59.139,0:27.132,0:27.843,1:11.032,234.8,Klaus Bachler,,GT,,Manthey,Porsche,GF,27.132,27.843,71.032,
10,2,5,2:06.062,0,,27.127,0,27.875,0,1:11.060,0,158.3,11:05.201,13:11:05.201,0:27.127,0:27.875,1:11.060,232.8,Klaus Bachler,,GT,,Manthey,Porsche,GF,27.127,27.875,71.060,
10,2,6,2:06.484,0,,27.082,0,27.948,0,1:11.454,0,157.8,13:11.685,13:13:11.685,0:27.082,0:27.948,1:11.454,234.8,Klaus Bachler,,GT,,Manthey,Porsche,GF,27.082,27.948,71.454,
10,2,7,2:06.647,0,,27.067,2,28.105,0,1:11.475,0,157.6,15:18.332,13:15:18.332,0:27.067,0:28.105,1:11.475,235.3,Klaus Bachler,,GT,,Manthey,Porsche,GF,27.067,28.105,71.475,
10,2,8,3:23.345,0,,27.215,0,39.176,0,2:16.954,0,98.1,18:41.677,13:18:41.677,0:27.215,0:39.176,2:16.954,235.3,Klaus Bachler,,GT,,Manthey,Porsche,FCY,27.215,39.176,136.954,
10,2,9,3:07.836,0,B,52.297,0,57.413,0,1:18.126,0,106.2,21:49.513,13:21:49.513,0:52.297,0:57.413,1:18.126,79.8,Klaus Bachler,,GT,,Manthey,Porsche,GF,52.297,57.413,78.126,
10,2,10,3:29.919,0,,1:46.746,0,29.094,0,1:14.079,0,95.1,25:19.432,13:25:19.432,1:46.746,0:29.094,1:14.079,,Klaus Bachler,0:01:24.095,GT,,Manthey,Porsche,GF,106.746,29.094,74.079,
10,2,11,2:48.713,0,,27.477,0,28.602,0,1:52.634,0,118.3,28:08.145,13:28:08.145,0:27.477,0:28.602,1:52.634,233.3,Klaus Bachler,,GT,,Manthey,Porsche,FCY,27.477,28.602,112.634,
10,2,12,3:59.466,0,B,52.515,0,57.586,0,2:09.365,0,83.3,32:07.611,13:32:07.611,0:52.515,0:57.586,2:09.365,79.6,Klaus Bachler,,GT,,Manthey,Porsche,RF,52.515,57.586,129.365,
10,1,13,5:38.535,0,,3:55.336,0,29.448,0,1:13.751,0,58.9,37:46.146,13:37:46.146,3:55.336,0:29.448,1:13.751,,Antares AU,0:03:33.762,GT,,Manthey,Porsche,GF,235.336,29.448,73.751,
10,1,14,2:11.130,0,,27.291,1,28.627,0,1:15.212,0,152.2,39:57.276,13:39:57.276,0:27.291,0:28.627,1:15.212,237.4,Antares AU,,GT,,Manthey,Porsche,GF,27.291,28.627,75.212,
10,1,15,2:09.486,0,,28.016,0,28.612,1,1:12.858,1,154.1,42:06.762,13:42:06.762,0:28.016,0:28.612,1:12.858,235.8,Antares AU,,GT,,Manthey,Porsche,GF,28.016,28.612,72.858,
10,1,16,2:09.308,0,,27.492,0,28.684,0,1:13.132,0,154.3,44:16.070,13:44:16.070,0:27.492,0:28.684,1:13.132,236.3,Antares AU,,GT,,Manthey,Porsche,GF,27.492,28.684,73.132,
