POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,30,RD Limited,Fred POORDAD,Tristan VAUTIER,James ALLEN,,Oreca 07 - Gibson,M,LMP2,,,Classified,103,4:01'12.694,,,46,1'53.710,175.5,,
2,83,AF Corse,François PERRODO,Matthieu VAXIVIERE,Alessio ROVERA,,Oreca 07 - Gibson,M,LMP2,,,Classified,103,4:01'12.749,0.055,0.055,33,1'53.330,176.1,,
3,91,Pure Rxcing,Aliaksandr MALYKHIN,Harry KING,Louis DELÉTRAZ,,Oreca 07 - Gibson,M,LMP2,,,Classified,103,4:01'56.933,44.239,44.184,30,1'53.102,176.4,,
4,25,Algarve Pro Racing,Michael JENSEN,Malthe JAKOBSEN,Valerio RINICELLA,,Oreca 07 - Gibson,M,LMP2,,,Classified,103,4:02'11.407,58.713,14.474,60,1'53.176,176.3,,
5,24,Nielsen Racing,Naveen RAO,Matthew BELL,Nicky CATSBURG,,Oreca 07 - Gibson,M,LMP2,,,Classified,103,4:02'17.721,1'05.027,6.314,59,1'53.177,176.3,,
6,20,Algarve Pro Racing,Kriton LENTOUDIS,Olli CALDWELL,Alex QUINN,,Oreca 07 - Gibson,M,LMP2,,,Classified,103,4:02'20.099,1'07.405,2.378,62,1'53.738,175.4,,
7,3,DKR Engineering,Georgios KOLOVOS,Laurents HÖRR,Job VAN UITERT,,Oreca 07 - Gibson,M,LMP2,,,Classified,103,4:02'27.836,1'15.142,7.737,33,1'53.614,175.6,,
8,50,AF Corse,Jeremy CLARKE,Patrick BYRNE,Olivier PLA,,Oreca 07 - Gibson,M,LMP2,,,Classified,103,4:02'48.565,1'35.871,20.729,84,1'54.549,174.2,,
9,35,Ultimate,Stéphane LEMERET,Matteo QUINTARELLI,Bence VALINT,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,98,4:01'19.560,5 Laps,5 Laps,44,2'02.285,163.2,,
10,49,High Class Racing,Mark PATTERSON,Anders FJORDBACH,,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,98,4:01'22.153,5 Laps,2.593,46,2'02.898,162.4,,
11,7,Graff Racing,Danial FROST,James WINSLOW,Alexander BUKHANTSOV,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,98,4:02'26.211,5 Laps,1'04.058,50,2'03.553,161.5,,
12,26,Bretton Racing,Jens Reno MOELLER,Dan SKOCDOPOLE,Theodor JENSEN,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,98,4:02'41.780,5 Laps,15.569,71,2'03.527,161.5,,
13,15,RLR M Sport,Nick ADCOCK,Ian AGUILERA,James DAYSON,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,98,4:02'45.280,5 Laps,3.500,45,2'02.825,162.5,,
14,57,Car Guy,Yudai UCHIDA,Esteban MASSON,Daniel SERRA,,Ferrari 296 GT3,M,GT,,,Classified,98,4:02'48.503,5 Laps,3.223,42,2'05.768,158.7,,
15,51,AF Corse,Custodio TOLEDO,Cedric SBIRRAZZOULI,Riccardo AGOSTINI,,Ferrari 296 GT3,M,GT,,,Classified,98,4:03'06.185,5 Laps,17.682,41,2'04.672,160.1,,
16,92,Manthey EMA,Ryan HARDWICK,Riccardo PERA,Richard LIETZ,,Porsche 911 GT3 R,M,GT,,,Classified,98,4:03'18.132,5 Laps,11.947,42,2'06.581,157.6,,
17,28,AF Corse,Massimiliano WISER,Manuel FRANCO,Davide RIGON,,Ferrari 296 GT3,M,GT,,,Classified,98,4:03'18.656,5 Laps,0.524,74,2'06.187,158.1,,
18,81,Winward Racing,Jules GOUNON,Gabriele PIANA,Rinat SALIKHOV,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,98,4:03'19.159,5 Laps,0.503,43,2'06.437,157.8,,
19,74,Kessel Racing,Dustin Scott BLATTNER,Ben TUCK,Dennis MARSCHALL,,Ferrari 296 GT3,M,GT,,,Classified,98,4:03'52.770,5 Laps,33.611,42,2'05.238,159.3,,
20,60,Proton Competition,Claudio SCHIAVONI,Matteo CRESSONI,Alessio PICARIELLO,,Porsche 911 GT3 R,M,GT,,,Classified,97,4:01'17.379,6 Laps,1 Laps,74,2'06.972,157.2,,
21,96,2Seas Motorsport,Anthony MCINTOSH,Parker THOMPSON,Ben BARNICOAT,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,97,4:01'24.607,6 Laps,7.228,42,2'06.380,157.9,,
22,12,Car Collection Motorsport,Bashar MARDINI,James KELL,Nico MENZEL,,Porsche 911 GT3 R,M,GT,,,Classified,97,4:01'28.798,6 Laps,4.191,45,2'07.759,156.2,,
23,2,Climax Racing,Bihuang ZHOU,Elias SEPPANEN,Ralf ARON,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,97,4:01'41.575,6 Laps,12.777,41,2'07.030,157.1,,
