NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,2,1,2:50.808,0,B,52.719,0,31.555,0,1:26.534,0,116.8,2:50.808,10:32:50.808,0:52.719,0:31.555,1:26.534,,Klaus Bachler,0:00:23.613,GT,,Manthey,Porsche,GF,52.719,31.555,86.534,
10,2,2,3:21.035,0,,1:39.262,0,29.138,0,1:12.635,0,99.3,6:11.843,10:36:11.843,1:39.262,0:29.138,1:12.635,,Klaus Bachler,0:01:16.534,GT,,Manthey,Porsche,GF,99.262,29.138,72.635,
10,2,3,2:06.901,0,,27.228,0,28.180,0,1:11.493,0,157.2,8:18.744,10:38:18.744,0:27.228,0:28.180,1:11.493,237.9,Klaus Bachler,,GT,,Manthey,Porsche,GF,27.228,28.180,71.493,
10,2,4,2:06.476,0,,27.109,0,27.945,0,1:11.422,0,157.8,10:25.220,10:40:25.220,0:27.109,0:27.945,1:11.422,,Klaus Bachler,,GT,,Manthey,Porsche,GF,27.109,27.945,71.422,
10,2,5,2:06.192,2,,27.047,0,27.851,2,1:11.294,0,158.1,12:31.412,10:42:31.412,0:27.047,0:27.851,1:11.294,241.1,Klaus Bachler,,GT,,Manthey,Porsche,GF,27.047,27.851,71.294,
10,2,6,2:06.219,0,,27.016,2,27.974,0,1:11.229,2,158.1,14:37.631,10:44:37.631,0:27.016,0:27.974,1:11.229,240.0,Klaus Bachler,,GT,,Manthey,Porsche,GF,27.016,27.974,71.229,
10,2,7,2:06.629,0,,27.018,0,27.940,0,1:11.671,0,157.6,16:44.260,10:46:44.260,0:27.018,0:27.940,1:11.671,241.6,Klaus Bachler,,GT,,Manthey,Porsche,FF,27.018,27.940,71.671,
11,2,1,2:59.810,0,,1:18.132,0,30.200,0,1:11.478,0,111.0,2:59.810,10:32:59.810,1:18.132,0:30.200,1:11.478,,Jonas Ried,0:00:51.319,LMP2,,Proton Competition,Oreca,GF,78.132,30.200,71.478,
11,2,2,2:02.240,0,,27.217,0,26.441,0,1:08.582,0,163.2,5:02.050,10:35:02.050,0:27.217,0:26.441,1:08.582,266.0,Jonas Ried,,LMP2,,Proton Competition,Oreca,GF,27.217,26.441,68.582,
11,2,3,2:01.675,0,,25.836,0,26.683,0,1:09.156,0,164.0,7:03.725,10:37:03.725,0:25.836,0:26.683,1:09.156,266.7,Jonas Ried,,LMP2,,Proton Competition,Oreca,GF,25.836,26.683,69.156,
