NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
11,1,1,2:21.962,0,,59.441,0,49.500,0,33.021,0,133.7,2:21.962,10:10:21.962,0:59.441,0:49.500,0:33.021,204.5,Alexander Mattschull,0:00:10.172,LMP2,,Proton Competition,Oreca,GF,59.441,49.500,33.021,
11,1,2,1:56.084,0,,37.261,0,46.148,0,32.675,0,167.2,4:18.046,10:12:18.046,0:37.261,0:46.148,0:32.675,258.4,Alexander Mattschull,,LMP2,,Proton Competition,Oreca,GF,37.261,46.148,32.675,
11,1,3,1:56.419,0,,35.489,2,46.293,0,34.637,0,166.7,6:14.465,10:14:14.465,0:35.489,0:46.293,0:34.637,279.8,Alexander Mattschull,,LMP2,,Proton Competition,Oreca,GF,35.489,46.293,34.637,
11,1,4,1:49.674,0,,36.074,0,43.483,0,30.117,0,176.9,8:04.139,10:16:04.139,0:36.074,0:43.483,0:30.117,277.6,Alexander Mattschull,,LMP2,,Proton Competition,Oreca,GF,36.074,43.483,30.117,
11,1,5,1:48.986,0,,35.529,0,43.408,0,30.049,0,178.0,9:53.125,10:17:53.125,0:35.529,0:43.408,0:30.049,281.2,Alexander Mattschull,,LMP2,,Proton Competition,Oreca,GF,35.529,43.408,30.049,
11,1,6,2:02.749,0,,41.230,0,48.211,0,33.308,0,158.1,11:55.874,10:19:55.874,0:41.230,0:48.211,0:33.308,209.3,Alexander Mattschull,,LMP2,,Proton Competition,Oreca,GF,41.230,48.211,33.308,
11,1,7,1:48.878,2,,35.703,0,43.210,2,29.965,2,178.2,13:44.752,10:21:44.752,0:35.703,0:43.210,0:29.965,278.4,Alexander Mattschull,,LMP2,,Proton Competition,Oreca,GF,35.703,43.210,29.965,
11,1,8,2:08.749,0,B,39.856,0,49.128,0,39.765,0,150.7,15:53.501,10:23:53.501,0:39.856,0:49.128,0:39.765,217.3,Alexander Mattschull,,LMP2,,Proton Competition,Oreca,FF,39.856,49.128,39.765,
15,1,1,2:28.893,0,,1:03.362,0,51.428,0,34.103,0,127.5,2:28.893,10:10:28.893,1:03.362,0:51.428,0:34.103,183.4,Nicholas Adcock,0:00:15.780,LMP3,,RLR M Sport,Ligier,GF,63.362,51.428,34.103,
15,1,2,2:02.720,0,,40.632,0,48.820,0,33.268,0,158.1,4:31.613,10:12:31.613,0:40.632,0:48.820,0:33.268,192.5,Nicholas Adcock,,LMP3,,RLR M Sport,Ligier,GF,40.632,48.820,33.268,
15,1,3,1:59.681,0,,40.211,0,46.728,0,32.742,0,162.1,6:31.294,10:14:31.294,0:40.211,0:46.728,0:32.742,251.7,Nicholas Adcock,,LMP3,,RLR M Sport,Ligier,GF,40.211,46.728,32.742,
15,1,4,1:57.411,0,,38.845,0,46.349,0,32.217,0,165.3,8:28.705,10:16:28.705,0:38.845,0:46.349,0:32.217,259.0,Nicholas Adcock,,LMP3,,RLR M Sport,Ligier,GF,38.845,46.349,32.217,
15,1,5,1:56.764,0,,38.581,0,46.182,0,32.001,2,166.2,10:25.469,10:18:25.469,0:38.581,0:46.182,0:32.001,252.9,Nicholas Adcock,,LMP3,,RLR M Sport,Ligier,GF,38.581,46.182,32.001,
15,1,6,1:56.669,2,,38.369,0,46.278,0,32.022,0,166.3,12:22.138,10:20:22.138,0:38.369,0:46.278,0:32.022,257.1,Nicholas Adcock,,LMP3,,RLR M Sport,Ligier,GF,38.369,46.278,32.022,
15,1,7,1:56.450,0,,38.340,2,46.061,0,32.049,0,166.6,14:18.588,10:22:18.588,0:38.340,0:46.061,0:32.049,254.7,Nicholas Adcock,,LMP3,,RLR M Sport,Ligier,GF,38.340,46.061,32.049,
15,1,8,1:57.154,0,,38.936,0,45.963,2,32.255,0,165.6,16:15.742,10:24:15.742,0:38.936,0:45.963,0:32.255,256.5,Nicholas Adcock,,LMP3,,RLR M Sport,Ligier,FF,38.936,45.963,32.255,
20,1,1,2:32.811,0,,1:07.075,0,51.818,0,33.918,0,124.2,2:32.811,10:10:32.811,1:07.075,0:51.818,0:33.918,195.3,Kriton Lentoudis,0:00:19.380,LMP2,,Algarve Pro Racing,Oreca,GF,67.075,51.818,33.918,
20,1,2,1:58.148,0,,38.362,0,46.275,0,33.511,0,164.2,4:30.959,10:12:30.959,0:38.362,0:46.275,0:33.511,225.5,Kriton Lentoudis,,LMP2,,Algarve Pro Racing,Oreca,GF,38.362,46.275,33.511,
20,1,3,1:53.892,0,,37.908,0,44.730,0,31.254,0,170.4,6:24.851,10:14:24.851,0:37.908,0:44.730,0:31.254,268.7,Kriton Lentoudis,,LMP2,,Algarve Pro Racing,Oreca,GF,37.908,44.730,31.254,
20,1,4,1:53.079,0,,37.095,0,44.650,0,31.334,0,171.6,8:17.930,10:16:17.930,0:37.095,0:44.650,0:31.334,270.0,Kriton Lentoudis,,LMP2,,Algarve Pro Racing,Oreca,GF,37.095,44.650,31.334,
20,1,5,1:53.726,0,,37.109,0,45.200,0,31.417,0,170.6,10:11.656,10:18:11.656,0:37.109,0:45.200,0:31.417,274.1,Kriton Lentoudis,,LMP2,,Algarve Pro Racing,Oreca,GF,37.109,45.200,31.417,
20,1,6,1:52.334,0,,36.859,0,44.470,0,31.005,0,172.7,12:03.990,10:20:03.990,0:36.859,0:44.470,0:31.005,272.7,Kriton Lentoudis,,LMP2,,Algarve Pro Racing,Oreca,GF,36.859,44.470,31.005,
20,1,7,1:51.514,2,,36.739,0,44.122,2,30.653,2,174.0,13:55.504,10:21:55.504,0:36.739,0:44.122,0:30.653,276.9,Kriton Lentoudis,,LMP2,,Algarve Pro Racing,Oreca,GF,36.739,44.122,30.653,
20,1,8,1:52.331,0,,36.547,2,44.632,0,31.152,0,172.7,15:47.835,10:23:47.835,0:36.547,0:44.632,0:31.152,273.4,Kriton Lentoudis,,LMP2,,Algarve Pro Racing,Oreca,FF,36.547,44.632,31.152,
22,1,1,2:11.172,0,,50.318,0,48.704,0,32.150,0,144.7,2:11.172,10:10:11.172,0:50.318,0:48.704,0:32.150,210.5,Giorgio Roda,0:00:06.906,LMP2,,Proton Competition,Oreca,GF,50.318,48.704,32.150,
22,1,2,1:53.830,0,,38.773,0,44.826,0,30.231,0,170.5,4:05.002,10:12:05.002,0:38.773,0:44.826,0:30.231,251.2,Giorgio Roda,,LMP2,,Proton Competition,Oreca,GF,38.773,44.826,30.231,
22,1,3,1:48.405,0,,35.757,0,42.811,0,29.837,0,179.0,5:53.407,10:13:53.407,0:35.757,0:42.811,0:29.837,263.4,Giorgio Roda,,LMP2,,Proton Competition,Oreca,GF,35.757,42.811,29.837,
22,1,4,1:47.569,3,,35.495,0,42.658,3,29.416,3,180.4,7:40.976,10:15:40.976,0:35.495,0:42.658,0:29.416,279.1,Giorgio Roda,,LMP2,,Proton Competition,Oreca,GF,35.495,42.658,29.416,
22,1,5,1:47.661,0,,35.349,2,42.624,0,29.688,0,180.2,9:28.637,10:17:28.637,0:35.349,0:42.624,0:29.688,281.2,Giorgio Roda,,LMP2,,Proton Competition,Oreca,GF,35.349,42.624,29.688,
22,1,6,1:48.049,0,,35.554,0,42.800,0,29.695,0,179.6,11:16.686,10:19:16.686,0:35.554,0:42.800,0:29.695,282.0,Giorgio Roda,,LMP2,,Proton Competition,Oreca,GF,35.554,42.800,29.695,
22,1,7,1:54.640,0,,40.018,0,44.440,0,30.182,0,169.3,13:11.326,10:21:11.326,0:40.018,0:44.440,0:30.182,251.7,Giorgio Roda,,LMP2,,Proton Competition,Oreca,GF,40.018,44.440,30.182,
22,1,8,1:51.676,0,,35.715,0,43.276,0,32.685,0,173.8,15:03.002,10:23:03.002,0:35.715,0:43.276,0:32.685,282.0,Giorgio Roda,,LMP2,,Proton Competition,Oreca,FF,35.715,43.276,32.685,
24,1,1,2:13.322,0,,50.710,0,48.667,0,33.945,0,142.4,2:13.322,10:10:13.322,0:50.710,0:48.667,0:33.945,228.8,Naveen Rao,0:00:06.282,LMP2,,Nielsen Racing,Oreca,GF,50.710,48.667,33.945,
24,1,2,1:52.507,0,,37.783,0,44.368,0,30.356,0,172.5,4:05.829,10:12:05.829,0:37.783,0:44.368,0:30.356,264.1,Naveen Rao,,LMP2,,Nielsen Racing,Oreca,GF,37.783,44.368,30.356,
24,1,3,1:49.424,2,,36.184,0,43.132,2,30.108,0,177.3,5:55.253,10:13:55.253,0:36.184,0:43.132,0:30.108,282.0,Naveen Rao,,LMP2,,Nielsen Racing,Oreca,GF,36.184,43.132,30.108,
24,1,4,1:49.799,0,,36.244,0,43.445,0,30.110,0,176.7,7:45.052,10:15:45.052,0:36.244,0:43.445,0:30.110,283.5,Naveen Rao,,LMP2,,Nielsen Racing,Oreca,GF,36.244,43.445,30.110,
24,1,5,1:49.555,0,,35.931,2,43.401,0,30.223,0,177.1,9:34.607,10:17:34.607,0:35.931,0:43.401,0:30.223,282.0,Naveen Rao,,LMP2,,Nielsen Racing,Oreca,GF,35.931,43.401,30.223,
24,1,6,1:49.905,0,,36.239,0,43.608,0,30.058,2,176.6,11:24.512,10:19:24.512,0:36.239,0:43.608,0:30.058,279.8,Naveen Rao,,LMP2,,Nielsen Racing,Oreca,GF,36.239,43.608,30.058,
24,1,7,1:50.112,0,,36.043,0,43.782,0,30.287,0,176.2,13:14.624,10:21:14.624,0:36.043,0:43.782,0:30.287,281.2,Naveen Rao,,LMP2,,Nielsen Racing,Oreca,GF,36.043,43.782,30.287,
24,1,8,1:57.136,0,B,36.622,0,44.611,0,35.903,0,165.7,15:11.760,10:23:11.760,0:36.622,0:44.611,0:35.903,277.6,Naveen Rao,,LMP2,,Nielsen Racing,Oreca,FF,36.622,44.611,35.903,
25,2,1,2:18.140,0,,1:00.558,0,46.226,0,31.356,0,137.4,2:18.140,10:10:18.140,1:00.558,0:46.226,0:31.356,228.8,Malthe Jakobsen,0:00:17.871,LMP2,,Algarve Pro Racing,Oreca,GF,60.558,46.226,31.356,
