NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,2,1,2:40.236,0,,1:01.323,0,52.792,0,46.121,0,116.2,2:40.236,16:32:40.236,1:01.323,0:52.792,0:46.121,198.9,Klaus Bachler,0:00:25.307,GT,,Manthey,Porsche,GF,61.323,52.792,46.121,
10,2,2,2:05.247,0,,24.755,0,52.842,0,47.650,0,151.8,4:45.483,16:34:45.483,0:24.755,0:52.842,0:47.650,257.1,Klaus Bachler,,GT,,Manthey,Porsche,GF,24.755,52.842,47.650,
10,2,3,1:54.170,0,,24.144,0,47.570,0,42.456,0,166.5,6:39.653,16:36:39.653,0:24.144,0:47.570,0:42.456,257.1,Klaus Bachler,,GT,,Manthey,Porsche,GF,24.144,47.570,42.456,
10,2,4,1:53.946,0,,24.014,0,47.471,0,42.461,0,166.8,8:33.599,16:38:33.599,0:24.014,0:47.471,0:42.461,258.4,Klaus Bachler,,GT,,Manthey,Porsche,GF,24.014,47.471,42.461,
10,2,5,1:53.523,2,,23.912,0,47.353,1,42.258,0,167.5,10:27.122,16:40:27.122,0:23.912,0:47.353,0:42.258,258.4,Klaus Bachler,,GT,,Manthey,Porsche,GF,23.912,47.353,42.258,
10,2,6,1:53.729,0,,23.922,0,47.412,0,42.395,0,167.2,12:20.851,16:42:20.851,0:23.922,0:47.412,0:42.395,258.4,Klaus Bachler,,GT,,Manthey,Porsche,GF,23.922,47.412,42.395,
10,2,7,1:53.675,0,,23.890,0,47.572,0,42.213,2,167.2,14:14.526,16:44:14.526,0:23.890,0:47.572,0:42.213,256.5,Klaus Bachler,,GT,,Manthey,Porsche,GF,23.890,47.572,42.213,
10,2,8,1:56.412,0,B,23.965,0,47.456,0,44.991,0,163.3,16:10.938,16:46:10.938,0:23.965,0:47.456,0:44.991,259.6,Klaus Bachler,,GT,,Manthey,Porsche,GF,23.965,47.456,44.991,
10,2,9,9:58.018,0,,8:26.745,0,48.367,0,42.906,0,31.8,26:08.956,16:56:08.956,8:26.745,0:48.367,0:42.906,255.9,Klaus Bachler,0:07:57.808,GT,,Manthey,Porsche,GF,506.745,48.367,42.906,
10,2,10,1:54.680,0,,24.264,0,47.428,0,42.988,0,165.8,28:03.636,16:58:03.636,0:24.264,0:47.428,0:42.988,259.0,Klaus Bachler,,GT,,Manthey,Porsche,GF,24.264,47.428,42.988,
