NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
1,1,1,3:05.294,0,B,47.105,0,34.819,0,1:43.370,0,107.7,3:05.294,13:03:38.883,0:47.105,0:34.819,1:43.370,,Ajith Kumar,,LMP3,,Team Virage,Ligier,SF,47.105,34.819,103.370,
1,3,2,3:22:34.522,0,,3:20:48.166,0,31.901,0,1:14.455,0,1.6,3:25:39.816,16:26:13.405,3:20:48.166,0:31.901,1:14.455,,Julien Gerbi,3:20:23.877,LMP3,,Team Virage,Ligier,GF,12048.166,31.901,74.455,
1,3,3,2:09.231,0,,28.823,0,28.247,0,1:12.161,0,154.4,3:27:49.047,16:28:22.636,0:28.823,0:28.247,1:12.161,238.4,Julien Gerbi,,LMP3,,Team Virage,Ligier,GF,28.823,28.247,72.161,
1,3,4,2:06.621,2,,27.344,0,27.853,0,1:11.424,2,157.6,3:29:55.668,16:30:29.257,0:27.344,0:27.853,1:11.424,240.5,Julien Gerbi,,LMP3,,Team Virage,Ligier,GF,27.344,27.853,71.424,
1,3,5,2:07.549,0,,27.509,0,28.090,0,1:11.950,0,156.4,3:32:03.217,16:32:36.806,0:27.509,0:28.090,1:11.950,242.7,Julien Gerbi,,LMP3,,Team Virage,Ligier,GF,27.509,28.090,71.950,
1,3,6,2:06.866,0,,27.272,0,27.798,2,1:11.796,0,157.3,3:34:10.083,16:34:43.672,0:27.272,0:27.798,1:11.796,243.2,Julien Gerbi,,LMP3,,Team Virage,Ligier,GF,27.272,27.798,71.796,
1,3,7,2:15.912,0,B,27.242,2,28.062,0,1:20.608,0,146.8,3:36:25.995,16:36:59.584,0:27.242,0:28.062,1:20.608,243.2,Julien Gerbi,,LMP3,,Team Virage,Ligier,GF,27.242,28.062,80.608,
1,1,8,4:35.743,0,,2:45.623,0,31.442,0,1:18.678,0,72.4,3:41:01.738,16:41:35.327,2:45.623,0:31.442,1:18.678,,Ajith Kumar,0:02:19.558,LMP3,,Team Virage,Ligier,GF,165.623,31.442,78.678,
1,1,9,2:18.231,0,,29.430,0,30.404,0,1:18.397,0,144.4,3:43:19.969,16:43:53.558,0:29.430,0:30.404,1:18.397,238.9,Ajith Kumar,,LMP3,,Team Virage,Ligier,GF,29.430,30.404,78.397,
1,1,10,2:15.848,0,,28.542,0,30.637,0,1:16.669,0,146.9,3:45:35.817,16:46:09.406,0:28.542,0:30.637,1:16.669,239.5,Ajith Kumar,,LMP3,,Team Virage,Ligier,GF,28.542,30.637,76.669,
1,1,11,2:13.700,0,,27.920,0,29.481,0,1:16.299,0,149.3,3:47:49.517,16:48:23.106,0:27.920,0:29.481,1:16.299,238.9,Ajith Kumar,,LMP3,,Team Virage,Ligier,GF,27.920,29.481,76.299,
1,1,12,2:14.595,0,,27.972,0,29.723,0,1:16.900,0,148.3,3:50:04.112,16:50:37.701,0:27.972,0:29.723,1:16.900,241.6,Ajith Kumar,,LMP3,,Team Virage,Ligier,GF,27.972,29.723,76.900,
