TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,AIR_TEMP_UNIT,TRACK_TEMP_UNIT,PRESSURE_UNIT,WIND_SPEED_UNIT,
1769690735,1/29/2026 12:45:35 PM,77.77,94.1,41.2,1012.5,1.2,265,-999,ºC,ºC,mbar,KPH,
1769690798,1/29/2026 12:46:38 PM,77.68,94.1,41.22,1012.6,1.2,258,-999,ºC,ºC,mbar,KPH,
1769690861,1/29/2026 12:47:41 PM,77.61,94.1,41.39,1012.6,1.4,282,-999,ºC,ºC,mbar,KPH,
1769690924,1/29/2026 12:48:44 PM,77.58,93.56,41.83,1012.4,2.1,282,-999,ºC,ºC,mbar,KPH,
1769690986,1/29/2026 12:49:46 PM,77.52,93.56,41.84,1012.5,1,255,-999,ºC,ºC,mbar,KPH,
1769691049,1/29/2026 12:50:49 PM,77.47,93.38,41.81,1012.5,1.4,292,-999,ºC,ºC,mbar,KPH,
1769691112,1/29/2026 12:51:52 PM,77.52,93.2,41.85,1012.5,1.4,258,-999,ºC,ºC,mbar,KPH,
1769691174,1/29/2026 12:52:54 PM,77.52,92.84,41.96,1012.5,0.5,229,-999,ºC,ºC,mbar,KPH,
1769691237,1/29/2026 12:53:57 PM,77.5,92.66,41.92,1012.5,1.5,290,-999,ºC,ºC,mbar,KPH,
1769691300,1/29/2026 12:55:00 PM,77.49,92.48,41.76,1012.5,1.4,278,-999,ºC,ºC,mbar,KPH,
1769691363,1/29/2026 12:56:03 PM,77.41,92.12,41.71,1012.5,1,279,-999,ºC,ºC,mbar,KPH,
1769691425,1/29/2026 12:57:05 PM,77.41,91.94,41.81,1012.6,0.8,280,-999,ºC,ºC,mbar,KPH,
1769691488,1/29/2026 12:58:08 PM,77.43,91.76,41.97,1012.5,1.3,282,-999,ºC,ºC,mbar,KPH,
1769691551,1/29/2026 12:59:11 PM,77.41,91.76,42.1,1012.5,1.5,304,-999,ºC,ºC,mbar,KPH,
1769691613,1/29/2026 1:00:13 PM,77.45,91.58,42.06,1012.5,1.1,273,-999,ºC,ºC,mbar,KPH,
1769691676,1/29/2026 1:01:16 PM,77.47,91.22,42.31,1012.6,1,245,-999,ºC,ºC,mbar,KPH,
1769691739,1/29/2026 1:02:19 PM,77.47,91.22,42.08,1012.5,0.5,224,-999,ºC,ºC,mbar,KPH,
1769691801,1/29/2026 1:03:21 PM,77.45,91.04,42.09,1012.5,1,301,-999,ºC,ºC,mbar,KPH,
1769691864,1/29/2026 1:04:24 PM,77.4,90.86,42.06,1012.6,1.9,295,-999,ºC,ºC,mbar,KPH,
1769691927,1/29/2026 1:05:27 PM,77.36,90.68,41.95,1012.5,2.2,306,-999,ºC,ºC,mbar,KPH,
1769691990,1/29/2026 1:06:30 PM,77.36,90.5,42.01,1012.5,2,274,-999,ºC,ºC,mbar,KPH,
1769692052,1/29/2026 1:07:32 PM,77.36,90.14,41.99,1012.5,1.3,280,-999,ºC,ºC,mbar,KPH,
1769692115,1/29/2026 1:08:35 PM,77.32,90.14,42.24,1012.5,0.6,291,-999,ºC,ºC,mbar,KPH,
1769692178,1/29/2026 1:09:38 PM,77.32,89.96,42.42,1012.4,1.1,289,-999,ºC,ºC,mbar,KPH,
1769692240,1/29/2026 1:10:40 PM,77.36,89.96,42,1012.5,1.2,284,-999,ºC,ºC,mbar,KPH,
1769692303,1/29/2026 1:11:43 PM,77.41,89.6,41.55,1012.5,0.8,269,-999,ºC,ºC,mbar,KPH,
1769692366,1/29/2026 1:12:46 PM,77.45,89.42,41.74,1012.5,1,253,-999,ºC,ºC,mbar,KPH,
1769692429,1/29/2026 1:13:49 PM,77.4,89.42,41.68,1012.5,1.3,274,-999,ºC,ºC,mbar,KPH,
1769692491,1/29/2026 1:14:51 PM,77.32,89.24,42.12,1012.4,0.4,285,-999,ºC,ºC,mbar,KPH,
1769692554,1/29/2026 1:15:54 PM,77.25,88.88,42.33,1012.6,1.7,297,-999,ºC,ºC,mbar,KPH,
1769692617,1/29/2026 1:16:57 PM,77.13,88.88,42.83,1012.5,1.2,284,-999,ºC,ºC,mbar,KPH,
1769692679,1/29/2026 1:17:59 PM,77.04,88.7,43.32,1012.5,1.6,296,-999,ºC,ºC,mbar,KPH,
1769692742,1/29/2026 1:19:02 PM,76.98,88.52,43.41,1012.4,0.7,247,-999,ºC,ºC,mbar,KPH,
1769692805,1/29/2026 1:20:05 PM,76.96,88.34,43.55,1012.5,0.6,282,-999,ºC,ºC,mbar,KPH,
1769692867,1/29/2026 1:21:07 PM,76.98,88.16,43.62,1012.5,0.6,270,-999,ºC,ºC,mbar,KPH,
1769692930,1/29/2026 1:22:10 PM,77.04,88.16,43.84,1012.6,0.9,269,-999,ºC,ºC,mbar,KPH,
1769692993,1/29/2026 1:23:13 PM,77.05,87.8,43.68,1012.5,1.4,283,-999,ºC,ºC,mbar,KPH,
1769693056,1/29/2026 1:24:16 PM,76.95,87.8,43.57,1012.6,0.3,237,-999,ºC,ºC,mbar,KPH,
1769693118,1/29/2026 1:25:18 PM,76.91,87.62,43.52,1012.6,0.7,274,-999,ºC,ºC,mbar,KPH,
1769693181,1/29/2026 1:26:21 PM,76.87,87.44,43.67,1012.6,0.7,259,-999,ºC,ºC,mbar,KPH,
1769693244,1/29/2026 1:27:24 PM,76.84,87.26,43.64,1012.7,0.9,271,-999,ºC,ºC,mbar,KPH,
1769693306,1/29/2026 1:28:26 PM,76.78,87.08,43.71,1012.5,1.5,287,-999,ºC,ºC,mbar,KPH,
1769693369,1/29/2026 1:29:29 PM,76.73,86.9,43.65,1012.6,1.3,282,-999,ºC,ºC,mbar,KPH,
1769693432,1/29/2026 1:30:32 PM,76.68,86.72,43.64,1012.6,1.1,283,-999,ºC,ºC,mbar,KPH,
1769693495,1/29/2026 1:31:35 PM,76.66,86.54,43.72,1012.6,0.8,282,-999,ºC,ºC,mbar,KPH,
1769693557,1/29/2026 1:32:37 PM,76.59,86.54,43.55,1012.7,0.8,243,-999,ºC,ºC,mbar,KPH,
1769693620,1/29/2026 1:33:40 PM,76.5,86.36,43.72,1012.6,0.7,237,-999,ºC,ºC,mbar,KPH,
1769693683,1/29/2026 1:34:43 PM,76.48,86.18,43.8,1012.6,1.8,279,-999,ºC,ºC,mbar,KPH,
1769693745,1/29/2026 1:35:45 PM,76.37,86.0,43.81,1012.7,1.3,294,-999,ºC,ºC,mbar,KPH,
1769693808,1/29/2026 1:36:48 PM,76.26,86.0,43.72,1012.6,0.9,274,-999,ºC,ºC,mbar,KPH,
1769693871,1/29/2026 1:37:51 PM,76.23,85.64,43.9,1012.7,1.1,272,-999,ºC,ºC,mbar,KPH,
1769693933,1/29/2026 1:38:53 PM,76.23,85.46,43.65,1012.7,0.5,299,-999,ºC,ºC,mbar,KPH,
1769693996,1/29/2026 1:39:56 PM,76.19,85.46,43.64,1012.7,1.7,285,-999,ºC,ºC,mbar,KPH,
1769694059,1/29/2026 1:40:59 PM,76.17,85.28,43.61,1012.7,1.7,292,-999,ºC,ºC,mbar,KPH,
1769694122,1/29/2026 1:42:02 PM,76.1,85.28,43.87,1012.8,1.3,279,-999,ºC,ºC,mbar,KPH,
1769694184,1/29/2026 1:43:04 PM,76.03,84.92,43.86,1012.7,1,272,-999,ºC,ºC,mbar,KPH,
1769694247,1/29/2026 1:44:07 PM,76.03,84.92,43.73,1012.7,0.6,236,-999,ºC,ºC,mbar,KPH,
1769694310,1/29/2026 1:45:10 PM,76.01,84.74,43.62,1012.8,1,252,-999,ºC,ºC,mbar,KPH,
1769694372,1/29/2026 1:46:12 PM,76.03,84.56,43.65,1012.8,0.8,253,-999,ºC,ºC,mbar,KPH,
1769694435,1/29/2026 1:47:15 PM,75.97,84.38,43.71,1012.8,0.4,285,-999,ºC,ºC,mbar,KPH,
1769694498,1/29/2026 1:48:18 PM,75.99,84.38,43.77,1012.7,0.6,295,-999,ºC,ºC,mbar,KPH,
1769694561,1/29/2026 1:49:21 PM,75.96,84.2,43.7,1012.8,1.1,282,-999,ºC,ºC,mbar,KPH,
1769694623,1/29/2026 1:50:23 PM,75.94,84.02,43.85,1012.8,0.9,283,-999,ºC,ºC,mbar,KPH,
1769694686,1/29/2026 1:51:26 PM,75.87,83.84,43.71,1012.8,1.6,286,-999,ºC,ºC,mbar,KPH,
1769694749,1/29/2026 1:52:29 PM,75.87,83.84,43.93,1012.8,0.7,279,-999,ºC,ºC,mbar,KPH,
1769694811,1/29/2026 1:53:31 PM,75.83,83.84,44.03,1012.8,0.5,235,-999,ºC,ºC,mbar,KPH,
1769694874,1/29/2026 1:54:34 PM,75.81,83.66,43.93,1012.8,0.2,268,-999,ºC,ºC,mbar,KPH,
1769694937,1/29/2026 1:55:37 PM,75.81,83.48,43.81,1012.8,0.3,287,-999,ºC,ºC,mbar,KPH,
1769694999,1/29/2026 1:56:39 PM,75.79,83.48,43.96,1012.9,0.6,277,-999,ºC,ºC,mbar,KPH,
1769695062,1/29/2026 1:57:42 PM,75.83,83.3,43.88,1012.8,1.5,302,-999,ºC,ºC,mbar,KPH,
1769695125,1/29/2026 1:58:45 PM,75.83,83.3,43.95,1012.8,0.5,301,-999,ºC,ºC,mbar,KPH,
1769695188,1/29/2026 1:59:48 PM,75.83,83.3,43.72,1012.7,0.8,240,-999,ºC,ºC,mbar,KPH,
1769695250,1/29/2026 2:00:50 PM,75.78,83.12,43.95,1012.8,0.8,244,-999,ºC,ºC,mbar,KPH,
1769695313,1/29/2026 2:01:53 PM,75.72,83.12,44.18,1012.8,0.6,279,-999,ºC,ºC,mbar,KPH,
1769695376,1/29/2026 2:02:56 PM,75.65,82.94,44.35,1012.7,1,279,-999,ºC,ºC,mbar,KPH,
1769695438,1/29/2026 2:03:58 PM,75.58,82.94,44.42,1012.7,0.9,249,-999,ºC,ºC,mbar,KPH,
1769695501,1/29/2026 2:05:01 PM,75.51,82.76,44.55,1012.7,0.9,296,-999,ºC,ºC,mbar,KPH,
1769695564,1/29/2026 2:06:04 PM,75.43,82.76,44.54,1012.7,0.6,248,-999,ºC,ºC,mbar,KPH,
1769695627,1/29/2026 2:07:07 PM,75.36,82.58,44.61,1012.8,0.5,250,-999,ºC,ºC,mbar,KPH,
1769695689,1/29/2026 2:08:09 PM,75.31,82.58,44.73,1012.8,1.3,304,-999,ºC,ºC,mbar,KPH,
1769695752,1/29/2026 2:09:12 PM,75.22,82.22,44.85,1012.8,1.1,303,-999,ºC,ºC,mbar,KPH,
1769695815,1/29/2026 2:10:15 PM,75.22,82.22,44.9,1012.8,0.8,278,-999,ºC,ºC,mbar,KPH,
1769695877,1/29/2026 2:11:17 PM,75.2,82.04,44.82,1012.7,0.4,285,-999,ºC,ºC,mbar,KPH,
1769695940,1/29/2026 2:12:20 PM,75.13,82.04,44.89,1012.8,1,302,-999,ºC,ºC,mbar,KPH,
1769696003,1/29/2026 2:13:23 PM,75.11,81.86,44.97,1012.8,0.8,294,-999,ºC,ºC,mbar,KPH,
1769696065,1/29/2026 2:14:25 PM,75.07,81.68,44.97,1012.8,0.5,284,-999,ºC,ºC,mbar,KPH,
