TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1770379216,2/6/2026 12:00:16 PM,76.68,95.0,59.03,1019.1,0.7,240,-999,
1770379279,2/6/2026 12:01:19 PM,76.84,94.82,58.81,1019,0.9,288,-999,
1770379341,2/6/2026 12:02:21 PM,76.78,94.46,58.63,1019.1,0.9,265,-999,
1770379404,2/6/2026 12:03:24 PM,76.87,94.28,58.9,1019.1,0.5,254,-999,
1770379467,2/6/2026 12:04:27 PM,76.93,94.28,58.83,1019.1,1.3,311,-999,
1770379529,2/6/2026 12:05:29 PM,76.91,94.1,58.55,1019.1,0.6,280,-999,
1770379592,2/6/2026 12:06:32 PM,76.82,93.92,58.33,1019,0.7,213,-999,
1770379655,2/6/2026 12:07:35 PM,76.82,93.92,58.44,1019.2,1.7,303,-999,
1770379718,2/6/2026 12:08:38 PM,76.86,93.92,58.4,1019.1,1.3,304,-999,
1770379780,2/6/2026 12:09:40 PM,76.86,93.92,58.29,1019.2,1.2,288,-999,
1770379843,2/6/2026 12:10:43 PM,76.91,93.56,57.99,1019.2,1.2,294,-999,
1770379906,2/6/2026 12:11:46 PM,76.89,93.56,58.01,1019.1,1.3,292,-999,
1770379968,2/6/2026 12:12:48 PM,76.89,93.56,57.96,1019.2,1.1,301,-999,
1770380031,2/6/2026 12:13:51 PM,76.8,93.2,58,1019.2,1.3,275,-999,
1770380094,2/6/2026 12:14:54 PM,76.69,93.2,58.43,1019.1,1.1,315,-999,
1770380157,2/6/2026 12:15:57 PM,76.66,93.02,58.43,1019.2,1.3,306,-999,
1770380219,2/6/2026 12:16:59 PM,76.68,92.66,58.62,1019.1,1,295,-999,
1770380282,2/6/2026 12:18:02 PM,76.68,92.66,58.4,1019.1,1.1,283,-999,
1770380345,2/6/2026 12:19:05 PM,76.62,92.48,58.83,1019.2,1.6,286,-999,
1770380407,2/6/2026 12:20:07 PM,76.51,92.48,58.96,1019.1,1.4,311,-999,
1770380470,2/6/2026 12:21:10 PM,76.39,92.3,59.35,1019.1,1.4,293,-999,
1770380533,2/6/2026 12:22:13 PM,76.35,92.3,59.66,1019,1,297,-999,
1770380595,2/6/2026 12:23:15 PM,76.33,92.3,59.73,1019.1,0.9,232,-999,
1770380658,2/6/2026 12:24:18 PM,76.33,92.12,59.37,1019,2.4,291,-999,
1770380721,2/6/2026 12:25:21 PM,76.21,91.94,59.14,1019.1,1.3,166,-999,
1770380784,2/6/2026 12:26:24 PM,76.03,91.94,58.25,1019.1,1.2,330,-999,
1770380846,2/6/2026 12:27:26 PM,75.78,91.94,58.41,1019.1,1.7,185,-999,
1770380909,2/6/2026 12:28:29 PM,75.69,91.76,58.85,1019.1,1,151,-999,
1770380972,2/6/2026 12:29:32 PM,75.63,91.58,58.93,1019.1,1.3,300,-999,
1770381034,2/6/2026 12:30:34 PM,75.54,91.58,59.21,1019,1.2,109,-999,
1770381097,2/6/2026 12:31:37 PM,75.61,91.4,59.2,1019.1,1.3,300,-999,
1770381160,2/6/2026 12:32:40 PM,75.49,91.22,58.94,1019.1,1.7,121,-999,
1770381222,2/6/2026 12:33:42 PM,75.11,91.04,59.71,1019,1.6,139,-999,
1770381285,2/6/2026 12:34:45 PM,74.82,91.04,60.1,1019.1,1.2,301,-999,
1770381348,2/6/2026 12:35:48 PM,74.84,90.68,61.1,1019.2,1.5,293,-999,
1770381411,2/6/2026 12:36:51 PM,75.0,90.68,61.25,1019.1,1.1,262,-999,
1770381473,2/6/2026 12:37:53 PM,75.16,90.5,61.27,1019.1,2,293,-999,
1770381536,2/6/2026 12:38:56 PM,75.24,90.32,60.59,1019.1,0.7,292,-999,
1770381599,2/6/2026 12:39:59 PM,75.29,90.32,60.25,1019.1,1.7,288,-999,
1770381661,2/6/2026 12:41:01 PM,75.38,90.14,59.57,1019.1,1.4,295,-999,
1770381724,2/6/2026 12:42:04 PM,75.42,90.14,59.12,1019,1.3,296,-999,
1770381787,2/6/2026 12:43:07 PM,75.42,89.96,58.92,1019,0.5,305,-999,
1770381850,2/6/2026 12:44:10 PM,75.42,89.96,58.46,1019,0.9,313,-999,
1770381912,2/6/2026 12:45:12 PM,75.34,89.78,58.47,1019.1,1.1,301,-999,
1770381975,2/6/2026 12:46:15 PM,75.31,89.6,58.63,1019.1,0.8,286,-999,
1770382038,2/6/2026 12:47:18 PM,75.33,89.6,58.86,1019.1,1.5,284,-999,
1770382100,2/6/2026 12:48:20 PM,75.29,89.42,58.83,1019,1.8,133,-999,
1770382163,2/6/2026 12:49:23 PM,75.07,89.24,59.45,1019.1,0.5,7,-999,
1770382226,2/6/2026 12:50:26 PM,75.06,89.24,59.82,1019.1,0.7,206,-999,
1770382288,2/6/2026 12:51:28 PM,75.0,89.06,59.91,1019.1,1.1,149,-999,
1770382351,2/6/2026 12:52:31 PM,74.89,89.06,60.49,1019.1,1.4,291,-999,
1770382414,2/6/2026 12:53:34 PM,74.71,88.88,60.79,1019.1,1.2,295,-999,
1770382477,2/6/2026 12:54:37 PM,74.7,88.7,61.1,1019.1,1,282,-999,
1770382539,2/6/2026 12:55:39 PM,74.7,88.7,61.39,1019.1,1.2,285,-999,
1770382602,2/6/2026 12:56:42 PM,74.77,88.52,61.76,1019.1,0.8,110,-999,
1770382665,2/6/2026 12:57:45 PM,74.73,88.52,62.19,1019,1.2,312,-999,
1770382727,2/6/2026 12:58:47 PM,74.66,88.52,62.62,1019,0.9,274,-999,
