NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,1,1,2:56.371,0,,1:11.364,0,54.965,0,50.042,0,105.5,2:56.371,10:12:56.371,1:11.364,0:54.965,0:50.042,185.9,Antares AU,0:00:26.857,GT,,Manthey,Porsche,GF,71.364,54.965,50.042,
10,1,2,2:03.269,0,,26.415,0,48.959,0,47.895,0,154.2,4:59.640,10:14:59.640,0:26.415,0:48.959,0:47.895,255.9,Antares AU,,GT,,Manthey,Porsche,GF,26.415,48.959,47.895,
10,1,3,1:56.235,0,,24.761,0,48.057,0,43.417,0,163.6,6:55.875,10:16:55.875,0:24.761,0:48.057,0:43.417,258.4,Antares AU,,GT,,Manthey,Porsche,GF,24.761,48.057,43.417,
10,1,4,1:55.007,0,,24.383,0,47.661,0,42.963,0,165.3,8:50.882,10:18:50.882,0:24.383,0:47.661,0:42.963,259.0,Antares AU,,GT,,Manthey,Porsche,GF,24.383,47.661,42.963,
10,1,5,1:55.085,0,,24.395,0,47.442,2,43.248,0,165.2,10:45.967,10:20:45.967,0:24.395,0:47.442,0:43.248,259.0,Antares AU,,GT,,Manthey,Porsche,GF,24.395,47.442,43.248,
10,1,6,1:54.861,2,,24.321,2,47.562,0,42.978,0,165.5,12:40.828,10:22:40.828,0:24.321,0:47.562,0:42.978,260.2,Antares AU,,GT,,Manthey,Porsche,GF,24.321,47.562,42.978,
10,1,7,1:57.435,0,,24.825,0,47.958,0,44.652,0,161.9,14:38.263,10:24:38.263,0:24.825,0:47.958,0:44.652,259.0,Antares AU,,GT,,Manthey,Porsche,GF,24.825,47.958,44.652,
10,1,8,1:55.075,0,,24.467,0,47.739,0,42.869,2,165.2,16:33.338,10:26:33.338,0:24.467,0:47.739,0:42.869,258.4,Antares AU,,GT,,Manthey,Porsche,FF,24.467,47.739,42.869,
11,1,1,3:00.570,0,,1:15.026,0,55.239,0,50.305,0,103.1,3:00.570,10:13:00.570,1:15.026,0:55.239,0:50.305,221.3,Blake McDonald,0:00:31.006,GT,,TF Sport,Corvette,GF,75.026,55.239,50.305,
11,1,2,2:03.037,0,,26.269,0,50.233,0,46.535,0,154.5,5:03.607,10:15:03.607,0:26.269,0:50.233,0:46.535,220.9,Blake McDonald,,GT,,TF Sport,Corvette,GF,26.269,50.233,46.535,
11,1,3,1:56.374,0,,24.461,0,48.601,0,43.312,0,163.4,6:59.981,10:16:59.981,0:24.461,0:48.601,0:43.312,260.2,Blake McDonald,,GT,,TF Sport,Corvette,GF,24.461,48.601,43.312,
11,1,4,1:54.610,0,,24.122,0,47.398,2,43.090,0,165.9,8:54.591,10:18:54.591,0:24.122,0:47.398,0:43.090,260.9,Blake McDonald,,GT,,TF Sport,Corvette,GF,24.122,47.398,43.090,
11,1,5,1:55.001,0,,24.104,0,47.738,0,43.159,0,165.3,10:49.592,10:20:49.592,0:24.104,0:47.738,0:43.159,261.5,Blake McDonald,,GT,,TF Sport,Corvette,GF,24.104,47.738,43.159,
11,1,6,1:54.581,2,,24.148,0,47.504,0,42.929,2,165.9,12:44.173,10:22:44.173,0:24.148,0:47.504,0:42.929,260.9,Blake McDonald,,GT,,TF Sport,Corvette,GF,24.148,47.504,42.929,
11,1,7,1:54.669,0,,24.089,2,47.411,0,43.169,0,165.8,14:38.842,10:24:38.842,0:24.089,0:47.411,0:43.169,260.9,Blake McDonald,,GT,,TF Sport,Corvette,GF,24.089,47.411,43.169,
11,1,8,1:55.739,0,,24.232,0,47.877,0,43.630,0,164.3,16:34.581,10:26:34.581,0:24.232,0:47.877,0:43.630,259.0,Blake McDonald,,GT,,TF Sport,Corvette,FF,24.232,47.877,43.630,
15,2,1,2:53.410,0,,1:07.129,0,55.090,0,51.191,0,107.4,2:53.410,10:12:53.410,1:07.129,0:55.090,0:51.191,195.7,Memo Gidley,0:00:18.102,GT,,Kessel Racing,Ferrari,GF,67.129,55.090,51.191,
15,2,2,2:01.715,0,,26.193,0,49.820,0,45.702,0,156.2,4:55.125,10:14:55.125,0:26.193,0:49.820,0:45.702,242.2,Memo Gidley,,GT,,Kessel Racing,Ferrari,GF,26.193,49.820,45.702,
15,2,3,1:56.040,0,,24.544,0,48.016,0,43.480,0,163.8,6:51.165,10:16:51.165,0:24.544,0:48.016,0:43.480,260.9,Memo Gidley,,GT,,Kessel Racing,Ferrari,GF,24.544,48.016,43.480,
15,2,4,1:55.659,0,,24.777,0,47.737,0,43.145,2,164.4,8:46.824,10:18:46.824,0:24.777,0:47.737,0:43.145,260.2,Memo Gidley,,GT,,Kessel Racing,Ferrari,GF,24.777,47.737,43.145,
15,2,5,1:55.638,0,,24.378,0,47.740,0,43.520,0,164.4,10:42.462,10:20:42.462,0:24.378,0:47.740,0:43.520,259.6,Memo Gidley,,GT,,Kessel Racing,Ferrari,GF,24.378,47.740,43.520,
15,2,6,1:57.858,0,,24.528,0,48.706,0,44.624,0,161.3,12:40.320,10:22:40.320,0:24.528,0:48.706,0:44.624,254.7,Memo Gidley,,GT,,Kessel Racing,Ferrari,GF,24.528,48.706,44.624,
15,2,7,1:55.616,0,,24.486,0,47.692,0,43.438,0,164.4,14:35.936,10:24:35.936,0:24.486,0:47.692,0:43.438,259.6,Memo Gidley,,GT,,Kessel Racing,Ferrari,GF,24.486,47.692,43.438,
15,2,8,1:55.542,2,,24.344,2,47.629,2,43.569,0,164.5,16:31.478,10:26:31.478,0:24.344,0:47.629,0:43.569,260.2,Memo Gidley,,GT,,Kessel Racing,Ferrari,FF,24.344,47.629,43.569,
21,2,1,3:07.771,0,,1:17.842,0,58.411,0,51.518,0,99.1,3:07.771,10:13:07.771,1:17.842,0:58.411,0:51.518,163.4,Darren Leung,0:00:32.939,GT,,AF Corse,Ferrari,GF,77.842,58.411,51.518,
21,2,2,2:12.229,0,,28.106,0,50.963,0,53.160,0,143.8,5:20.000,10:15:20.000,0:28.106,0:50.963,0:53.160,233.3,Darren Leung,,GT,,AF Corse,Ferrari,GF,28.106,50.963,53.160,
21,2,3,2:00.096,0,,25.381,0,50.875,0,43.840,0,158.3,7:20.096,10:17:20.096,0:25.381,0:50.875,0:43.840,228.3,Darren Leung,,GT,,AF Corse,Ferrari,GF,25.381,50.875,43.840,
21,2,4,1:55.653,0,,24.639,0,48.120,0,42.894,0,164.4,9:15.749,10:19:15.749,0:24.639,0:48.120,0:42.894,256.5,Darren Leung,,GT,,AF Corse,Ferrari,GF,24.639,48.120,42.894,
