NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
20,1,1,2:18.708,0,,45.601,0,51.511,0,41.596,0,134.2,2:18.708,11:17:18.708,0:45.601,0:51.511,0:41.596,209.3,John Falb,0:00:08.504,LMP2,,Algarve Pro Racing,Oreca,GF,45.601,51.511,41.596,
20,1,2,1:50.091,0,,22.247,0,48.436,0,39.408,0,172.7,4:08.799,11:19:08.799,0:22.247,0:48.436,0:39.408,189.5,John Falb,,LMP2,,Algarve Pro Racing,Oreca,GF,22.247,48.436,39.408,
20,1,3,1:54.184,0,,21.149,0,53.354,0,39.681,0,166.5,6:02.983,11:21:02.983,0:21.149,0:53.354,0:39.681,280.5,John Falb,,LMP2,,Algarve Pro Racing,Oreca,GF,21.149,53.354,39.681,
20,1,4,1:52.467,0,B,20.941,0,44.309,0,47.217,0,169.0,7:55.450,11:22:55.450,0:20.941,0:44.309,0:47.217,276.2,John Falb,,LMP2,,Algarve Pro Racing,Oreca,RF,20.941,44.309,47.217,
20,1,5,6:01.462,0,,4:37.617,0,44.504,0,39.341,0,52.6,13:56.912,11:28:56.912,4:37.617,0:44.504,0:39.341,252.9,John Falb,0:04:09.605,LMP2,,Algarve Pro Racing,Oreca,GF,277.617,44.504,39.341,
20,1,6,1:43.618,0,,21.125,0,43.764,0,38.729,0,183.5,15:40.530,11:30:40.530,0:21.125,0:43.764,0:38.729,279.8,John Falb,,LMP2,,Algarve Pro Racing,Oreca,GF,21.125,43.764,38.729,
20,1,7,1:42.792,2,,21.050,0,43.339,0,38.403,0,185.0,17:23.322,11:32:23.322,0:21.050,0:43.339,0:38.403,279.1,John Falb,,LMP2,,Algarve Pro Racing,Oreca,GF,21.050,43.339,38.403,
20,1,8,1:42.807,0,,21.224,0,43.248,2,38.335,2,184.9,19:06.129,11:34:06.129,0:21.224,0:43.248,0:38.335,285.0,John Falb,,LMP2,,Algarve Pro Racing,Oreca,GF,21.224,43.248,38.335,
20,1,9,1:43.266,0,,21.022,2,43.544,0,38.700,0,184.1,20:49.395,11:35:49.395,0:21.022,0:43.544,0:38.700,285.0,John Falb,,LMP2,,Algarve Pro Racing,Oreca,FF,21.022,43.544,38.700,
22,1,1,3:28.633,0,,1:45.638,0,55.034,0,47.961,0,89.2,3:28.633,11:18:28.633,1:45.638,0:55.034,0:47.961,169.0,Stefan Aust,0:01:11.407,LMP2,,Proton Competition,Oreca,GF,105.638,55.034,47.961,
22,1,2,1:49.347,0,,23.171,0,45.365,0,40.811,0,173.9,5:17.980,11:20:17.980,0:23.171,0:45.365,0:40.811,240.0,Stefan Aust,,LMP2,,Proton Competition,Oreca,GF,23.171,45.365,40.811,
22,1,3,1:44.783,0,,21.891,0,43.733,0,39.159,2,181.4,7:02.763,11:22:02.763,0:21.891,0:43.733,0:39.159,274.8,Stefan Aust,,LMP2,,Proton Competition,Oreca,GF,21.891,43.733,39.159,
22,1,4,3:09.298,0,B,21.454,0,1:29.753,0,1:18.091,0,100.4,10:12.061,11:25:12.061,0:21.454,1:29.753,1:18.091,79.4,Stefan Aust,,LMP2,,Proton Competition,Oreca,RF,21.454,89.753,78.091,
22,1,5,4:23.836,0,,2:50.400,0,47.712,0,45.724,0,72.1,14:35.897,11:29:35.897,2:50.400,0:47.712,0:45.724,206.1,Stefan Aust,0:02:08.093,LMP2,,Proton Competition,Oreca,GF,170.400,47.712,45.724,
22,1,6,1:44.960,0,,21.961,0,43.542,0,39.457,0,181.1,16:20.857,11:31:20.857,0:21.961,0:43.542,0:39.457,274.8,Stefan Aust,,LMP2,,Proton Competition,Oreca,GF,21.961,43.542,39.457,
22,1,7,1:44.364,2,,21.412,0,43.554,0,39.398,0,182.2,18:05.221,11:33:05.221,0:21.412,0:43.554,0:39.398,284.2,Stefan Aust,,LMP2,,Proton Competition,Oreca,GF,21.412,43.554,39.398,
