TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1770462049,2/7/2026 11:00:49 AM,81.48,105.62,53.48,1015.5,1,289,-999,
1770462112,2/7/2026 11:01:52 AM,81.43,105.62,52.7,1015.5,1.4,181,-999,
1770462174,2/7/2026 11:02:54 AM,81.45,105.26,53.37,1015.4,1.1,262,-999,
1770462237,2/7/2026 11:03:57 AM,81.54,105.26,53.31,1015.4,1.2,287,-999,
1770462300,2/7/2026 11:05:00 AM,81.73,105.26,53.25,1015.4,0.8,265,-999,
1770462362,2/7/2026 11:06:02 AM,81.91,105.26,53.15,1015.4,1.1,275,-999,
1770462425,2/7/2026 11:07:05 AM,82.04,105.08,53,1015.4,1.3,299,-999,
1770462488,2/7/2026 11:08:08 AM,82.11,105.08,52.69,1015.3,1.2,282,-999,
1770462551,2/7/2026 11:09:11 AM,82.15,104.9,53.33,1015.3,1.2,286,-999,
1770462613,2/7/2026 11:10:13 AM,82.11,104.72,53.52,1015.4,2.1,297,-999,
1770462676,2/7/2026 11:11:16 AM,82.18,104.72,53.91,1015.4,2.3,298,-999,
1770462739,2/7/2026 11:12:19 AM,82.31,104.72,53.68,1015.4,1.6,290,-999,
1770462801,2/7/2026 11:13:21 AM,82.47,104.54,53.59,1015.3,2.1,303,-999,
1770462864,2/7/2026 11:14:24 AM,82.49,104.54,53.65,1015.3,1.8,293,-999,
1770462927,2/7/2026 11:15:27 AM,82.45,104.36,53.18,1015.2,1.3,264,-999,
1770462990,2/7/2026 11:16:30 AM,82.27,104.18,52.23,1015.4,2.6,140,-999,
1770463052,2/7/2026 11:17:32 AM,81.5,104.18,52.92,1015.4,1.3,174,-999,
1770463115,2/7/2026 11:18:35 AM,80.87,104.0,53.41,1015.3,1.7,123,-999,
1770463178,2/7/2026 11:19:38 AM,80.24,104.0,53.99,1015.4,1.6,141,-999,
1770463240,2/7/2026 11:20:40 AM,79.88,103.82,54.07,1015.4,2.6,115,-999,
1770463303,2/7/2026 11:21:43 AM,79.74,103.82,53.86,1015.3,2.4,140,-999,
1770463366,2/7/2026 11:22:46 AM,79.61,103.64,53.78,1015.3,1.8,152,-999,
1770463428,2/7/2026 11:23:48 AM,79.5,103.46,54.02,1015.4,2.2,117,-999,
1770463491,2/7/2026 11:24:51 AM,79.66,103.46,54.28,1015.2,0.8,294,-999,
1770463554,2/7/2026 11:25:54 AM,80.08,103.28,53.12,1015.2,0.9,262,-999,
1770463617,2/7/2026 11:26:57 AM,80.4,103.28,51.88,1015.3,1.1,263,-999,
1770463679,2/7/2026 11:27:59 AM,80.42,103.28,51.53,1015.3,1.6,183,-999,
