NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
10,1,1,3:43.808,0,B,1:48.197,0,1:05.650,0,49.961,0,67.4,3:43.808,15:33:43.808,1:48.197,1:05.650,0:49.961,165.4,Huub VAN EIJNDHOVEN,0:01:16.868,PRO,,#Team PGZ by JW RaceService,,
10,1,2,4:04.977,0,,2:36.644,0,55.600,0,32.733,0,63.5,7:48.785,15:37:48.785,2:36.644,0:55.600,0:32.733,159.1,Huub VAN EIJNDHOVEN,0:02:12.294,PRO,,#Team PGZ by JW RaceService,,
10,1,3,1:48.443,0,,26.105,0,51.522,0,30.816,0,143.3,9:37.228,15:39:37.228,0:26.105,0:51.522,0:30.816,148.1,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,4,1:56.632,0,B,24.546,0,48.344,0,43.742,0,133.3,11:33.860,15:41:33.860,0:24.546,0:48.344,0:43.742,198.5,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,5,7:44.288,0,,6:20.641,0,52.479,0,31.168,0,33.5,19:18.148,15:49:18.148,6:20.641,0:52.479,0:31.168,155.2,Huub VAN EIJNDHOVEN,0:05:57.660,PRO,,#Team PGZ by JW RaceService,,
10,1,6,1:41.704,0,,24.232,0,47.751,0,29.721,0,152.8,20:59.852,15:50:59.852,0:24.232,0:47.751,0:29.721,190.8,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,7,1:40.921,0,,23.952,0,47.761,0,29.208,0,154.0,22:40.773,15:52:40.773,0:23.952,0:47.761,0:29.208,191.5,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,8,1:38.583,0,,23.733,0,45.491,0,29.359,0,157.7,24:19.356,15:54:19.356,0:23.733,0:45.491,0:29.359,193.2,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,9,1:38.124,0,,23.960,0,44.798,0,29.366,0,158.4,25:57.480,15:55:57.480,0:23.960,0:44.798,0:29.366,202.6,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,10,1:37.563,0,,23.839,0,44.873,0,28.851,0,159.3,27:35.043,15:57:35.043,0:23.839,0:44.873,0:28.851,200.0,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,11,1:36.067,0,,23.439,0,43.835,0,28.793,0,161.8,29:11.110,15:59:11.110,0:23.439,0:43.835,0:28.793,213.0,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,12,1:35.671,0,,23.342,0,43.471,0,28.858,0,162.5,30:46.781,16:00:46.781,0:23.342,0:43.471,0:28.858,216.9,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,13,1:36.802,0,,23.831,0,44.379,0,28.592,0,160.6,32:23.583,16:02:23.583,0:23.831,0:44.379,0:28.592,200.7,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,14,1:37.734,0,,23.572,0,44.820,0,29.342,0,159.1,34:01.317,16:04:01.317,0:23.572,0:44.820,0:29.342,195.3,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,15,1:36.063,0,,23.710,0,43.099,0,29.254,0,161.8,35:37.380,16:05:37.380,0:23.710,0:43.099,0:29.254,234.8,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,16,1:34.786,0,,23.596,0,42.426,0,28.764,0,164.0,37:12.166,16:07:12.166,0:23.596,0:42.426,0:28.764,232.8,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,17,1:33.877,0,,23.225,2,42.063,0,28.589,2,165.6,38:46.043,16:08:46.043,0:23.225,0:42.063,0:28.589,236.8,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
10,1,18,1:33.872,2,,23.289,0,41.892,2,28.691,0,165.6,40:19.915,16:10:19.915,0:23.289,0:41.892,0:28.691,235.8,Huub VAN EIJNDHOVEN,,PRO,,#Team PGZ by JW RaceService,,
11,1,1,5:08.333,0,,3:27.521,0,1:00.197,0,40.615,0,48.9,5:08.333,15:35:08.333,3:27.521,1:00.197,0:40.615,125.0,Ad GEERTS,0:02:54.463,AM,,#Team PGZ by Red Ant Racing,,
11,1,2,2:15.168,0,B,33.406,0,56.561,0,45.201,0,115.0,7:23.501,15:37:23.501,0:33.406,0:56.561,0:45.201,165.4,Ad GEERTS,,AM,,#Team PGZ by Red Ant Racing,,
11,1,3,3:34.828,0,,2:03.637,0,54.526,0,36.665,0,72.4,10:58.329,15:40:58.329,2:03.637,0:54.526,0:36.665,166.4,Ad GEERTS,0:01:37.964,AM,,#Team PGZ by Red Ant Racing,,
11,1,4,2:40.275,0,B,39.638,0,1:07.722,0,52.915,0,97.0,13:38.604,15:43:38.604,0:39.638,1:07.722,0:52.915,108.4,Ad GEERTS,,AM,,#Team PGZ by Red Ant Racing,,
11,1,5,5:53.610,0,,4:19.590,0,56.495,0,37.525,0,44.0,19:32.214,15:49:32.214,4:19.590,0:56.495,0:37.525,169.0,Ad GEERTS,0:03:55.188,AM,,#Team PGZ by Red Ant Racing,,
11,1,6,1:49.996,0,,26.637,0,49.316,0,34.043,0,141.3,21:22.210,15:51:22.210,0:26.637,0:49.316,0:34.043,182.1,Ad GEERTS,,AM,,#Team PGZ by Red Ant Racing,,
11,1,7,1:45.020,0,,25.564,0,47.090,0,32.366,0,148.0,23:07.230,15:53:07.230,0:25.564,0:47.090,0:32.366,214.3,Ad GEERTS,,AM,,#Team PGZ by Red Ant Racing,,
