NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
11,2,1,2:21.671,0,,59.080,0,30.402,0,52.189,0,143.8,2:21.671,14:02:21.671,0:59.080,0:30.402,0:52.189,270.0,Jacopo BARATTO,0:00:23.643,LMP3,,Eurointernational,Ligier,
11,2,2,1:54.135,0,,33.713,0,29.978,0,50.444,0,182.0,4:15.806,14:04:15.806,0:33.713,0:29.978,0:50.444,274.8,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,3,1:55.036,0,,34.712,0,29.819,0,50.505,0,180.6,6:10.842,14:06:10.842,0:34.712,0:29.819,0:50.505,276.2,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,4,2:04.161,0,,33.865,0,39.902,0,50.394,0,167.3,8:15.003,14:08:15.003,0:33.865,0:39.902,0:50.394,274.8,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,5,1:54.615,0,,33.431,0,29.535,0,51.649,0,181.3,10:09.618,14:10:09.618,0:33.431,0:29.535,0:51.649,277.6,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,6,1:54.233,0,,34.012,0,29.641,0,50.580,0,181.9,12:03.851,14:12:03.851,0:34.012,0:29.641,0:50.580,274.8,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,7,1:53.588,0,,33.486,0,29.686,0,50.416,0,182.9,13:57.439,14:13:57.439,0:33.486,0:29.686,0:50.416,273.4,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,8,1:53.453,0,,33.518,0,29.728,0,50.207,0,183.1,15:50.892,14:15:50.892,0:33.518,0:29.728,0:50.207,274.8,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,9,2:02.879,0,,33.370,0,29.672,0,59.837,0,169.1,17:53.771,14:17:53.771,0:33.370,0:29.672,0:59.837,274.8,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,10,2:01.744,0,B,33.481,0,29.697,0,58.566,0,170.6,19:55.515,14:19:55.515,0:33.481,0:29.697,0:58.566,274.1,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,11,2:48.296,0,,1:28.304,0,29.782,0,50.210,0,123.4,22:43.811,14:22:43.811,1:28.304,0:29.782,0:50.210,274.1,Jacopo BARATTO,0:01:02.878,LMP3,,Eurointernational,Ligier,
11,2,12,1:53.197,0,,33.125,1,29.598,0,50.474,0,183.5,24:37.008,14:24:37.008,0:33.125,0:29.598,0:50.474,274.8,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,13,1:53.685,0,,33.369,0,29.551,0,50.765,0,182.7,26:30.693,14:26:30.693,0:33.369,0:29.551,0:50.765,274.1,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,14,1:53.393,0,,33.504,0,29.632,0,50.257,0,183.2,28:24.086,14:28:24.086,0:33.504,0:29.632,0:50.257,273.4,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,15,1:53.284,0,,33.203,0,29.588,0,50.493,0,183.4,30:17.370,14:30:17.370,0:33.203,0:29.588,0:50.493,274.1,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,2,16,2:01.071,0,B,33.574,0,29.597,0,57.900,0,171.6,32:18.441,14:32:18.441,0:33.574,0:29.597,0:57.900,272.7,Jacopo BARATTO,,LMP3,,Eurointernational,Ligier,
11,1,17,11:06.988,0,,9:34.702,0,37.186,0,55.100,0,31.1,43:25.429,14:43:25.429,9:34.702,0:37.186,0:55.100,260.9,Andrea DROMEDARI,0:09:04.523,LMP3,,Eurointernational,Ligier,
11,1,18,1:58.433,0,,34.565,0,30.234,0,53.634,0,175.4,45:23.862,14:45:23.862,0:34.565,0:30.234,0:53.634,271.4,Andrea DROMEDARI,,LMP3,,Eurointernational,Ligier,
11,1,19,1:57.100,0,,34.161,0,29.908,0,53.031,0,177.4,47:20.962,14:47:20.962,0:34.161,0:29.908,0:53.031,273.4,Andrea DROMEDARI,,LMP3,,Eurointernational,Ligier,
11,1,20,1:57.735,0,,35.982,0,30.034,0,51.719,0,176.5,49:18.697,14:49:18.697,0:35.982,0:30.034,0:51.719,276.2,Andrea DROMEDARI,,LMP3,,Eurointernational,Ligier,
