TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1622721629,6/3/2021 12:00:29 PM,75.1,89.96,46,971.86,10.6093,134,-1,
1622721694,6/3/2021 12:01:34 PM,75.1,89.96,46,971.826,8.48747,126,-1,
1622721764,6/3/2021 12:02:44 PM,75.2,89.96,46,971.86,10.6093,139,-1,
1622721829,6/3/2021 12:03:49 PM,75.3,89.96,46,971.894,4.24374,112,-1,
1622721890,6/3/2021 12:04:50 PM,75.3,89.96,45,971.826,7.42654,92,-1,
1622721960,6/3/2021 12:06:00 PM,75.4,89.96,45,971.826,3.1828,137,-1,
1622722025,6/3/2021 12:07:05 PM,75.4,90.5,46,971.826,9.54841,156,-1,
1622722095,6/3/2021 12:08:15 PM,75.4,90.5,46,971.894,7.42654,111,-1,
1622722155,6/3/2021 12:09:15 PM,75.5,90.5,47,971.826,4.24374,112,-1,
1622722220,6/3/2021 12:10:20 PM,75.4,90.5,46,971.86,7.42654,103,-1,
1622722285,6/3/2021 12:11:25 PM,75.3,90.5,45,971.86,5.30467,123,-1,
1622722350,6/3/2021 12:12:30 PM,75.3,90.86,47,971.86,10.6093,119,-1,
1622722410,6/3/2021 12:13:30 PM,75.2,90.86,47,971.894,7.42654,105,-1,
1622722476,6/3/2021 12:14:36 PM,75.1,90.86,46,971.894,8.48747,111,-1,
1622722540,6/3/2021 12:15:40 PM,75.0,90.86,47,971.894,11.6703,95,-1,
1622722601,6/3/2021 12:16:41 PM,75.0,90.86,48,971.894,8.48747,97,-1,
1622722666,6/3/2021 12:17:46 PM,75.1,90.86,48,971.894,9.54841,100,-1,
1622722731,6/3/2021 12:18:51 PM,75.1,90.86,48,971.961,9.54841,100,-1,
1622722796,6/3/2021 12:19:56 PM,75.2,91.4,47,971.961,5.30467,120,-1,
1622722856,6/3/2021 12:20:56 PM,75.2,91.4,47,971.894,9.54841,88,-1,
1622722921,6/3/2021 12:22:01 PM,75.3,91.4,48,971.894,7.42654,123,-1,
1622722986,6/3/2021 12:23:06 PM,75.4,91.4,48,971.894,6.3656,130,-1,
1622723066,6/3/2021 12:24:26 PM,75.8,91.4,46,971.86,11.6703,127,-1,
1622723131,6/3/2021 12:25:31 PM,75.9,91.4,45,971.86,14.8531,121,-1,
1622723201,6/3/2021 12:26:41 PM,75.8,91.4,44,971.927,10.6093,115,-1,
1622723267,6/3/2021 12:27:47 PM,75.6,91.4,44,971.961,11.6703,122,-1,
1622723327,6/3/2021 12:28:47 PM,75.5,91.4,45,972.029,9.54841,123,-1,
1622723392,6/3/2021 12:29:52 PM,75.3,91.76,44,971.961,6.3656,101,-1,
1622723462,6/3/2021 12:31:02 PM,75.0,91.76,46,971.961,9.54841,107,-1,
1622723527,6/3/2021 12:32:07 PM,74.9,91.76,47,971.961,9.54841,113,-1,
1622723592,6/3/2021 12:33:12 PM,74.9,91.76,46,972.029,6.3656,151,-1,
1622723657,6/3/2021 12:34:17 PM,74.8,91.76,47,971.961,7.42654,126,-1,
