NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
17,3,1,3:09.668,0,,1:50.270,0,27.408,0,51.990,0,107.4,3:09.668,14:23:09.668,1:50.270,0:27.408,0:51.990,300.8,Gabriel AUBRY,0:01:17.992,LMP2,P/A,IDEC Sport,Oreca,
17,3,2,1:52.892,0,,30.455,0,26.870,3,55.567,0,184.0,5:02.560,14:25:02.560,0:30.455,0:26.870,0:55.567,306.8,Gabriel AUBRY,,LMP2,P/A,IDEC Sport,Oreca,
17,3,3,4:26.739,0,B,1:07.774,0,49.126,0,2:29.839,0,77.9,9:29.299,14:29:29.299,1:07.774,0:49.126,2:29.839,79.3,Gabriel AUBRY,,LMP2,P/A,IDEC Sport,Oreca,
17,3,4,2:11.549,0,,48.786,0,27.644,0,55.119,0,157.9,11:40.848,14:31:40.848,0:48.786,0:27.644,0:55.119,302.5,Gabriel AUBRY,0:01:13.617,LMP2,P/A,IDEC Sport,Oreca,
17,3,5,1:42.732,2,,30.426,0,26.877,0,45.429,2,202.2,13:23.580,14:33:23.580,0:30.426,0:26.877,0:45.429,305.9,Gabriel AUBRY,,LMP2,P/A,IDEC Sport,Oreca,
17,3,6,1:42.860,0,,30.396,2,27.006,0,45.458,0,202.0,15:06.440,14:35:06.440,0:30.396,0:27.006,0:45.458,305.1,Gabriel AUBRY,,LMP2,P/A,IDEC Sport,Oreca,
22,1,1,1:57.184,0,,39.084,0,27.960,0,50.140,0,173.9,1:57.184,14:21:57.184,0:39.084,0:27.960,0:50.140,288.8,Phil HANSON,0:00:05.087,LMP2,,United Autosports,Oreca,
22,1,2,1:42.856,0,,30.531,0,27.018,0,45.307,0,202.0,3:40.040,14:23:40.040,0:30.531,0:27.018,0:45.307,305.9,Phil HANSON,,LMP2,,United Autosports,Oreca,
22,1,3,5:10.803,0,B,30.398,0,27.057,0,4:13.348,0,66.8,8:50.843,14:28:50.843,0:30.398,0:27.057,4:13.348,310.3,Phil HANSON,,LMP2,,United Autosports,Oreca,
22,1,4,2:31.342,0,,59.911,0,28.604,0,1:02.827,0,137.3,11:22.185,14:31:22.185,0:59.911,0:28.604,1:02.827,299.2,Phil HANSON,0:03:28.648,LMP2,,United Autosports,Oreca,
22,1,5,1:48.361,0,,30.624,0,28.268,0,49.469,0,191.7,13:10.546,14:33:10.546,0:30.624,0:28.268,0:49.469,286.5,Phil HANSON,,LMP2,,United Autosports,Oreca,
22,1,6,1:42.478,2,,30.371,2,26.972,2,45.135,2,202.7,14:53.024,14:34:53.024,0:30.371,0:26.972,0:45.135,307.7,Phil HANSON,,LMP2,,United Autosports,Oreca,
24,2,1,2:50.791,0,,1:32.065,0,29.966,0,48.760,0,119.3,2:50.791,14:22:50.791,1:32.065,0:29.966,0:48.760,262.1,Ferdinand HABSBURG,0:00:57.732,LMP2,,Algarve Pro Racing,Oreca,
24,2,2,1:44.345,0,,31.012,0,27.065,2,46.268,0,199.1,4:35.136,14:24:35.136,0:31.012,0:27.065,0:46.268,307.7,Ferdinand HABSBURG,,LMP2,,Algarve Pro Racing,Oreca,
24,2,3,3:39.073,0,B,43.611,0,1:22.315,0,1:33.147,0,94.8,8:14.209,14:28:14.209,0:43.611,1:22.315,1:33.147,79.7,Ferdinand HABSBURG,,LMP2,,Algarve Pro Racing,Oreca,
24,2,4,3:13.121,0,,1:48.370,0,28.962,0,55.789,0,107.6,11:27.330,14:31:27.330,1:48.370,0:28.962,0:55.789,265.4,Ferdinand HABSBURG,0:01:24.517,LMP2,,Algarve Pro Racing,Oreca,
24,2,5,1:44.156,0,,31.122,0,27.192,0,45.842,0,199.5,13:11.486,14:33:11.486,0:31.122,0:27.192,0:45.842,305.1,Ferdinand HABSBURG,,LMP2,,Algarve Pro Racing,Oreca,
24,2,6,1:43.718,2,,30.776,2,27.127,0,45.815,2,200.3,14:55.204,14:34:55.204,0:30.776,0:27.127,0:45.815,308.6,Ferdinand HABSBURG,,LMP2,,Algarve Pro Racing,Oreca,
