TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1631703639,15/09/2021 11:00:39,64.4,64.4,"97,04","964,09","5,07",187,0,
1631703699,15/09/2021 11:01:39,64.4,64.4,"96,9","964,06","6,72",175,0,
1631703759,15/09/2021 11:02:39,64.4,64.4,"97,54","964,05","3,56",240,0,
1631703819,15/09/2021 11:03:39,64.4,64.4,"96,81","964,02",0,176,0,
1631703879,15/09/2021 11:04:39,64.4,64.4,"96,88","964,05","1,11",154,0,
1631703939,15/09/2021 11:05:39,64.4,66.2,"96,97","964,06","0,77",202,"0,07",
1631703999,15/09/2021 11:06:39,64.4,66.2,97,"964,08","6,55",181,"0,07",
1631704059,15/09/2021 11:07:39,64.4,66.2,"96,94","964,06","2,31",198,0,
1631704119,15/09/2021 11:08:39,64.4,66.2,"97,17","964,08","2,4",165,0,
1631704179,15/09/2021 11:09:39,64.4,66.2,"96,75","964,08","2,09",180,0,
1631704240,15/09/2021 11:10:40,64.4,66.2,"96,38","964,08","0,55",223,0,
1631704300,15/09/2021 11:11:40,64.4,66.2,"95,27","964,07",0,106,0,
1631704360,15/09/2021 11:12:40,64.4,66.2,"95,1","964,1",0,304,0,
1631704420,15/09/2021 11:13:40,64.4,66.2,"93,26","964,06","4,89",323,0,
1631704480,15/09/2021 11:14:40,64.4,66.2,"94,16","964,05","0,65",211,0,
1631704540,15/09/2021 11:15:40,64.4,68.0,"94,8","964,05","0,61",199,0,
1631704600,15/09/2021 11:16:40,64.4,68.0,"94,87","964,05",0,16,0,
1631704660,15/09/2021 11:17:40,64.4,68.0,"94,04","964,04","3,21",45,0,
1631704720,15/09/2021 11:18:40,64.4,68.0,"92,72","964,05","3,26",350,0,
1631704780,15/09/2021 11:19:40,64.4,68.0,94,"964,04","4,29",318,0,
1631704840,15/09/2021 11:20:40,64.4,68.0,"94,29","964,07","1,74",322,0,
1631704900,15/09/2021 11:21:40,64.4,68.0,"92,61","964,07","4,54",360,0,
1631704960,15/09/2021 11:22:40,64.4,68.0,"91,77","964,09","1,19",119,0,
1631705020,15/09/2021 11:23:40,64.4,68.0,"91,76","964,07","5,61",58,0,
1631705080,15/09/2021 11:24:40,64.4,68.0,"91,69","964,08","6,5",345,0,
1631705140,15/09/2021 11:25:40,64.4,68.0,"91,25","964,1","7,95",18,0,
1631705200,15/09/2021 11:26:40,64.4,68.0,"90,85","964,08","3,96",348,0,
1631705260,15/09/2021 11:27:40,64.4,68.0,"90,79","964,08",0,48,0,
1631705320,15/09/2021 11:28:40,64.4,68.0,"92,28","964,09","8,3",177,0,
1631705380,15/09/2021 11:29:40,64.4,68.0,"93,03","964,1","6,19",138,0,
1631705440,15/09/2021 11:30:40,64.4,68.0,"92,88","964,1","3,81",183,0,
1631705500,15/09/2021 11:31:40,64.4,68.0,"92,77","964,1","3,44",185,0,
1631705560,15/09/2021 11:32:40,64.4,68.0,"93,9","964,11","3,36",224,0,
1631705620,15/09/2021 11:33:40,64.4,68.0,"91,77","964,12","5,56",59,0,
1631705680,15/09/2021 11:34:40,64.4,68.0,"92,22","964,12","0,86",209,0,
1631705740,15/09/2021 11:35:40,64.4,68.0,"92,74","964,1","6,53",139,0,
1631705800,15/09/2021 11:36:40,64.4,68.0,"92,98","964,11","2,82",241,0,
1631705860,15/09/2021 11:37:40,64.4,68.0,"93,51","964,11","6,16",352,0,
1631705920,15/09/2021 11:38:40,64.4,68.0,"91,93","964,12","4,14",49,0,
1631705980,15/09/2021 11:39:40,64.4,68.0,"91,7","964,08","3,16",152,0,
1631706040,15/09/2021 11:40:40,64.4,68.0,"91,98","964,08","4,68",188,0,
1631706100,15/09/2021 11:41:40,64.4,68.0,"92,39","964,11","7,6",296,0,
1631706160,15/09/2021 11:42:40,64.4,68.0,91,"964,13","2,81",88,0,
1631706221,15/09/2021 11:43:41,64.4,68.0,"90,62","964,13","9,33",51,0,
1631706281,15/09/2021 11:44:41,64.4,68.0,"91,96","964,02",0,174,0,
1631706341,15/09/2021 11:45:41,64.4,68.0,"91,96","964,08","2,86",279,0,
1631706401,15/09/2021 11:46:41,64.4,68.0,"92,73","964,08","2,24",331,0,
1631706461,15/09/2021 11:47:41,64.4,68.0,"91,69","964,06","1,71",342,0,
1631706521,15/09/2021 11:48:41,64.4,68.0,"91,69","964,06","8,87",220,0,
1631706581,15/09/2021 11:49:41,64.4,68.0,"92,14","964,06","10,81",196,0,
1631706641,15/09/2021 11:50:41,64.4,68.0,"93,38","964,05","7,73",186,0,
1631706701,15/09/2021 11:51:41,64.4,68.0,"93,38","964,01","1,65",12,0,
1631706761,15/09/2021 11:52:41,64.4,68.0,"92,85","964,01","4,3",200,0,
1631706821,15/09/2021 11:53:41,64.4,68.0,"92,93","964,03","5,72",326,0,
1631706881,15/09/2021 11:54:41,64.4,68.0,"92,93","964,04","1,41",248,0,
1631706941,15/09/2021 11:55:41,64.4,68.0,"93,15","964,04","3,56",186,0,
1631707001,15/09/2021 11:56:41,64.4,69.8,"93,29","964,07","6,15",168,0,
1631707061,15/09/2021 11:57:41,64.4,69.8,"93,29","964,07","5,66",195,0,
1631707121,15/09/2021 11:58:41,64.4,69.8,"91,73","964,07","5,56",276,0,
1631707181,15/09/2021 11:59:41,64.4,69.8,"92,05","964,02","1,08",288,0,
1631707241,15/09/2021 12:00:41,64.4,69.8,"92,05","964,02","2,09",307,0,
1631707301,15/09/2021 12:01:41,64.4,68.0,"91,13","964,03","2,29",213,0,
1631707361,15/09/2021 12:02:41,64.4,68.0,"91,05","964,01","2,38",168,0,
1631707421,15/09/2021 12:03:41,66.2,68.0,"91,05","964,01",0,260,0,
1631707481,15/09/2021 12:04:41,66.2,68.0,"90,34","964,01","3,48",337,0,
1631707541,15/09/2021 12:05:41,66.2,68.0,"89,88","963,98","5,51",338,0,
1631707601,15/09/2021 12:06:41,66.2,68.0,"89,88",964,"6,52",40,"0,02",
1631707661,15/09/2021 12:07:41,66.2,68.0,"88,96","963,97","2,15",228,"0,14",
1631707721,15/09/2021 12:08:41,64.4,68.0,"91,59","963,97",0,224,"0,01",
1631707781,15/09/2021 12:09:41,64.4,68.0,"91,59","963,94","5,49",342,0,
1631707841,15/09/2021 12:10:41,64.4,68.0,"91,63","963,97",0,332,0,
1631707901,15/09/2021 12:11:41,64.4,68.0,"91,93","963,96","3,29",198,0,
1631707961,15/09/2021 12:12:41,64.4,68.0,"91,93","964,01","3,85",210,"0,02",
1631708021,15/09/2021 12:13:41,64.4,68.0,"91,8","963,99","2,23",85,0,
1631708081,15/09/2021 12:14:41,64.4,68.0,"91,15","963,98","5,94",20,0,
1631708141,15/09/2021 12:15:41,64.4,68.0,"91,15","964,01","6,81",224,0,
1631708202,15/09/2021 12:16:42,64.4,68.0,"91,05","964,01","1,78",185,"0,01",
1631708262,15/09/2021 12:17:42,64.4,68.0,"92,33","963,98","1,94",156,"0,03",
1631708322,15/09/2021 12:18:42,64.4,68.0,"92,26","963,99","4,82",198,0,
1631708382,15/09/2021 12:19:42,64.4,68.0,"91,94","963,99","2,18",151,"0,02",
1631708442,15/09/2021 12:20:42,64.4,68.0,"91,92","963,96","0,98",262,0,
1631708502,15/09/2021 12:21:42,64.4,68.0,"91,43","963,99",0,356,0,
1631708562,15/09/2021 12:22:42,64.4,68.0,"91,26","963,96",0,221,"0,04",
1631708622,15/09/2021 12:23:42,64.4,68.0,"90,98","963,99","2,19",66,"0,04",
1631708682,15/09/2021 12:24:42,64.4,68.0,"91,85","963,98","6,84",225,0,
1631708742,15/09/2021 12:25:42,64.4,68.0,"91,82","964,01","6,65",8,"0,01",
1631708802,15/09/2021 12:26:42,64.4,68.0,"91,62","964,02","2,36",37,"0,05",
1631708862,15/09/2021 12:27:42,64.4,68.0,"90,28",964,"12,83",66,"0,08",
1631708922,15/09/2021 12:28:42,64.4,68.0,"90,69","963,98","3,27",81,"0,1",
1631708982,15/09/2021 12:29:42,64.4,68.0,"90,56","963,99","1,65",352,0,
1631709042,15/09/2021 12:30:42,64.4,68.0,"90,84","964,02","3,6",347,0,
1631709102,15/09/2021 12:31:42,66.2,68.0,"90,32","964,03","3,65",342,"0,01",
1631709162,15/09/2021 12:32:42,64.4,68.0,89,"964,01","14,8",358,"0,06",
1631709222,15/09/2021 12:33:42,64.4,66.2,"88,66","964,04","6,59",352,0,
1631709282,15/09/2021 12:34:42,64.4,66.2,"88,93","964,01","5,82",6,"0,03",
1631709342,15/09/2021 12:35:42,66.2,66.2,"88,43","964,02",0,316,0,
1631709402,15/09/2021 12:36:42,66.2,66.2,"88,56","964,02",0,346,0,
1631709462,15/09/2021 12:37:42,66.2,66.2,"88,4","964,06","2,61",342,"0,01",
1631709522,15/09/2021 12:38:42,66.2,66.2,"88,91","964,04","6,69",339,0,
1631709582,15/09/2021 12:39:42,66.2,66.2,"88,44","964,08","6,29",343,"0,13",
1631709642,15/09/2021 12:40:42,64.4,66.2,"88,78","964,07","4,51",341,"0,04",
1631709702,15/09/2021 12:41:42,64.4,66.2,"89,1","964,09","10,09",343,"0,79",
1631709762,15/09/2021 12:42:42,64.4,66.2,"89,5","964,08","7,34",340,"0,79",
1631709822,15/09/2021 12:43:42,64.4,66.2,"90,45","964,08",0,329,"1,72",
1631709882,15/09/2021 12:44:42,64.4,64.4,"89,95","964,07","13,23",343,"1,13",
1631709942,15/09/2021 12:45:42,64.4,64.4,"91,61","964,08","5,48",339,"0,8",
1631710002,15/09/2021 12:46:42,64.4,64.4,"90,67","964,09","2,27",337,"13,61",
1631710062,15/09/2021 12:47:42,64.4,64.4,"90,69","964,07","2,28",338,"24,78",
1631710123,15/09/2021 12:48:43,64.4,64.4,"91,35","964,06","6,72",338,"6,64",
1631710183,15/09/2021 12:49:43,64.4,64.4,"91,45","964,05","10,18",336,"9,97",
1631710243,15/09/2021 12:50:43,64.4,64.4,"91,89","964,03","4,41",332,"7,62",
1631710303,15/09/2021 12:51:43,64.4,64.4,"91,76","964,01","4,15",331,"4,34",
1631710363,15/09/2021 12:52:43,64.4,64.4,"92,38",964,"6,93",337,"2,45",
1631710423,15/09/2021 12:53:43,64.4,64.4,"92,15",964,"3,59",323,"3,12",
1631710483,15/09/2021 12:54:43,64.4,64.4,"92,1","963,99","1,76",319,"6,52",
1631710543,15/09/2021 12:55:43,64.4,64.4,"91,85","963,97","3,34",327,"3,44",
1631710603,15/09/2021 12:56:43,64.4,64.4,"91,88","963,97","4,35",332,"2,51",
1631710663,15/09/2021 12:57:43,64.4,64.4,"92,02","963,98","3,81",337,"2,19",
1631710723,15/09/2021 12:58:43,64.4,64.4,"92,28","963,97","0,79",336,"1,84",
1631710783,15/09/2021 12:59:43,64.4,64.4,"92,44","963,97","3,62",323,"2,73",
1631710843,15/09/2021 13:00:43,64.4,64.4,"92,23",964,"5,09",309,"4,64",
1631710903,15/09/2021 13:01:43,64.4,64.4,92,"963,98","4,6",344,"2,68",
1631710963,15/09/2021 13:02:43,64.4,64.4,92,"963,99","1,15",350,"6,88",
1631711023,15/09/2021 13:03:43,64.4,64.4,"91,58","963,99",6,342,"6,1",
1631711083,15/09/2021 13:04:43,64.4,64.4,"91,24","964,01","1,19",342,"5,63",
1631711143,15/09/2021 13:05:43,64.4,64.4,"90,91","963,99","10,05",332,"4,07",
1631711203,15/09/2021 13:06:43,64.4,64.4,"90,59","964,01","4,99",337,"2,22",
1631711263,15/09/2021 13:07:43,64.4,64.4,"90,57","964,01","2,04",340,"4,72",
1631711323,15/09/2021 13:08:43,64.4,64.4,"90,26",964,"3,54",332,"1,54",
1631711383,15/09/2021 13:09:43,64.4,64.4,"90,88","964,02","3,61",329,"1,98",
1631711443,15/09/2021 13:10:43,64.4,64.4,"91,43","964,04","7,89",330,"4,94",
1631711503,15/09/2021 13:11:43,64.4,64.4,"91,82","964,06",0,344,"1,81",
1631711563,15/09/2021 13:12:43,64.4,64.4,"91,62","964,07","6,52",337,"4,87",
1631711623,15/09/2021 13:13:43,64.4,64.4,"90,98","964,1","3,43",331,"4,68",
1631711683,15/09/2021 13:14:43,64.4,64.4,"91,37","964,08","5,35",332,"4,23",
1631711743,15/09/2021 13:15:43,64.4,64.4,"91,32","964,12","6,02",336,"2,93",
1631711803,15/09/2021 13:16:43,64.4,64.4,"90,77","964,11","0,91",334,"3,74",
1631711863,15/09/2021 13:17:43,64.4,64.4,"91,58","964,12","1,04",334,"4,23",
1631711923,15/09/2021 13:18:43,64.4,64.4,"91,32","964,13","4,84",340,"2,41",
1631711983,15/09/2021 13:19:43,64.4,64.4,"91,38","964,14","1,66",337,"2,33",
1631712044,15/09/2021 13:20:44,64.4,64.4,"91,3","964,11","3,17",335,"1,65",
1631712104,15/09/2021 13:21:44,64.4,64.4,"91,45","964,12","6,07",339,"2,76",
1631712164,15/09/2021 13:22:44,64.4,64.4,"91,38","964,1","4,36",328,"6,3",
1631712224,15/09/2021 13:23:44,64.4,64.4,"92,03","964,11","3,4",334,"5,18",
1631712284,15/09/2021 13:24:44,64.4,64.4,"92,61","964,12","2,75",335,"5,61",
