NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
11,1,1,10:35.519,0,,9:24.754,0,32.339,0,38.426,0,24.8,10:35.519,12:00:35.519,9:24.754,0:32.339,0:38.426,,Mattia DRUDI,0:08:53.527,LMP3,,Eurointernational,Ligier,GF,
11,1,2,1:40.806,0,,31.493,0,31.155,0,38.158,0,166.2,12:16.325,12:02:16.325,0:31.493,0:31.155,0:38.158,253.5,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,3,1:39.570,0,,31.133,2,30.551,0,37.886,0,168.2,13:55.895,12:03:55.895,0:31.133,0:30.551,0:37.886,256.5,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,4,1:39.817,0,,31.181,0,30.740,0,37.896,0,167.8,15:35.712,12:05:35.712,0:31.181,0:30.740,0:37.896,257.8,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,5,1:39.960,0,,31.371,0,30.481,2,38.108,0,167.6,17:15.672,12:07:15.672,0:31.371,0:30.481,0:38.108,256.5,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,6,1:39.970,0,,31.135,0,30.610,0,38.225,0,167.6,18:55.642,12:08:55.642,0:31.135,0:30.610,0:38.225,256.5,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,7,1:45.794,0,B,31.318,0,30.574,0,43.902,0,158.3,20:41.436,12:10:41.436,0:31.318,0:30.574,0:43.902,256.5,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,8,16:45.279,0,,15:33.224,0,34.078,0,37.977,0,16.7,37:26.715,12:27:26.715,15:33.224,0:34.078,0:37.977,,Mattia DRUDI,0:15:03.032,LMP3,,Eurointernational,Ligier,GF,
11,1,9,1:40.051,0,,31.434,0,30.778,0,37.839,0,167.4,39:06.766,12:29:06.766,0:31.434,0:30.778,0:37.839,257.8,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,10,1:40.364,0,,31.197,0,30.852,0,38.315,0,166.9,40:47.130,12:30:47.130,0:31.197,0:30.852,0:38.315,260.2,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,11,1:40.713,0,,31.167,0,31.792,0,37.754,0,166.3,42:27.843,12:32:27.843,0:31.167,0:31.792,0:37.754,260.2,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,12,1:39.566,2,,31.209,0,30.663,0,37.694,2,168.2,44:07.409,12:34:07.409,0:31.209,0:30.663,0:37.694,259.0,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,13,1:40.440,0,,31.727,0,30.765,0,37.948,0,166.8,45:47.849,12:35:47.849,0:31.727,0:30.765,0:37.948,257.1,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,14,1:39.828,0,,31.325,0,30.658,0,37.845,0,167.8,47:27.677,12:37:27.677,0:31.325,0:30.658,0:37.845,256.5,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,15,1:46.480,0,B,31.986,0,30.758,0,43.736,0,157.3,49:14.157,12:39:14.157,0:31.986,0:30.758,0:43.736,257.1,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,2,16,4:01.652,0,,2:50.177,0,32.080,0,39.395,0,69.3,53:15.809,12:43:15.809,2:50.177,0:32.080,0:39.395,,Antoine DOQUIN,0:02:22.841,LMP3,,Eurointernational,Ligier,GF,
11,2,17,1:41.649,0,,31.846,0,31.458,0,38.345,0,164.8,54:57.458,12:44:57.458,0:31.846,0:31.458,0:38.345,255.9,Antoine DOQUIN,,LMP3,,Eurointernational,Ligier,GF,
11,2,18,1:40.800,0,,31.455,0,31.124,0,38.221,0,166.2,56:38.258,12:46:38.258,0:31.455,0:31.124,0:38.221,257.8,Antoine DOQUIN,,LMP3,,Eurointernational,Ligier,GF,
11,2,19,1:40.628,0,,31.478,0,30.965,0,38.185,0,166.5,58:18.886,12:48:18.886,0:31.478,0:30.965,0:38.185,258.4,Antoine DOQUIN,,LMP3,,Eurointernational,Ligier,GF,
11,2,20,1:40.581,0,,31.584,0,31.089,0,37.908,0,166.5,59:59.467,12:49:59.467,0:31.584,0:31.089,0:37.908,258.4,Antoine DOQUIN,,LMP3,,Eurointernational,Ligier,GF,
11,2,21,1:42.069,0,,31.435,1,32.212,0,38.422,0,164.1,1:01:41.536,12:51:41.536,0:31.435,0:32.212,0:38.422,259.0,Antoine DOQUIN,,LMP3,,Eurointernational,Ligier,GF,
11,2,22,1:41.867,0,,31.461,0,30.959,0,39.447,0,164.4,1:03:23.403,12:53:23.403,0:31.461,0:30.959,0:39.447,256.5,Antoine DOQUIN,,LMP3,,Eurointernational,Ligier,GF,
11,2,23,1:42.371,0,,31.942,0,31.348,0,39.081,0,163.6,1:05:05.774,12:55:05.774,0:31.942,0:31.348,0:39.081,257.1,Antoine DOQUIN,,LMP3,,Eurointernational,Ligier,GF,
11,2,24,1:40.233,0,,31.576,0,30.803,1,37.854,1,167.1,1:06:46.007,12:56:46.007,0:31.576,0:30.803,0:37.854,258.4,Antoine DOQUIN,,LMP3,,Eurointernational,Ligier,GF,
11,2,25,1:48.135,0,B,31.580,0,32.107,0,44.448,0,154.9,1:08:34.142,12:58:34.142,0:31.580,0:32.107,0:44.448,260.9,Antoine DOQUIN,,LMP3,,Eurointernational,Ligier,GF,
11,3,26,3:32.780,0,,2:22.523,0,31.940,0,38.317,0,78.7,1:12:06.922,13:02:06.922,2:22.523,0:31.940,0:38.317,,Finn GEHRSITZ,0:01:54.548,LMP3,,Eurointernational,Ligier,GF,
11,3,27,1:40.946,0,,31.528,0,31.103,0,38.315,0,165.9,1:13:47.868,13:03:47.868,0:31.528,0:31.103,0:38.315,258.4,Finn GEHRSITZ,,LMP3,,Eurointernational,Ligier,GF,
11,3,28,1:40.783,0,,31.498,0,31.164,0,38.121,0,166.2,1:15:28.651,13:05:28.651,0:31.498,0:31.164,0:38.121,259.0,Finn GEHRSITZ,,LMP3,,Eurointernational,Ligier,GF,
11,3,29,1:41.948,0,,32.111,0,31.479,0,38.358,0,164.3,1:17:10.599,13:07:10.599,0:32.111,0:31.479,0:38.358,259.0,Finn GEHRSITZ,,LMP3,,Eurointernational,Ligier,GF,
11,3,30,1:41.115,0,,32.220,0,30.953,0,37.942,1,165.7,1:18:51.714,13:08:51.714,0:32.220,0:30.953,0:37.942,261.5,Finn GEHRSITZ,,LMP3,,Eurointernational,Ligier,GF,
11,3,31,1:40.599,0,,31.407,1,30.818,1,38.374,0,166.5,1:20:32.313,13:10:32.313,0:31.407,0:30.818,0:38.374,257.8,Finn GEHRSITZ,,LMP3,,Eurointernational,Ligier,GF,
11,3,32,1:44.515,0,,31.904,0,31.185,0,41.426,0,160.3,1:22:16.828,13:12:16.828,0:31.904,0:31.185,0:41.426,257.8,Finn GEHRSITZ,,LMP3,,Eurointernational,Ligier,GF,
