NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
1,1,1,2:17.543,0,,57.813,0,36.888,0,42.842,0,114.8,2:17.543,13:17:17.543,0:57.813,0:36.888,0:42.842,,Jean-Baptiste SIMMENAUER,0:00:15.946,Pro,,BWT Lechner Racing,,GF,
1,1,2,1:49.078,0,,34.621,0,33.592,0,40.865,0,153.6,4:06.621,13:19:06.621,0:34.621,0:33.592,0:40.865,258.4,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,GF,
1,1,3,1:45.531,0,,33.346,0,32.441,0,39.744,0,158.7,5:52.152,13:20:52.152,0:33.346,0:32.441,0:39.744,266.0,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,GF,
1,1,4,1:50.692,0,,33.943,0,33.666,0,43.083,0,151.3,7:42.844,13:22:42.844,0:33.943,0:33.666,0:43.083,268.0,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,GF,
1,1,5,1:45.934,0,,33.188,0,32.953,0,39.793,0,158.1,9:28.778,13:24:28.778,0:33.188,0:32.953,0:39.793,268.7,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,GF,
1,1,6,1:45.691,0,,33.204,0,32.769,0,39.718,0,158.5,11:14.469,13:26:14.469,0:33.204,0:32.769,0:39.718,265.4,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,GF,
1,1,7,1:52.971,0,B,33.335,0,32.623,0,47.013,0,148.3,13:07.440,13:28:07.440,0:33.335,0:32.623,0:47.013,266.0,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,GF,
1,1,8,9:41.357,0,,8:23.707,0,36.549,0,41.101,0,28.8,22:48.797,13:37:48.797,8:23.707,0:36.549,0:41.101,,Jean-Baptiste SIMMENAUER,0:07:49.252,Pro,,BWT Lechner Racing,,FCY,
1,1,9,3:32.760,0,,1:05.067,0,1:05.840,0,1:21.853,0,78.7,26:21.557,13:41:21.557,1:05.067,1:05.840,1:21.853,146.9,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,FCY,
1,1,10,2:08.755,0,,52.784,0,33.772,0,42.199,0,130.1,28:30.312,13:43:30.312,0:52.784,0:33.772,0:42.199,96.5,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,GF,
1,1,11,1:45.406,0,,33.064,0,32.557,0,39.785,0,158.9,30:15.718,13:45:15.718,0:33.064,0:32.557,0:39.785,266.7,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,GF,
1,1,12,1:44.982,2,,32.981,2,32.429,2,39.572,2,159.6,32:00.700,13:47:00.700,0:32.981,0:32.429,0:39.572,268.0,Jean-Baptiste SIMMENAUER,,Pro,,BWT Lechner Racing,,FF,
11,1,1,2:08.012,0,,49.787,0,36.494,0,41.731,0,123.3,2:08.012,13:17:08.012,0:49.787,0:36.494,0:41.731,,Florian LATORRE,0:00:07.039,Pro,,CLRT,,GF,
11,1,2,1:47.844,0,,34.141,0,33.394,0,40.309,0,155.3,3:55.856,13:18:55.856,0:34.141,0:33.394,0:40.309,262.8,Florian LATORRE,,Pro,,CLRT,,GF,
11,1,3,1:53.396,0,,38.850,0,33.529,0,41.017,0,147.7,5:49.252,13:20:49.252,0:38.850,0:33.529,0:41.017,264.7,Florian LATORRE,,Pro,,CLRT,,GF,
11,1,4,1:44.377,0,,32.728,0,32.347,0,39.302,0,160.5,7:33.629,13:22:33.629,0:32.728,0:32.347,0:39.302,267.3,Florian LATORRE,,Pro,,CLRT,,GF,
11,1,5,1:50.956,0,,37.129,0,33.775,0,40.052,0,151.0,9:24.585,13:24:24.585,0:37.129,0:33.775,0:40.052,267.3,Florian LATORRE,,Pro,,CLRT,,GF,
