NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,
11,1,1,2:15.087,0,,1:03.741,0,33.591,0,37.755,0,116.8,2:15.087,14:22:15.087,1:03.741,0:33.591,0:37.755,,Mattia DRUDI,0:00:23.230,LMP3,,Eurointernational,Ligier,GF,
11,1,2,1:37.753,0,,30.771,0,30.413,0,36.569,0,171.4,3:52.840,14:23:52.840,0:30.771,0:30.413,0:36.569,268.7,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,3,1:37.508,0,,30.561,2,30.232,2,36.715,0,171.8,5:30.348,14:25:30.348,0:30.561,0:30.232,0:36.715,270.0,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,4,1:39.115,0,,30.655,0,30.850,0,37.610,0,169.0,7:09.463,14:27:09.463,0:30.655,0:30.850,0:37.610,272.0,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,5,1:37.740,0,,30.785,0,30.258,0,36.697,0,171.4,8:47.203,14:28:47.203,0:30.785,0:30.258,0:36.697,270.7,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,GF,
11,1,6,1:37.600,2,,30.672,0,30.390,0,36.538,2,171.6,10:24.803,14:30:24.803,0:30.672,0:30.390,0:36.538,270.7,Mattia DRUDI,,LMP3,,Eurointernational,Ligier,FF,
12,1,1,3:04.026,0,,1:46.592,0,32.391,0,45.043,0,85.8,3:04.026,14:23:04.026,1:46.592,0:32.391,0:45.043,,Gary HAUSER,0:01:15.500,LMP3,,Racing Experience,Duqueine,GF,
12,1,2,1:43.401,0,,32.098,0,31.542,0,39.761,0,162.0,4:47.427,14:24:47.427,0:32.098,0:31.542,0:39.761,269.3,Gary HAUSER,,LMP3,,Racing Experience,Duqueine,GF,
12,1,3,1:39.183,0,,31.242,0,30.941,0,37.000,0,168.9,6:26.610,14:26:26.610,0:31.242,0:30.941,0:37.000,270.7,Gary HAUSER,,LMP3,,Racing Experience,Duqueine,GF,
12,1,4,1:38.961,0,,31.101,0,30.835,0,37.025,0,169.3,8:05.571,14:28:05.571,0:31.101,0:30.835,0:37.025,272.7,Gary HAUSER,,LMP3,,Racing Experience,Duqueine,GF,
12,1,5,1:39.246,0,,31.318,0,30.886,0,37.042,0,168.8,9:44.817,14:29:44.817,0:31.318,0:30.886,0:37.042,272.7,Gary HAUSER,,LMP3,,Racing Experience,Duqueine,GF,
12,1,6,1:38.767,2,,30.963,2,30.817,2,36.987,2,169.6,11:23.584,14:31:23.584,0:30.963,0:30.817,0:36.987,272.7,Gary HAUSER,,LMP3,,Racing Experience,Duqueine,FF,
13,2,1,3:41.998,0,,2:33.420,0,31.778,0,36.800,0,71.1,3:41.998,14:23:41.998,2:33.420,0:31.778,0:36.800,,Ugo DE WILDE,0:02:00.208,LMP3,,Inter Europol Competition,Ligier,GF,
13,2,2,1:36.812,0,,30.608,0,30.131,0,36.073,0,173.0,5:18.810,14:25:18.810,0:30.608,0:30.131,0:36.073,272.0,Ugo DE WILDE,,LMP3,,Inter Europol Competition,Ligier,GF,
13,2,3,1:36.431,2,,30.381,0,29.995,2,36.055,3,173.7,6:55.241,14:26:55.241,0:30.381,0:29.995,0:36.055,274.1,Ugo DE WILDE,,LMP3,,Inter Europol Competition,Ligier,GF,
