TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1635060486,24/10/2021 7:28:06,57.2,57.2,"61,17","1010,22","3,51",315,0,
1635060546,24/10/2021 7:29:06,57.2,57.2,"61,01","1010,23","5,85",325,0,
1635060606,24/10/2021 7:30:06,57.2,57.2,"60,84","1010,24","3,94",301,0,
1635060666,24/10/2021 7:31:06,57.2,57.2,"60,84","1010,23","4,22",286,0,
1635060726,24/10/2021 7:32:06,57.2,57.2,"60,49","1010,23",0,311,0,
1635060786,24/10/2021 7:33:06,59.0,57.2,"59,97","1010,23","3,04",286,0,
1635060846,24/10/2021 7:34:06,59.0,57.2,"59,71","1010,24","1,83",307,0,
1635060906,24/10/2021 7:35:06,59.0,57.2,"59,3","1010,25",0,316,0,
1635060966,24/10/2021 7:36:06,59.0,57.2,"59,11","1010,26","2,92",305,0,
1635061026,24/10/2021 7:37:06,59.0,57.2,"58,95","1010,27","4,09",299,0,
1635061086,24/10/2021 7:38:06,59.0,57.2,"58,51","1010,28","1,98",314,0,
1635061146,24/10/2021 7:39:06,59.0,57.2,"58,28","1010,29","3,15",311,0,
1635061206,24/10/2021 7:40:06,59.0,57.2,"57,93","1010,31","3,26",279,0,
1635061266,24/10/2021 7:41:06,60.8,59.0,"57,44","1010,31","4,05",302,0,
1635061327,24/10/2021 7:42:07,60.8,59.0,"57,13","1010,33",0,297,0,
1635061387,24/10/2021 7:43:07,60.8,59.0,"56,87","1010,34","1,57",306,0,
1635061447,24/10/2021 7:44:07,60.8,59.0,"56,69","1010,36","4,14",301,0,
1635061507,24/10/2021 7:45:07,60.8,59.0,"56,42","1010,37","4,62",313,0,
1635061567,24/10/2021 7:46:07,60.8,59.0,"56,42","1010,38","4,65",309,0,
1635061627,24/10/2021 7:47:07,60.8,59.0,"56,29","1010,39","6,01",305,0,
1635061687,24/10/2021 7:48:07,60.8,59.0,"56,12","1010,39","7,47",309,0,
1635061747,24/10/2021 7:49:07,60.8,59.0,"55,95","1010,39","5,97",310,0,
1635061807,24/10/2021 7:50:07,60.8,59.0,"55,93","1010,41","0,44",290,0,
1635061867,24/10/2021 7:51:07,60.8,59.0,"55,79","1010,44",0,314,0,
1635061927,24/10/2021 7:52:07,60.8,59.0,"55,6","1010,46","2,38",302,0,
1635061987,24/10/2021 7:53:07,62.6,60.8,"55,33","1010,48","2,21",313,0,
1635062047,24/10/2021 7:54:07,62.6,60.8,"55,19","1010,5","1,71",302,0,
1635062107,24/10/2021 7:55:07,62.6,60.8,"55,14","1010,51","2,22",331,0,
1635062167,24/10/2021 7:56:07,62.6,60.8,"54,9","1010,53","1,23",322,0,
