TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1650092413,16/04/2022 7:00:13,68.0,66.2,52,"964,376","2,12187",103,-1,
1650092479,16/04/2022 7:01:19,68.0,66.2,52,"964,342","2,12187",103,-1,
1650092543,16/04/2022 7:02:23,68.0,66.2,52,"964,308","3,1828",84,-1,
1650092604,16/04/2022 7:03:24,68.0,66.2,52,"964,308","5,30467",81,-1,
1650092674,16/04/2022 7:04:34,68.0,66.2,52,"964,342","3,1828",69,-1,
1650092734,16/04/2022 7:05:34,68.0,66.2,52,"964,274","3,1828",84,-1,
1650092804,16/04/2022 7:06:44,68.0,66.2,53,"964,342","3,1828",76,-1,
1650092874,16/04/2022 7:07:54,68.0,66.2,52,"964,342","4,24374",73,-1,
1650092934,16/04/2022 7:08:54,68.0,66.2,53,"964,308","4,24374",83,-1,
1650092999,16/04/2022 7:09:59,68.0,68.0,53,"964,342","4,24374",88,-1,
1650093064,16/04/2022 7:11:04,68.0,68.0,53,"964,376","2,12187",76,-1,
1650093124,16/04/2022 7:12:04,68.0,68.0,53,"964,274","3,1828",85,-1,
1650093190,16/04/2022 7:13:10,68.0,68.0,53,"964,24","3,1828",84,-1,
1650093255,16/04/2022 7:14:15,68.0,68.0,53,"964,207","3,1828",83,-1,
1650093320,16/04/2022 7:15:20,68.0,68.0,53,"964,24","3,1828",84,-1,
1650093385,16/04/2022 7:16:25,68.0,68.0,53,"964,308","2,12187",102,-1,
1650093445,16/04/2022 7:17:25,68.0,68.0,53,"964,308","2,12187",104,-1,
1650093510,16/04/2022 7:18:30,68.0,68.0,53,"964,24","6,3656",87,-1,
1650093575,16/04/2022 7:19:35,68.0,68.0,53,"964,207","4,24374",91,-1,
1650093640,16/04/2022 7:20:40,68.0,68.0,54,"964,173","4,24374",84,-1,
1650093700,16/04/2022 7:21:40,68.0,69.8,53,"964,24","3,1828",82,-1,
1650093766,16/04/2022 7:22:46,68.0,69.8,53,"964,274","6,3656",81,-1,
1650093831,16/04/2022 7:23:51,68.0,69.8,53,"964,274","4,24374",86,-1,
1650093895,16/04/2022 7:24:55,68.0,69.8,53,"964,207","5,30467",83,-1,
1650093956,16/04/2022 7:25:56,68.0,69.8,54,"964,207","5,30467",93,-1,
1650094021,16/04/2022 7:27:01,68.0,69.8,53,"964,207","5,30467",100,-1,
1650094086,16/04/2022 7:28:06,68.0,69.8,52,"964,24","5,30467",100,-1,
1650094151,16/04/2022 7:29:11,68.0,69.8,52,"964,105","5,30467",103,-1,
1650094211,16/04/2022 7:30:11,68.0,69.8,53,"964,139","5,30467",95,-1,
1650094276,16/04/2022 7:31:16,68.0,69.8,53,"964,207","3,1828",78,-1,
1650094341,16/04/2022 7:32:21,68.0,69.8,53,"964,24","4,24374",102,-1,
1650094406,16/04/2022 7:33:26,68.0,71.6,53,"964,207","4,24374",87,-1,
1650094466,16/04/2022 7:34:26,68.0,71.6,53,"964,308","3,1828",74,-1,
1650094532,16/04/2022 7:35:32,68.0,71.6,53,"964,274","4,24374",75,-1,
1650094597,16/04/2022 7:36:37,68.0,71.6,53,"964,274","2,12187",101,-1,
1650094661,16/04/2022 7:37:41,68.0,71.6,53,"964,207",0,101,-1,
1650094722,16/04/2022 7:38:42,68.0,71.6,52,"964,207","2,12187",101,-1,
1650094787,16/04/2022 7:39:47,68.0,71.6,51,"964,207","1,06093",101,-1,
1650094852,16/04/2022 7:40:52,68.0,71.6,51,"964,207",0,101,-1,
1650094917,16/04/2022 7:41:57,68.0,71.6,52,"964,207",0,101,-1,
1650094982,16/04/2022 7:43:02,68.0,71.6,51,"964,24","1,06093",113,-1,
1650095042,16/04/2022 7:44:02,68.0,73.4,51,"964,24","2,12187",113,-1,
1650095112,16/04/2022 7:45:12,68.0,73.4,51,"964,342","2,12187",91,-1,
1650095177,16/04/2022 7:46:17,69.8,73.4,51,"964,274","3,1828",121,-1,
1650095243,16/04/2022 7:47:23,69.8,73.4,51,"964,24","1,06093",119,-1,
1650095308,16/04/2022 7:48:28,69.8,73.4,51,"964,24","4,24374",67,-1,
1650095378,16/04/2022 7:49:38,69.8,73.4,51,"964,308","3,1828",90,-1,
1650095438,16/04/2022 7:50:38,69.8,73.4,51,"964,274","3,1828",92,-1,
1650095503,16/04/2022 7:51:43,69.8,73.4,51,"964,274","4,24374",115,-1,
1650095573,16/04/2022 7:52:53,69.8,73.4,51,"964,274","4,24374",101,-1,
1650095638,16/04/2022 7:53:58,69.8,75.2,51,"964,274","3,1828",67,-1,
1650095703,16/04/2022 7:55:03,69.8,75.2,50,"964,24","2,12187",96,-1,
1650095773,16/04/2022 7:56:13,69.8,75.2,51,"964,308","4,24374",105,-1,
1650095844,16/04/2022 7:57:24,69.8,75.2,50,"964,24",0,107,-1,
1650095908,16/04/2022 7:58:28,69.8,75.2,51,"964,207","2,12187",106,-1,
1650095969,16/04/2022 7:59:29,69.8,75.2,50,"964,207","1,06093",67,-1,
1650096034,16/04/2022 8:00:34,69.8,75.2,51,"964,207","1,06093",134,-1,
1650096104,16/04/2022 8:01:44,69.8,75.2,51,"964,24","1,06093",100,-1,
1650096169,16/04/2022 8:02:49,69.8,75.2,51,"964,24","3,1828",61,-1,
1650096239,16/04/2022 8:03:59,69.8,75.2,51,"964,207","3,1828",95,-1,
1650096299,16/04/2022 8:04:59,69.8,77.0,50,"964,24","2,12187",74,-1,
1650096369,16/04/2022 8:06:09,69.8,77.0,51,"964,139","6,3656",103,-1,
1650096450,16/04/2022 8:07:30,69.8,77.0,50,"964,173","4,24374",101,-1,
1650096515,16/04/2022 8:08:35,69.8,77.0,50,"964,24","2,12187",101,-1,
1650096585,16/04/2022 8:09:45,69.8,77.0,50,"964,274","2,12187",103,-1,
1650096650,16/04/2022 8:10:50,69.8,77.0,50,"964,274","2,12187",96,-1,
1650096720,16/04/2022 8:12:00,69.8,77.0,50,"964,376","5,30467",94,-1,
1650096785,16/04/2022 8:13:05,69.8,77.0,50,"964,342","2,12187",105,-1,
1650096855,16/04/2022 8:14:15,71.6,77.0,50,"964,308","2,12187",92,-1,
1650096925,16/04/2022 8:15:25,71.6,78.8,50,"964,308","1,06093",137,-1,
1650096990,16/04/2022 8:16:30,71.6,78.8,49,"964,376","2,12187",138,-1,
1650097055,16/04/2022 8:17:35,71.6,78.8,49,"964,342","1,06093",160,-1,
1650097121,16/04/2022 8:18:41,71.6,78.8,49,"964,376",0,144,-1,
1650097186,16/04/2022 8:19:46,71.6,78.8,49,"964,342","4,24374",105,-1,
1650097250,16/04/2022 8:20:50,71.6,78.8,49,"964,342","1,06093",196,-1,
1650097311,16/04/2022 8:21:51,71.6,78.8,49,"964,376","1,06093",109,-1,
1650097376,16/04/2022 8:22:56,71.6,78.8,49,"964,376","5,30467",96,-1,
1650097441,16/04/2022 8:24:01,71.6,78.8,49,"964,376","4,24374",110,-1,
1650097506,16/04/2022 8:25:06,71.6,78.8,49,"964,444","4,24374",134,-1,
1650097566,16/04/2022 8:26:06,71.6,80.6,50,"964,376","1,06093",109,-1,
1650097631,16/04/2022 8:27:11,71.6,80.6,51,"964,376","2,12187",78,-1,
1650097697,16/04/2022 8:28:17,71.6,80.6,50,"964,376","4,24374",84,-1,
1650097761,16/04/2022 8:29:21,71.6,80.6,49,"964,376","5,30467",78,-1,
