TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1652531535,5/14/2022 12:32:15 PM,30.96,49.7,36.99,1013.28,2.99,146,0,
1652531595,5/14/2022 12:33:15 PM,30.96,49.8,36.56,1013.28,2.65,129,0,
1652531655,5/14/2022 12:34:15 PM,31.03,49.9,36.2,1013.26,18.34,99,0,
1652531716,5/14/2022 12:35:16 PM,30.96,50,37.16,1013.24,11.24,94,0,
1652531776,5/14/2022 12:36:16 PM,30.41,50,37.99,1013.21,3.48,95,0,
1652531836,5/14/2022 12:37:16 PM,29.92,50,39.05,1013.21,13.79,112,0,
1652531896,5/14/2022 12:38:16 PM,30.1,50,39.09,1013.2,1.11,150,0,
1652531956,5/14/2022 12:39:16 PM,30.19,50.1,39.54,1013.21,9.89,99,0,
1652532016,5/14/2022 12:40:16 PM,30.45,50.1,38.69,1013.22,7.19,94,0,
1652532076,5/14/2022 12:41:16 PM,30.39,50.1,38.41,1013.2,0,116,0,
