TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1652607056,5/15/2022 9:30:56 AM,80.96,110.12,47.67,1014.09,7.14,104,0,
1652607116,5/15/2022 9:31:56 AM,80.22,110.3,48.48,1014.06,7.45,91,0,
1652607176,5/15/2022 9:32:56 AM,79.84,110.48,48.74,1014.05,9.74,90,0,
1652607236,5/15/2022 9:33:56 AM,79.03,110.3,49.65,1014.02,14.66,88,0,
1652607296,5/15/2022 9:34:56 AM,78.71,110.3,50,1014.06,2.15,82,0,
1652607356,5/15/2022 9:35:56 AM,79.09,110.12,49.26,1014.08,12.94,109,0,
1652607416,5/15/2022 9:36:56 AM,79.02,110.12,49.34,1014.07,6.31,130,0,
1652607476,5/15/2022 9:37:56 AM,79.39,110.3,49.13,1014.09,21.05,78,0,
1652607536,5/15/2022 9:38:56 AM,79.48,110.3,48.85,1014.07,7.04,95,0,
1652607596,5/15/2022 9:39:56 AM,78.98,110.12,49.04,1014.07,7.46,104,0,
1652607656,5/15/2022 9:40:56 AM,79.07,110.3,49.39,1014.02,6.98,106,0,
1652607716,5/15/2022 9:41:56 AM,78.76,110.48,49.2,1014.06,14.58,100,0,
1652607776,5/15/2022 9:42:56 AM,78.78,110.48,49.33,1014.08,4.63,89,0,
1652607836,5/15/2022 9:43:56 AM,79.27,110.48,48.77,1014.08,2.93,109,0,
1652607896,5/15/2022 9:44:56 AM,79.77,110.66,48.48,1014.08,7.27,82,0,
1652607956,5/15/2022 9:45:56 AM,80.19,110.66,47.92,1014.06,0,80,0,
1652608016,5/15/2022 9:46:56 AM,80.1,111.02,47.87,1014.06,21.6,88,0,
1652608076,5/15/2022 9:47:56 AM,79.7,111.02,48.48,1013.99,1.72,105,0,
1652608136,5/15/2022 9:48:56 AM,79.83,111.02,48.68,1014,5.78,91,0,
1652608197,5/15/2022 9:49:57 AM,79.7,111.02,49.14,1013.99,11.11,82,0,
1652608257,5/15/2022 9:50:57 AM,79.52,111.02,49.53,1013.97,0.45,112,0,
1652608317,5/15/2022 9:51:57 AM,79.59,111.02,49.24,1014.02,21.7,103,0,
1652608377,5/15/2022 9:52:57 AM,79.57,110.84,48.96,1014,1.01,102,0,
1652608437,5/15/2022 9:53:57 AM,79.48,111.02,48.94,1014.02,8.52,124,0,
1652608497,5/15/2022 9:54:57 AM,79.63,110.84,48.92,1014.02,0,119,0,
1652608557,5/15/2022 9:55:57 AM,79.92,110.48,48.56,1014.02,17.21,113,0,
1652608617,5/15/2022 9:56:57 AM,80.04,110.48,48.58,1014.03,7.01,81,0,
1652608677,5/15/2022 9:57:57 AM,80.17,110.48,49.07,1014,20.82,87,0,
1652608737,5/15/2022 9:58:57 AM,79.43,110.3,49.89,1013.98,15.26,90,0,
1652608797,5/15/2022 9:59:57 AM,79.21,110.3,50.46,1013.94,13.05,85,0,
1652608857,5/15/2022 10:00:57 AM,78.57,110.48,51.17,1013.98,1.9,86,0,
1652608917,5/15/2022 10:01:57 AM,78.53,110.48,51.7,1013.98,13.48,90,0,
1652608977,5/15/2022 10:02:57 AM,78.8,110.66,51.45,1013.99,16.42,84,0,
1652609037,5/15/2022 10:03:57 AM,78.67,110.66,51.67,1013.96,13.47,91,0,
1652609097,5/15/2022 10:04:57 AM,78.85,110.48,51.78,1013.96,9.86,98,0,
1652609157,5/15/2022 10:05:57 AM,79.0,110.66,51.32,1013.97,21.6,96,0,
1652609217,5/15/2022 10:06:57 AM,78.89,110.48,50.95,1013.94,7.15,101,0,
1652609277,5/15/2022 10:07:57 AM,78.78,110.48,51.23,1013.97,10.76,104,0,
1652609337,5/15/2022 10:08:57 AM,79.05,110.48,51.42,1013.97,1.69,107,0,
1652609397,5/15/2022 10:09:57 AM,79.54,110.48,50.94,1013.97,9.41,90,0,
1652609457,5/15/2022 10:10:57 AM,79.57,110.66,51.02,1013.98,6.1,116,0,
1652609517,5/15/2022 10:11:57 AM,80.02,111.02,49.94,1013.98,3.26,88,0,
1652609577,5/15/2022 10:12:57 AM,80.02,111.2,49.66,1013.99,7.81,96,0,
1652609637,5/15/2022 10:13:57 AM,80.24,111.38,49.3,1013.98,1.9,116,0,
1652609697,5/15/2022 10:14:57 AM,80.65,111.38,48.87,1013.98,4.32,91,0,
1652609757,5/15/2022 10:15:57 AM,80.51,111.92,49.25,1013.95,11.46,86,0,
1652609817,5/15/2022 10:16:57 AM,80.33,112.1,49.95,1013.95,2.33,103,0,
1652609877,5/15/2022 10:17:57 AM,80.76,112.28,49.71,1013.95,10.63,95,0,
1652609937,5/15/2022 10:18:57 AM,80.8,112.46,49.3,1013.93,2.77,102,0,
1652609997,5/15/2022 10:19:57 AM,80.42,112.82,49.57,1013.9,13.32,85,0,
1652610057,5/15/2022 10:20:57 AM,80.1,112.82,49.39,1013.86,6.28,92,0,
1652610117,5/15/2022 10:21:57 AM,79.81,112.64,49.5,1013.9,4.72,85,0,
1652610178,5/15/2022 10:22:58 AM,80.31,112.64,49.04,1013.89,4.68,101,0,
1652610238,5/15/2022 10:23:58 AM,80.24,112.46,49.32,1013.89,3.03,89,0,
1652610298,5/15/2022 10:24:58 AM,80.19,112.28,49.56,1013.88,8.04,113,0,
1652610358,5/15/2022 10:25:58 AM,80.4,112.46,49.22,1013.86,7.12,95,0,
1652610418,5/15/2022 10:26:58 AM,80.73,112.46,48.83,1013.86,10.51,130,0,
1652610478,5/15/2022 10:27:58 AM,80.92,112.64,47.67,1013.86,3.75,132,0,
1652610538,5/15/2022 10:28:58 AM,81.81,113.0,46.51,1013.89,3.03,110,0,
1652610598,5/15/2022 10:29:58 AM,82.81,113.18,45.24,1013.87,11.22,104,0,
1652610658,5/15/2022 10:30:58 AM,82.99,113.18,45.31,1013.83,6.64,103,0,
1652610718,5/15/2022 10:31:58 AM,82.69,113.9,45.78,1013.81,3.76,130,0,
1652610778,5/15/2022 10:32:58 AM,82.18,113.9,46.13,1013.8,2.42,96,0,
1652610838,5/15/2022 10:33:58 AM,82.71,114.08,45.76,1013.79,9.61,110,0,
1652610898,5/15/2022 10:34:58 AM,82.87,114.26,45.42,1013.78,8.17,91,0,
1652610958,5/15/2022 10:35:58 AM,82.76,114.62,45.4,1013.78,4.41,85,0,
1652611018,5/15/2022 10:36:58 AM,83.37,114.26,45.13,1013.76,9.44,120,0,
1652611078,5/15/2022 10:37:58 AM,82.81,114.44,46.54,1013.74,0,187,0,
1652611138,5/15/2022 10:38:58 AM,83.05,114.8,45.9,1013.8,7.5,148,0,
1652611198,5/15/2022 10:39:58 AM,83.55,114.26,45.45,1013.82,0,147,0,
1652611258,5/15/2022 10:40:58 AM,83.77,114.26,45.31,1013.81,7.39,149,0,
1652611318,5/15/2022 10:41:58 AM,83.97,114.26,44.82,1013.81,0,142,0,
1652611378,5/15/2022 10:42:58 AM,84.22,114.26,44.64,1013.8,4.42,140,0,
1652611439,5/15/2022 10:43:59 AM,84.16,114.44,44.58,1013.79,0,109,0,
1652611499,5/15/2022 10:44:59 AM,84.25,114.44,43.68,1013.79,5.47,246,0,
1652611559,5/15/2022 10:45:59 AM,84.7,114.62,43.54,1013.77,0,75,0,
1652611619,5/15/2022 10:46:59 AM,84.76,114.62,43.74,1013.75,11.7,89,0,
1652611679,5/15/2022 10:47:59 AM,83.97,114.44,44.03,1013.74,6.14,111,0,
1652611739,5/15/2022 10:48:59 AM,83.61,114.62,44.23,1013.75,0,93,0,
1652611799,5/15/2022 10:49:59 AM,83.71,114.44,44.08,1013.74,0,98,0,
1652611859,5/15/2022 10:50:59 AM,83.62,114.44,44.07,1013.74,7.64,91,0,
1652611919,5/15/2022 10:51:59 AM,82.99,114.98,44.57,1013.74,6.98,146,0,
1652611979,5/15/2022 10:52:59 AM,83.44,114.98,43.85,1013.73,3.84,137,0,
1652612039,5/15/2022 10:53:59 AM,83.97,115.34,43.42,1013.73,15.08,81,0,
1652612099,5/15/2022 10:54:59 AM,83.37,115.7,43.65,1013.67,11.3,95,0,
1652612159,5/15/2022 10:55:59 AM,82.67,116.24,44.49,1013.66,13.53,89,0,
1652612219,5/15/2022 10:56:59 AM,82.53,116.24,44.96,1013.65,8.54,81,0,
1652612279,5/15/2022 10:57:59 AM,82.2,116.42,44.89,1013.66,9.22,94,0,
1652612339,5/15/2022 10:58:59 AM,81.72,116.24,45.24,1013.66,9.28,79,0,
1652612399,5/15/2022 10:59:59 AM,82.09,116.24,44.84,1013.65,11.54,107,0,
1652612459,5/15/2022 11:00:59 AM,82.78,116.24,44.11,1013.62,10.47,113,0,
1652612519,5/15/2022 11:01:59 AM,82.67,116.06,43.83,1013.55,1.23,83,0,
1652612579,5/15/2022 11:02:59 AM,81.63,115.88,45.06,1013.5,8.18,95,0,
