NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,3,1,3:53.678,0,,2:33.877,0,40.174,0,39.627,0,84.5,3:53.678,15:45:53.678,2:33.877,0:40.174,0:39.627,205.3,Adrien CHILA,0:01:56.708,LMP3,,Eurointernational,Ligier,GF,153.877,40.174,39.627,
10,3,2,1:49.144,0,,34.966,0,37.025,0,37.153,0,191.1,5:42.822,15:47:42.822,0:34.966,0:37.025,0:37.153,270.7,Adrien CHILA,,LMP3,,Eurointernational,Ligier,GF,34.966,37.025,37.153,
10,3,3,1:48.238,0,,34.657,0,36.830,0,36.751,0,192.7,7:31.060,15:49:31.060,0:34.657,0:36.830,0:36.751,273.4,Adrien CHILA,,LMP3,,Eurointernational,Ligier,GF,34.657,36.830,36.751,
10,3,4,1:48.754,0,,34.448,0,36.711,0,37.595,0,191.8,9:19.814,15:51:19.814,0:34.448,0:36.711,0:37.595,274.1,Adrien CHILA,,LMP3,,Eurointernational,Ligier,GF,34.448,36.711,37.595,
10,3,5,1:48.617,0,,34.961,0,36.945,0,36.711,0,192.0,11:08.431,15:53:08.431,0:34.961,0:36.945,0:36.711,272.0,Adrien CHILA,,LMP3,,Eurointernational,Ligier,GF,34.961,36.945,36.711,
10,3,6,1:47.557,0,,34.449,0,36.591,0,36.517,0,193.9,12:55.988,15:54:55.988,0:34.449,0:36.591,0:36.517,274.8,Adrien CHILA,,LMP3,,Eurointernational,Ligier,GF,34.449,36.591,36.517,
10,3,7,1:47.965,0,,34.937,0,36.525,0,36.503,0,193.2,14:43.953,15:56:43.953,0:34.937,0:36.525,0:36.503,264.7,Adrien CHILA,,LMP3,,Eurointernational,Ligier,GF,34.937,36.525,36.503,
10,3,8,1:47.561,0,,34.319,0,36.643,0,36.599,0,193.9,16:31.514,15:58:31.514,0:34.319,0:36.643,0:36.599,274.8,Adrien CHILA,,LMP3,,Eurointernational,Ligier,GF,34.319,36.643,36.599,
10,3,9,1:49.589,0,,34.619,0,38.113,0,36.857,0,190.3,18:21.103,16:00:21.103,0:34.619,0:38.113,0:36.857,274.8,Adrien CHILA,,LMP3,,Eurointernational,Ligier,GF,34.619,38.113,36.857,
10,3,10,1:47.868,0,,34.277,0,36.578,0,37.013,0,193.3,20:08.971,16:02:08.971,0:34.277,0:36.578,0:37.013,272.7,Adrien CHILA,,LMP3,,Eurointernational,Ligier,GF,34.277,36.578,37.013,
