TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1656689850,7/1/2022 3:37:30 PM,33.8,52,32.01,991.38,12.98,93,0,
1656689910,7/1/2022 3:38:30 PM,34.03,51.9,31.89,991.34,11.22,104,0,
1656689970,7/1/2022 3:39:30 PM,34.01,51.8,32.09,991.37,22.04,96,0,
1656690030,7/1/2022 3:40:30 PM,34.08,51.7,32.1,991.36,21.6,104,0,
1656690090,7/1/2022 3:41:30 PM,34.05,51.4,32.54,991.37,8.35,89,0,
1656690150,7/1/2022 3:42:30 PM,34.12,51.4,31.91,991.37,10.3,65,0,
1656690210,7/1/2022 3:43:30 PM,33.93,51.1,32.13,991.36,21.6,64,0,
1656690270,7/1/2022 3:44:30 PM,33.63,51.1,32.42,991.33,22.01,63,0,
1656690330,7/1/2022 3:45:30 PM,33.59,51,32.64,991.34,21.09,62,0,
1656690390,7/1/2022 3:46:30 PM,33.48,50.9,32.89,991.35,14.46,59,0,
1656690450,7/1/2022 3:47:30 PM,33.58,50.8,32.82,991.34,11.82,85,0,
1656690510,7/1/2022 3:48:30 PM,33.68,50.8,32.74,991.33,5.55,86,0,
1656690570,7/1/2022 3:49:30 PM,33.76,50.7,32.8,991.34,21.6,90,0,
1656690630,7/1/2022 3:50:30 PM,33.54,50.6,32.92,991.34,17.15,66,0,
1656690690,7/1/2022 3:51:30 PM,33.51,50.6,33.01,991.32,13.61,79,0,
