TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1656745201,7/2/2022 7:00:01 AM,27.19,32.7,48.78,997.74,3.78,69,0,
1656745261,7/2/2022 7:01:01 AM,27.4,32.8,48.52,997.78,12.57,84,0,
1656745321,7/2/2022 7:02:01 AM,27.62,32.9,47.88,997.77,17.36,76,0,
1656745381,7/2/2022 7:03:01 AM,27.64,32.9,47.79,997.77,21.8,97,0,
1656745441,7/2/2022 7:04:01 AM,27.6,32.9,47.88,997.79,10.28,96,0,
1656745501,7/2/2022 7:05:01 AM,27.67,32.8,47.64,997.79,5.16,95,0,
1656745561,7/2/2022 7:06:01 AM,27.78,32.9,47.24,997.79,5.6,101,0,
1656745621,7/2/2022 7:07:01 AM,27.83,33,47.17,997.8,22.38,113,0,
1656745681,7/2/2022 7:08:01 AM,27.94,33,47.02,997.79,12.09,106,0,
1656745741,7/2/2022 7:09:01 AM,27.98,33.2,46.98,997.8,13.05,96,0,
1656745801,7/2/2022 7:10:01 AM,27.9,33.2,47.3,997.8,6.84,99,0,
1656745861,7/2/2022 7:11:01 AM,27.87,33.3,47.29,997.81,7.63,100,0,
1656745921,7/2/2022 7:12:01 AM,28.05,33.4,47.1,997.81,16.14,105,0,
1656745981,7/2/2022 7:13:01 AM,28.05,33.4,47.15,997.81,21.6,91,0,
1656746041,7/2/2022 7:14:01 AM,28.1,33.6,46.91,997.82,16.54,97,0,
1656746101,7/2/2022 7:15:01 AM,28.19,33.6,46.73,997.86,15.17,104,0,
1656746161,7/2/2022 7:16:01 AM,28.34,33.7,46.3,997.88,12.88,97,0,
1656746221,7/2/2022 7:17:01 AM,28.42,33.7,46.01,997.89,9.22,106,0,
1656746281,7/2/2022 7:18:01 AM,28.49,33.7,45.91,997.89,5.7,103,0,
1656746341,7/2/2022 7:19:01 AM,28.56,33.8,45.74,997.88,10.62,99,0,
1656746401,7/2/2022 7:20:01 AM,28.64,33.8,45.63,997.86,3.53,97,0,
1656746461,7/2/2022 7:21:01 AM,28.74,33.9,45.37,997.86,7.84,97,0,
1656746521,7/2/2022 7:22:01 AM,28.77,34,45.31,997.87,6.19,91,0,
1656746581,7/2/2022 7:23:01 AM,28.69,34.1,45.77,997.87,7.59,95,0,
1656746641,7/2/2022 7:24:01 AM,28.64,34.3,45.83,997.88,21.6,94,0,
