TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1656771263,7/2/2022 2:14:23 PM,34.99,55.4,29.85,997.08,10.5,94,0,
1656771323,7/2/2022 2:15:23 PM,35.22,55.2,29.61,997.05,21.78,112,0,
1656771383,7/2/2022 2:16:23 PM,35.64,55.2,29.28,997.06,10.57,93,0,
1656771443,7/2/2022 2:17:23 PM,35.96,55.3,29.04,997.02,3.4,97,0,
1656771503,7/2/2022 2:18:23 PM,36.2,55.2,28.82,996.98,21.6,94,0,
1656771563,7/2/2022 2:19:23 PM,36.29,55.2,28.79,996.97,21.06,100,0,
1656771623,7/2/2022 2:20:23 PM,35.93,55.2,29.26,996.96,21.6,98,0,
1656771683,7/2/2022 2:21:23 PM,35.94,55,29.15,996.96,18.02,87,0,
1656771743,7/2/2022 2:22:23 PM,35.79,55.1,28.82,996.97,21.6,83,0,
1656771803,7/2/2022 2:23:23 PM,35.46,54.8,29.15,996.93,12.23,83,0,
1656771863,7/2/2022 2:24:23 PM,34.99,54.8,29.47,996.92,18.17,99,0,
1656771923,7/2/2022 2:25:23 PM,35.19,54.5,29.43,996.91,13.73,102,0,
1656771983,7/2/2022 2:26:23 PM,35.39,54.5,29.02,996.91,26.67,109,0,
1656772043,7/2/2022 2:27:23 PM,35.68,54.6,28.73,996.9,21.6,105,0,
1656772103,7/2/2022 2:28:23 PM,35.3,54.7,28.86,996.9,21.6,107,0,
1656772163,7/2/2022 2:29:23 PM,35.19,54.5,28.95,996.9,15.38,112,0,
1656772223,7/2/2022 2:30:23 PM,35.22,54.6,28.9,996.91,7.74,93,0,
1656772283,7/2/2022 2:31:23 PM,35.52,54.6,28.64,996.9,17.38,89,0,
