TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1661515227,26/08/2022 12:00:27,"30,1111",48,48,1000,"3,1828",105,-1,
1661515292,26/08/2022 12:01:32,"30,1667",48,47,1000,"2,12187",104,-1,
1661515357,26/08/2022 12:02:37,"30,2778",48,47,"999,899","1,06093",68,-1,
1661515422,26/08/2022 12:03:42,"30,3333",48,47,1000,"5,30467",315,-1,
1661515482,26/08/2022 12:04:42,"30,3333","48,1",46,"999,865","3,1828",69,-1,
1661515547,26/08/2022 12:05:47,"30,3333","48,1",46,"999,899","5,30467",350,-1,
1661515612,26/08/2022 12:06:52,"30,3333",48,47,"999,865","3,1828",5,-1,
1661515677,26/08/2022 12:07:57,"30,3889",48,47,"999,899","3,1828",110,-1,
1661515737,26/08/2022 12:08:57,"30,3889",48,47,"999,831","1,06093",115,-1,
1661515802,26/08/2022 12:10:02,"30,4444",48,47,"999,899","3,1828",338,-1,
1661515868,26/08/2022 12:11:08,"30,5",48,47,"999,831","1,06093",12,-1,
1661515932,26/08/2022 12:12:12,"30,5556",48,47,"999,899","4,24374",212,-1,
1661515993,26/08/2022 12:13:13,"30,6111","48,1",46,"999,967","5,30467",292,-1,
1661516058,26/08/2022 12:14:18,"30,5556","48,2",46,"999,933","3,1828",233,-1,
1661516123,26/08/2022 12:15:23,"30,5556","48,3",47,"999,865","6,3656",211,-1,
1661516188,26/08/2022 12:16:28,"30,5","48,3",47,"999,865","2,12187",235,-1,
1661516248,26/08/2022 12:17:28,"30,5556","48,4",47,"999,797","2,12187",164,-1,
1661516313,26/08/2022 12:18:33,"30,5556","48,6",47,"999,797","3,1828",198,-1,
1661516378,26/08/2022 12:19:38,"30,6667","48,6",47,"999,764","3,1828",199,-1,
1661516443,26/08/2022 12:20:43,"30,7222","48,7",47,"999,764","3,1828",265,-1,
1661516503,26/08/2022 12:21:43,"30,7778","48,7",47,"999,797","4,24374",18,-1,
1661516569,26/08/2022 12:22:49,"30,9444","48,7",46,"999,764","4,24374",15,-1,
1661516634,26/08/2022 12:23:54,31,"48,6",46,"999,73","4,24374",360,-1,
1661516698,26/08/2022 12:24:58,"31,0556","48,6",46,"999,696","2,12187",312,-1,
1661516759,26/08/2022 12:25:59,"31,0556","48,6",46,"999,696","2,12187",284,-1,
1661516824,26/08/2022 12:27:04,"31,1667","48,7",47,"999,696","4,24374",162,-1,
1661516889,26/08/2022 12:28:09,"31,1667","48,7",46,"999,696","1,06093",191,-1,
1661516954,26/08/2022 12:29:14,"31,2222","48,7",47,"999,73","2,12187",227,-1,
1661517014,26/08/2022 12:30:14,"31,2778","48,8",46,"999,696","1,06093",141,-1,
1661517079,26/08/2022 12:31:19,"31,3333","48,8",46,"999,764","1,06093",171,-1,
1661517144,26/08/2022 12:32:24,"31,3889","48,9",46,"999,696","4,24374",313,-1,
1661517210,26/08/2022 12:33:30,"31,4444","48,9",46,"999,628","4,24374",182,-1,
1661517274,26/08/2022 12:34:34,"31,5","48,8",46,"999,527","2,12187",42,-1,
1661517335,26/08/2022 12:35:35,"31,5","48,9",46,"999,594","6,3656",238,-1,
