NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
19,1,1,1:45.648,0,,32.500,0,38.275,0,34.873,0,154.4,1:45.648,16:26:45.648,0:32.500,0:38.275,0:34.873,182.4,Bent VISCAAL,0:00:04.655,LMP2,,Algarve Pro Racing,Oreca,GF,32.500,38.275,34.873,
19,1,2,1:35.823,0,,26.830,0,36.822,0,32.171,0,175.6,3:21.471,16:28:21.471,0:26.830,0:36.822,0:32.171,271.8,Bent VISCAAL,,LMP2,,Algarve Pro Racing,Oreca,GF,26.830,36.822,32.171,
19,1,3,1:35.672,0,,26.644,0,36.810,2,32.218,0,175.9,4:57.143,16:29:57.143,0:26.644,0:36.810,0:32.218,273.2,Bent VISCAAL,,LMP2,,Algarve Pro Racing,Oreca,GF,26.644,36.810,32.218,
19,1,4,1:39.612,0,B,26.640,0,37.155,0,35.817,0,169.0,6:36.755,16:31:36.755,0:26.640,0:37.155,0:35.817,273.2,Bent VISCAAL,,LMP2,,Algarve Pro Racing,Oreca,GF,26.640,37.155,35.817,
19,1,5,2:23.571,0,,1:14.211,0,37.036,0,32.324,0,117.2,9:00.326,16:34:00.326,1:14.211,0:37.036,0:32.324,186.9,Bent VISCAAL,0:00:49.945,LMP2,,Algarve Pro Racing,Oreca,GF,74.211,37.036,32.324,
19,1,6,1:35.620,2,,26.593,2,36.873,0,32.154,2,176.0,10:35.946,16:35:35.946,0:26.593,0:36.873,0:32.154,273.2,Bent VISCAAL,,LMP2,,Algarve Pro Racing,Oreca,FF,26.593,36.873,32.154,
21,2,1,2:09.441,0,,51.628,0,38.988,0,38.825,0,126.1,2:09.441,16:27:09.441,0:51.628,0:38.988,0:38.825,79.6,Thomas LAURENT,0:00:13.902,LMP2,,Mühlner Motorsport,Oreca,GF,51.628,38.988,38.825,
21,2,2,1:36.498,0,,27.133,0,37.319,0,32.046,0,174.4,3:45.939,16:28:45.939,0:27.133,0:37.319,0:32.046,269.1,Thomas LAURENT,,LMP2,,Mühlner Motorsport,Oreca,GF,27.133,37.319,32.046,
21,2,3,1:35.961,0,,26.747,2,37.156,0,32.058,0,175.4,5:21.900,16:30:21.900,0:26.747,0:37.156,0:32.058,270.5,Thomas LAURENT,,LMP2,,Mühlner Motorsport,Oreca,GF,26.747,37.156,32.058,
21,2,4,1:47.615,0,,27.105,0,42.727,0,37.783,0,156.4,7:09.515,16:32:09.515,0:27.105,0:42.727,0:37.783,270.5,Thomas LAURENT,,LMP2,,Mühlner Motorsport,Oreca,GF,27.105,42.727,37.783,
21,2,5,1:35.744,2,,26.850,0,36.981,2,31.913,2,175.8,8:45.259,16:33:45.259,0:26.850,0:36.981,0:31.913,271.1,Thomas LAURENT,,LMP2,,Mühlner Motorsport,Oreca,GF,26.850,36.981,31.913,
21,2,6,1:36.022,0,,26.827,0,37.176,0,32.019,0,175.3,10:21.281,16:35:21.281,0:26.827,0:37.176,0:32.019,270.5,Thomas LAURENT,,LMP2,,Mühlner Motorsport,Oreca,FF,26.827,37.176,32.019,
22,2,1,2:28.797,0,,1:01.661,0,40.638,0,46.498,0,109.7,2:28.797,16:27:28.797,1:01.661,0:40.638,0:46.498,156.2,Tom GAMBLE,0:00:31.238,LMP2,,United Autosports,Oreca,GF,61.661,40.638,46.498,
22,2,2,1:35.826,0,,26.875,0,36.893,0,32.058,0,175.6,4:04.623,16:29:04.623,0:26.875,0:36.893,0:32.058,272.5,Tom GAMBLE,,LMP2,,United Autosports,Oreca,GF,26.875,36.893,32.058,
22,2,3,1:39.686,0,B,26.615,0,36.783,0,36.288,0,168.8,5:44.309,16:30:44.309,0:26.615,0:36.783,0:36.288,273.2,Tom GAMBLE,,LMP2,,United Autosports,Oreca,GF,26.615,36.783,36.288,
22,2,4,2:27.318,0,,1:15.034,0,37.902,0,34.382,0,114.2,8:11.627,16:33:11.627,1:15.034,0:37.902,0:34.382,185.6,Tom GAMBLE,0:00:50.471,LMP2,,United Autosports,Oreca,GF,75.034,37.902,34.382,
22,2,5,1:35.400,2,,26.701,0,36.725,2,31.974,2,176.4,9:47.027,16:34:47.027,0:26.701,0:36.725,0:31.974,271.8,Tom GAMBLE,,LMP2,,United Autosports,Oreca,GF,26.701,36.725,31.974,
22,2,6,1:41.902,0,B,26.569,2,37.024,0,38.309,0,165.2,11:28.929,16:36:28.929,0:26.569,0:37.024,0:38.309,273.9,Tom GAMBLE,,LMP2,,United Autosports,Oreca,FF,26.569,37.024,38.309,
24,3,1,2:15.732,0,,53.648,0,42.828,0,39.256,0,120.2,2:15.732,16:27:15.732,0:53.648,0:42.828,0:39.256,84.4,Ben HANLEY,0:00:18.257,LMP2,P/A,Nielsen Racing,Oreca,GF,53.648,42.828,39.256,
24,3,2,1:35.640,2,,26.758,0,36.950,2,31.932,0,176.0,3:51.372,16:28:51.372,0:26.758,0:36.950,0:31.932,272.5,Ben HANLEY,,LMP2,P/A,Nielsen Racing,Oreca,GF,26.758,36.950,31.932,
24,3,3,1:44.637,0,B,27.090,0,38.362,0,39.185,0,160.8,5:36.009,16:30:36.009,0:27.090,0:38.362,0:39.185,273.2,Ben HANLEY,,LMP2,P/A,Nielsen Racing,Oreca,GF,27.090,38.362,39.185,
24,3,4,2:46.544,0,,1:34.327,0,38.365,0,33.852,0,101.1,8:22.553,16:33:22.553,1:34.327,0:38.365,0:33.852,181.5,Ben HANLEY,0:01:09.311,LMP2,P/A,Nielsen Racing,Oreca,GF,94.327,38.365,33.852,
24,3,5,1:37.203,0,,26.638,0,37.661,0,32.904,0,173.1,9:59.756,16:34:59.756,0:26.638,0:37.661,0:32.904,273.9,Ben HANLEY,,LMP2,P/A,Nielsen Racing,Oreca,GF,26.638,37.661,32.904,
24,3,6,1:35.668,0,,26.619,2,37.123,0,31.926,2,175.9,11:35.424,16:36:35.424,0:26.619,0:37.123,0:31.926,274.6,Ben HANLEY,,LMP2,P/A,Nielsen Racing,Oreca,FF,26.619,37.123,31.926,
28,2,1,1:55.889,0,,38.542,0,42.110,0,35.237,0,140.8,1:55.889,16:26:55.889,0:38.542,0:42.110,0:35.237,162.1,Paul Loup CHATIN,0:00:06.785,LMP2,,IDEC Sport,Oreca,GF,38.542,42.110,35.237,
28,2,2,1:35.362,0,,26.580,0,36.742,0,32.040,0,176.5,3:31.251,16:28:31.251,0:26.580,0:36.742,0:32.040,271.8,Paul Loup CHATIN,,LMP2,,IDEC Sport,Oreca,GF,26.580,36.742,32.040,
