TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1661612025,27/08/2022 14:53:45,"25,7222","35,8",72,"998,037","4,24374",80,-1,
1661612090,27/08/2022 14:54:50,"25,7222","35,8",71,"998,172","2,12187",71,-1,
1661612150,27/08/2022 14:55:50,"25,7222","35,8",71,"998,375","8,48747",103,-1,
1661612215,27/08/2022 14:56:55,"25,7778","35,7",72,"998,375",0,13,-1,
1661612280,27/08/2022 14:58:00,"25,7778","35,7",72,"998,477","7,42654",94,-1,
1661612340,27/08/2022 14:59:00,"25,7778","35,7",72,"998,477","1,06093",69,-1,
1661612406,27/08/2022 15:00:06,"25,7778","35,7",72,"998,477","4,24374",90,-1,
1661612471,27/08/2022 15:01:11,"25,7778","35,6",72,"998,341","3,1828",90,-1,
1661612536,27/08/2022 15:02:16,"25,7778","35,4",72,"998,375","2,12187",122,-1,
1661612601,27/08/2022 15:03:21,"25,7778","35,4",72,"998,24","5,30467",72,-1,
1661612666,27/08/2022 15:04:26,"25,7222","35,4",72,"998,24","5,30467",63,-1,
1661612726,27/08/2022 15:05:26,"25,7222","35,3",73,"998,341",0,58,-1,
1661612791,27/08/2022 15:06:31,"25,7222","35,3",72,"998,375","6,3656",67,-1,
1661612856,27/08/2022 15:07:36,"25,7222","35,3",73,"998,409","2,12187",26,-1,
1661612921,27/08/2022 15:08:41,"25,7222","35,3",72,"998,511","4,24374",58,-1,
1661612981,27/08/2022 15:09:41,"25,6667","35,3",72,"998,511","4,24374",131,-1,
1661613047,27/08/2022 15:10:47,"25,6667","35,3",72,"998,477","4,24374",84,-1,
1661613112,27/08/2022 15:11:52,"25,6667","35,3",73,"998,443","2,12187",72,-1,
1661613176,27/08/2022 15:12:56,"25,6667","35,2",73,"998,409","4,24374",64,-1,
1661613237,27/08/2022 15:13:57,"25,6667","35,2",73,"998,375","2,12187",80,-1,
