TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1661679999,28/08/2022 9:46:39,80.6,102.2,55,"999,865","3,1828",184,-1,
1661680064,28/08/2022 9:47:44,80.6,102.2,55,"999,764","7,42654",198,-1,
1661680129,28/08/2022 9:48:49,80.6,102.2,54,"999,797","6,3656",227,-1,
1661680195,28/08/2022 9:49:55,80.6,104.0,54,"999,797","3,1828",220,-1,
1661680260,28/08/2022 9:51:00,80.6,104.0,54,"999,797","6,3656",215,-1,
1661680325,28/08/2022 9:52:05,80.6,104.0,54,"999,899","5,30467",252,-1,
1661680389,28/08/2022 9:53:09,80.6,104.0,53,"999,865","4,24374",227,-1,
1661680450,28/08/2022 9:54:10,80.6,104.0,54,"999,797","3,1828",211,-1,
1661680515,28/08/2022 9:55:15,80.6,104.0,54,"999,831","4,24374",244,-1,
1661680580,28/08/2022 9:56:20,80.6,104.0,54,"999,797","4,24374",241,-1,
1661680645,28/08/2022 9:57:25,80.6,104.0,53,"999,764",0,309,-1,
1661680705,28/08/2022 9:58:25,80.6,104.0,53,"999,764",0,29,-1,
1661680770,28/08/2022 9:59:30,80.6,104.0,53,"999,797","4,24374",196,-1,
1661680836,28/08/2022 10:00:36,82.4,104.0,53,"999,797","5,30467",215,-1,
1661680900,28/08/2022 10:01:40,82.4,105.8,53,"999,764","2,12187",188,-1,
1661680961,28/08/2022 10:02:41,82.4,105.8,53,"999,696","3,1828",209,-1,
1661681026,28/08/2022 10:03:46,82.4,105.8,53,"999,764","5,30467",224,-1,
1661681091,28/08/2022 10:04:51,82.4,105.8,54,"999,764","2,12187",279,-1,
1661681156,28/08/2022 10:05:56,82.4,105.8,54,"999,797","3,1828",209,-1,
1661681216,28/08/2022 10:06:56,82.4,105.8,54,"999,764","6,3656",277,-1,
1661681281,28/08/2022 10:08:01,82.4,105.8,54,"999,764","4,24374",218,-1,
1661681346,28/08/2022 10:09:06,82.4,105.8,55,"999,797","6,3656",216,-1,
1661681411,28/08/2022 10:10:11,82.4,105.8,54,"999,696","4,24374",205,-1,
1661681471,28/08/2022 10:11:11,82.4,105.8,54,"999,73","3,1828",214,-1,
1661681537,28/08/2022 10:12:17,82.4,107.6,54,"999,696","1,06093",217,-1,
1661681602,28/08/2022 10:13:22,82.4,107.6,53,"999,628","2,12187",355,-1,
1661681666,28/08/2022 10:14:26,82.4,107.6,53,"999,662","3,1828",199,-1,
1661681727,28/08/2022 10:15:27,82.4,107.6,53,"999,628","6,3656",277,-1,
1661681792,28/08/2022 10:16:32,82.4,107.6,53,"999,628","4,24374",201,-1,
1661681857,28/08/2022 10:17:37,82.4,107.6,53,"999,628","4,24374",70,-1,
1661681922,28/08/2022 10:18:42,82.4,107.6,53,"999,594","6,3656",215,-1,
1661681992,28/08/2022 10:19:52,82.4,107.6,53,"999,628","1,06093",221,-1,
1661682057,28/08/2022 10:20:57,82.4,107.6,53,"999,56","4,24374",232,-1,
1661682123,28/08/2022 10:22:03,82.4,107.6,52,"999,662","5,30467",231,-1,
1661682188,28/08/2022 10:23:08,82.4,107.6,52,"999,56","2,12187",217,-1,
1661682252,28/08/2022 10:24:12,82.4,109.4,52,"999,594","2,12187",254,-1,
1661682313,28/08/2022 10:25:13,82.4,109.4,53,"999,628","6,3656",192,-1,
1661682378,28/08/2022 10:26:18,82.4,109.4,52,"999,662","4,24374",210,-1,
1661682443,28/08/2022 10:27:23,82.4,109.4,52,"999,594",0,211,-1,
1661682508,28/08/2022 10:28:28,84.2,109.4,53,"999,594","4,24374",301,-1,
1661682568,28/08/2022 10:29:28,84.2,109.4,52,"999,662","4,24374",323,-1,
1661682633,28/08/2022 10:30:33,84.2,109.4,52,"999,594","3,1828",331,-1,
1661682698,28/08/2022 10:31:38,84.2,109.4,53,"999,56","2,12187",302,-1,
1661682764,28/08/2022 10:32:44,84.2,109.4,52,"999,527","1,06093",344,-1,
1661682828,28/08/2022 10:33:48,84.2,109.4,52,"999,594","1,06093",16,-1,
