POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,28,3,2:04.839,-,-,202.0,52,IDEC Sport,LMP2,,,Oreca 07 - Gibson,G,65252,522,3,5626,256,70,,,,,Paul Loup,CHATIN,G,,FRA,,313,70,,,Min 01:00:00,Paul,LAFARGUE,S,,FRA,,1552,70,,,Min 01:00:00,Patrick,PILET,P,,FRA,,68,70,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
2,22,17,2:05.091,+0.252,+0.252,201.6,43,United Autosports,LMP2,,,Oreca 07 - Gibson,G,65249,532,3,5626,256,188,,,,,Tom,GAMBLE,G,,GBR,,9549,188,,,Min 01:00:00,Duncan,TAPPY,S,,GBR,,756,188,,,Min 01:00:00,Philip,HANSON,G,,GBR,,1946,188,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
3,31,2,2:05.220,+0.381,+0.129,201.4,46,TDS Racing x Vaillante,LMP2,P/A,,Oreca 07 - Gibson,G,65254,116,3,5626,256,70,,,,,Philippe,CIMADOMO,B,,FRA,,8818,70,,,Min 01:00:00,Mathias,BECHE,G,,CHE,,151,219,,,Min 01:00:00,Tijmen,VAN DER HELM,S,,NLD,,10228,178,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
4,65,41,2:05.286,+0.447,+0.066,201.3,42,Panis Racing,LMP2,,,Oreca 07 - Gibson,G,65267,5990,3,5626,256,70,,,,,Nicolas,JAMIN,G,,FRA,,9174,70,,,Min 01:00:00,Job,VAN UITERT,G,,NLD,,8984,178,,,Min 01:00:00,Julien,CANAL,S,,FRA,,73,70,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
5,19,31,2:05.735,+0.896,+0.449,200.5,42,Algarve Pro Racing,LMP2,,,Oreca 07 - Gibson,G,65247,92,3,5626,256,184,,,,,Bent,VISCAAL,S,,NLD,,10541,178,,,Min 01:00:00,Filip,UGRAN,S,,ROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37,37,2:05.817,+0.978,+0.082,200.4,41,COOL Racing,LMP2,,,Oreca 07 - Gibson,G,65259,5790,3,5626,256,219,,,,,Niklas,KRUETTEN,S,,DEU,,10104,5,,,Min 01:00:00,Yifei,YE,G,,CHN,,10068,43,,,Min 01:00:00,Nicolas,LAPIERRE,P,,FRA,,96,70,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
7,30,30,2:05.854,+1.015,+0.037,200.3,39,Duqueine Team,LMP2,,,Oreca 07 - Gibson,G,65253,5981,3,5626,256,70,,,,,Memo,ROJAS,G,,MEX,,10067,151,,,Min 01:00:00,Richard,BRADLEY,G,,GBR,,272,188,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
8,47,6,2:05.943,+1.104,+0.089,200.2,50,Algarve Pro Racing,LMP2,P/A,,Oreca 07 - Gibson,G,65262,92,3,5626,256,184,,,,,John,FALB,B,,USA,,1536,66,,,Min 01:00:00,Alexander,PERONI,G,,AUS,,10304,16,,,Min 01:00:00,James,ALLEN,G,,AUS,,8384,16,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
9,34,6,2:05.973,+1.134,+0.030,200.2,50,Racing Team Turkey,LMP2,P/A,,Oreca 07 - Gibson,G,65257,6058,3,5626,256,240,,,,,Salih,YOLUC,B,,TUR,,1346,240,,,Min 01:00:00,Charlie,EASTWOOD,G,,IRL,,9016,116,,,Min 01:00:00,William ,STEVENS,G,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,
10,51,34,2:06.145,+1.306,+0.172,199.9,49,Team Virage,LMP2,P/A,,Oreca 07 - Gibson,G,65263,5892,3,5626,256,181,,,,,Rob,HODES,B,,USA,,9392,66,,,Min 01:00:00,Gabriel,AUBRY,G,,FRA,,9173,70,,,Min 01:00:00,Ian,RODRIGUEZ,S,,GTM,,10622,82,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
