TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1664114417,25/09/2022 14:00:17,57.2,68.0,61,"963,902","3,1828",319,-1,
1664114483,25/09/2022 14:01:23,57.2,68.0,62,"963,902","6,3656",316,-1,
1664114552,25/09/2022 14:02:32,57.2,69.8,61,"963,868","9,54841",323,-1,
1664114623,25/09/2022 14:03:43,57.2,69.8,60,"963,902","6,3656",340,-1,
1664114693,25/09/2022 14:04:53,57.2,69.8,60,"963,902","10,6093",322,-1,
1664114758,25/09/2022 14:05:58,57.2,69.8,60,"963,8","5,30467",310,-1,
1664114823,25/09/2022 14:07:03,57.2,69.8,61,"963,834","6,3656",323,-1,
1664114888,25/09/2022 14:08:08,57.2,69.8,60,"963,766","5,30467",346,-1,
1664114953,25/09/2022 14:09:13,57.2,69.8,60,"963,732","6,3656",301,-1,
1664115023,25/09/2022 14:10:23,57.2,69.8,61,"963,8","4,24374",311,-1,
1664115093,25/09/2022 14:11:33,57.2,69.8,61,"963,732","6,3656",350,-1,
1664115154,25/09/2022 14:12:34,57.2,69.8,61,"963,766","3,1828",330,-1,
1664115223,25/09/2022 14:13:43,57.2,69.8,62,"963,8","7,42654",321,-1,
1664115289,25/09/2022 14:14:49,57.2,69.8,62,"963,902","9,54841",305,-1,
1664115354,25/09/2022 14:15:54,57.2,69.8,62,"963,868","8,48747",302,-1,
1664115424,25/09/2022 14:17:04,57.2,69.8,62,"963,868","6,3656",329,-1,
1664115484,25/09/2022 14:18:04,57.2,69.8,63,"963,868","6,3656",316,-1,
1664115549,25/09/2022 14:19:09,57.2,69.8,64,"963,834","4,24374",300,-1,
1664115614,25/09/2022 14:20:14,57.2,69.8,63,"963,834","6,3656",321,-1,
1664115674,25/09/2022 14:21:14,57.2,69.8,62,"963,766","7,42654",300,-1,
1664115744,25/09/2022 14:22:24,57.2,69.8,63,"963,834","6,3656",307,-1,
1664115805,25/09/2022 14:23:25,57.2,69.8,63,"963,766","9,54841",323,-1,
1664115865,25/09/2022 14:24:25,57.2,69.8,63,"963,732","6,3656",315,-1,
1664115934,25/09/2022 14:25:34,57.2,69.8,62,"963,8","6,3656",340,-1,
1664115995,25/09/2022 14:26:35,57.2,69.8,64,"963,766","2,12187",338,-1,
1664116060,25/09/2022 14:27:40,57.2,69.8,64,"963,8","3,1828",319,-1,
1664116130,25/09/2022 14:28:50,57.2,68.0,64,"963,834","2,12187",302,-1,
1664116195,25/09/2022 14:29:55,57.2,68.0,63,"963,902","4,24374",325,-1,
1664116265,25/09/2022 14:31:05,57.2,68.0,62,"963,969","4,24374",320,-1,
1664116325,25/09/2022 14:32:05,57.2,66.2,62,"963,868","5,30467",332,-1,
1664116395,25/09/2022 14:33:15,57.2,68.0,61,"963,902","5,30467",355,-1,
1664116460,25/09/2022 14:34:20,57.2,68.0,62,"963,868","4,24374",310,-1,
1664116526,25/09/2022 14:35:26,57.2,68.0,60,"963,766","6,3656",309,-1,
1664116591,25/09/2022 14:36:31,57.2,68.0,60,"963,834","4,24374",334,-1,
1664116661,25/09/2022 14:37:41,57.2,68.0,59,"963,699","3,1828",309,-1,
1664116726,25/09/2022 14:38:46,57.2,68.0,60,"963,8","3,1828",331,-1,
1664116791,25/09/2022 14:39:51,57.2,68.0,61,"963,732","4,24374",298,-1,
1664116856,25/09/2022 14:40:56,57.2,68.0,60,"963,732","3,1828",322,-1,
1664116921,25/09/2022 14:42:01,57.2,68.0,62,"963,665","4,24374",316,-1,
1664116991,25/09/2022 14:43:11,57.2,68.0,62,"963,732","4,24374",305,-1,
1664117052,25/09/2022 14:44:12,57.2,68.0,62,"963,732","3,1828",311,-1,
1664117116,25/09/2022 14:45:16,57.2,68.0,62,"963,699","4,24374",313,-1,
1664117181,25/09/2022 14:46:21,57.2,68.0,62,"963,665","2,12187",298,-1,
1664117246,25/09/2022 14:47:26,57.2,68.0,62,"963,597","4,24374",294,-1,
1664117307,25/09/2022 14:48:27,57.2,68.0,62,"963,597","4,24374",307,-1,
1664117377,25/09/2022 14:49:37,57.2,66.2,62,"963,699","3,1828",313,-1,
1664117442,25/09/2022 14:50:42,57.2,66.2,64,"963,597","4,24374",306,-1,
