TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1665648067,13/10/2022 8:01:07,66.2,66.2,77,"1009,72",0,98,-1,
1665648127,13/10/2022 8:02:07,66.2,66.2,77,"1009,69",0,97,-1,
1665648197,13/10/2022 8:03:17,66.2,66.2,77,"1009,58",0,98,-1,
1665648262,13/10/2022 8:04:22,66.2,66.2,77,"1009,62",0,98,-1,
1665648328,13/10/2022 8:05:28,68.0,66.2,76,"1009,65",0,98,-1,
1665648393,13/10/2022 8:06:33,68.0,66.2,76,"1009,65","1,06093",153,-1,
1665648457,13/10/2022 8:07:37,68.0,66.2,76,"1009,65","1,06093",153,-1,
1665648518,13/10/2022 8:08:38,68.0,66.2,76,"1009,69","2,12187",166,-1,
1665648588,13/10/2022 8:09:48,68.0,66.2,75,"1009,69",0,173,-1,
1665648648,13/10/2022 8:10:48,68.0,66.2,75,"1009,69",0,173,-1,
1665648713,13/10/2022 8:11:53,68.0,66.2,74,"1009,72","1,06093",173,-1,
1665648773,13/10/2022 8:12:53,69.8,66.2,73,"1009,69","1,06093",173,-1,
1665648843,13/10/2022 8:14:03,69.8,66.2,73,"1009,75","1,06093",173,-1,
1665648908,13/10/2022 8:15:08,69.8,66.2,72,"1009,75","2,12187",173,-1,
1665648969,13/10/2022 8:16:09,69.8,66.2,71,"1009,75","2,12187",141,-1,
1665649039,13/10/2022 8:17:19,69.8,66.2,71,"1009,86","2,12187",111,-1,
1665649104,13/10/2022 8:18:24,69.8,66.2,71,"1009,79","1,06093",111,-1,
1665649174,13/10/2022 8:19:34,69.8,66.2,70,"1009,72","2,12187",144,-1,
1665649234,13/10/2022 8:20:34,71.6,66.2,70,"1009,75",0,144,-1,
1665649299,13/10/2022 8:21:39,71.6,66.2,69,"1009,79",0,144,-1,
1665649364,13/10/2022 8:22:44,71.6,66.2,69,"1009,75","1,06093",142,-1,
1665649424,13/10/2022 8:23:44,71.6,66.2,69,"1009,75",0,142,-1,
1665649489,13/10/2022 8:24:49,71.6,66.2,69,"1009,69",0,142,-1,
1665649554,13/10/2022 8:25:54,71.6,68.0,68,"1009,79","1,06093",144,-1,
1665649615,13/10/2022 8:26:55,71.6,68.0,68,"1009,72",0,144,-1,
1665649684,13/10/2022 8:28:04,71.6,68.0,68,"1009,79","1,06093",144,-1,
1665649745,13/10/2022 8:29:05,71.6,68.0,67,"1009,79","1,06093",144,-1,
1665649810,13/10/2022 8:30:10,71.6,68.0,67,"1009,79","2,12187",138,-1,
1665649875,13/10/2022 8:31:15,71.6,68.0,67,"1009,82","2,12187",138,-1,
1665649935,13/10/2022 8:32:15,71.6,68.0,67,"1009,89",0,128,-1,
1665650015,13/10/2022 8:33:35,73.4,68.0,66,"1009,89",0,128,-1,
1665650075,13/10/2022 8:34:35,73.4,69.8,66,"1009,89","1,06093",128,-1,
1665650145,13/10/2022 8:35:45,73.4,69.8,66,"1009,96","2,12187",128,-1,
1665650210,13/10/2022 8:36:50,73.4,69.8,66,"1009,86","2,12187",128,-1,
1665650276,13/10/2022 8:37:56,73.4,69.8,66,"1009,89","2,12187",128,-1,
1665650341,13/10/2022 8:39:01,73.4,69.8,66,"1009,89","1,06093",128,-1,
1665650406,13/10/2022 8:40:06,73.4,69.8,65,"1009,96",0,128,-1,
1665650471,13/10/2022 8:41:11,73.4,69.8,65,"1010,02",0,128,-1,
1665650536,13/10/2022 8:42:16,73.4,69.8,65,"1009,99","1,06093",128,-1,
1665650596,13/10/2022 8:43:16,73.4,69.8,65,"1010,02","1,06093",128,-1,
1665650671,13/10/2022 8:44:31,73.4,69.8,65,"1009,99",0,128,-1,
1665650736,13/10/2022 8:45:36,73.4,71.6,65,"1009,96",0,128,-1,
1665650801,13/10/2022 8:46:41,73.4,71.6,64,"1010,02","3,1828",122,-1,
1665650866,13/10/2022 8:47:46,73.4,71.6,64,"1010,02","1,06093",124,-1,
1665650927,13/10/2022 8:48:47,73.4,71.6,64,"1010,09","2,12187",125,-1,
1665651002,13/10/2022 8:50:02,73.4,71.6,64,"1010,06","3,1828",125,-1,
1665651066,13/10/2022 8:51:06,73.4,71.6,64,"1010,09","2,12187",128,-1,
1665651132,13/10/2022 8:52:12,73.4,71.6,64,"1010,09","3,1828",126,-1,
1665651192,13/10/2022 8:53:12,73.4,71.6,64,"1010,09","3,1828",110,-1,
1665651257,13/10/2022 8:54:17,73.4,71.6,64,"1010,13","2,12187",109,-1,
1665651322,13/10/2022 8:55:22,73.4,71.6,64,"1010,23","3,1828",108,-1,
1665651387,13/10/2022 8:56:27,73.4,73.4,64,"1010,19","3,1828",90,-1,
1665651447,13/10/2022 8:57:27,73.4,73.4,64,"1010,19","3,1828",100,-1,
1665651513,13/10/2022 8:58:33,73.4,73.4,64,"1010,13","3,1828",121,-1,
1665651582,13/10/2022 8:59:42,73.4,73.4,64,"1010,19","2,12187",120,-1,
1665651652,13/10/2022 9:00:52,73.4,73.4,64,"1010,16","1,06093",121,-1,
1665651713,13/10/2022 9:01:53,73.4,73.4,64,"1010,26","2,12187",107,-1,
1665651778,13/10/2022 9:02:58,73.4,73.4,64,"1010,23","2,12187",106,-1,
1665651848,13/10/2022 9:04:08,73.4,73.4,64,"1010,23","1,06093",83,-1,
1665651918,13/10/2022 9:05:18,73.4,73.4,64,"1010,16","3,1828",107,-1,
1665651983,13/10/2022 9:06:23,73.4,73.4,64,"1010,19","2,12187",118,-1,
1665652043,13/10/2022 9:07:23,73.4,73.4,64,"1010,09","3,1828",113,-1,
1665652113,13/10/2022 9:08:33,73.4,73.4,64,"1010,13",0,119,-1,
1665652178,13/10/2022 9:09:38,73.4,75.2,64,"1010,09","4,24374",125,-1,
1665652249,13/10/2022 9:10:49,73.4,75.2,64,"1010,13","3,1828",128,-1,
1665652313,13/10/2022 9:11:53,73.4,75.2,64,"1010,16","2,12187",135,-1,
1665652374,13/10/2022 9:12:54,73.4,75.2,64,"1010,16","2,12187",132,-1,
1665652444,13/10/2022 9:14:04,73.4,75.2,64,"1010,16","3,1828",147,-1,
1665652504,13/10/2022 9:15:04,73.4,75.2,64,"1010,16","3,1828",142,-1,
