NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
19,1,1,2:17.276,0,,57.161,0,33.971,0,46.144,0,115.0,2:17.276,17:17:17.276,0:57.161,0:33.971,0:46.144,,Bent VISCAAL,0:00:20.094,LMP2,,Algarve Pro Racing,Oreca,GF,57.161,33.971,46.144,
19,1,2,1:34.346,0,,29.987,0,30.187,0,34.172,0,177.5,3:51.622,17:18:51.622,0:29.987,0:30.187,0:34.172,279.1,Bent VISCAAL,,LMP2,,Algarve Pro Racing,Oreca,GF,29.987,30.187,34.172,
19,1,3,1:33.421,2,,29.293,0,30.059,2,34.069,2,179.3,5:25.043,17:20:25.043,0:29.293,0:30.059,0:34.069,279.8,Bent VISCAAL,,LMP2,,Algarve Pro Racing,Oreca,GF,29.293,30.059,34.069,
19,1,4,1:39.463,0,B,29.143,2,30.076,0,40.244,0,168.4,7:04.506,17:22:04.506,0:29.143,0:30.076,0:40.244,279.1,Bent VISCAAL,,LMP2,,Algarve Pro Racing,Oreca,GF,29.143,30.076,40.244,
19,1,5,2:56.006,0,,1:50.925,0,30.326,0,34.755,0,95.2,10:00.512,17:25:00.512,1:50.925,0:30.326,0:34.755,,Bent VISCAAL,0:01:26.193,LMP2,,Algarve Pro Racing,Oreca,FF,110.925,30.326,34.755,
21,3,1,2:09.029,0,,55.182,0,32.315,0,41.532,0,122.3,2:09.029,17:17:09.029,0:55.182,0:32.315,0:41.532,,Ugo DE WILDE,0:00:17.686,LMP2,,Mühlner Motorsport,Oreca,GF,55.182,32.315,41.532,
21,3,2,1:35.732,0,,29.682,0,30.381,0,35.669,0,175.0,3:44.761,17:18:44.761,0:29.682,0:30.381,0:35.669,279.1,Ugo DE WILDE,,LMP2,,Mühlner Motorsport,Oreca,GF,29.682,30.381,35.669,
21,3,3,1:33.208,0,,29.221,0,29.922,0,34.065,0,179.7,5:17.969,17:20:17.969,0:29.221,0:29.922,0:34.065,279.8,Ugo DE WILDE,,LMP2,,Mühlner Motorsport,Oreca,GF,29.221,29.922,34.065,
21,3,4,1:33.313,0,,29.261,0,29.874,2,34.178,0,179.5,6:51.282,17:21:51.282,0:29.261,0:29.874,0:34.178,280.5,Ugo DE WILDE,,LMP2,,Mühlner Motorsport,Oreca,GF,29.261,29.874,34.178,
21,3,5,1:33.219,0,,29.233,0,29.925,0,34.061,0,179.7,8:24.501,17:23:24.501,0:29.233,0:29.925,0:34.061,279.8,Ugo DE WILDE,,LMP2,,Mühlner Motorsport,Oreca,GF,29.233,29.925,34.061,
21,3,6,1:33.137,2,,29.214,2,29.880,0,34.043,2,179.9,9:57.638,17:24:57.638,0:29.214,0:29.880,0:34.043,279.8,Ugo DE WILDE,,LMP2,,Mühlner Motorsport,Oreca,GF,29.214,29.880,34.043,
21,3,7,1:56.973,0,B,34.128,0,36.189,0,46.656,0,143.2,11:54.611,17:26:54.611,0:34.128,0:36.189,0:46.656,279.8,Ugo DE WILDE,,LMP2,,Mühlner Motorsport,Oreca,FF,34.128,36.189,46.656,
22,2,1,2:26.020,0,,1:12.757,0,32.138,0,41.125,0,108.1,2:26.020,17:17:26.020,1:12.757,0:32.138,0:41.125,,Tom GAMBLE,0:00:42.335,LMP2,,United Autosports,Oreca,GF,72.757,32.138,41.125,
22,2,2,1:32.936,0,,29.237,0,29.822,0,33.877,0,180.2,3:58.956,17:18:58.956,0:29.237,0:29.822,0:33.877,279.8,Tom GAMBLE,,LMP2,,United Autosports,Oreca,GF,29.237,29.822,33.877,
22,2,3,1:40.866,0,B,29.086,0,29.716,2,42.064,0,166.1,5:39.822,17:20:39.822,0:29.086,0:29.716,0:42.064,280.5,Tom GAMBLE,,LMP2,,United Autosports,Oreca,GF,29.086,29.716,42.064,
22,2,4,2:33.669,0,,1:28.194,0,30.873,0,34.602,0,109.0,8:13.491,17:23:13.491,1:28.194,0:30.873,0:34.602,,Tom GAMBLE,0:01:03.306,LMP2,,United Autosports,Oreca,GF,88.194,30.873,34.602,
22,2,5,1:32.873,0,,29.264,0,29.851,0,33.758,2,180.4,9:46.364,17:24:46.364,0:29.264,0:29.851,0:33.758,279.1,Tom GAMBLE,,LMP2,,United Autosports,Oreca,GF,29.264,29.851,33.758,
22,2,6,1:32.638,2,,28.865,3,29.939,0,33.834,0,180.8,11:19.002,17:26:19.002,0:28.865,0:29.939,0:33.834,279.8,Tom GAMBLE,,LMP2,,United Autosports,Oreca,FF,28.865,29.939,33.834,
24,3,1,2:02.168,0,,49.484,0,31.706,0,40.978,0,129.2,2:02.168,17:17:02.168,0:49.484,0:31.706,0:40.978,,Ben HANLEY,0:00:13.437,LMP2,P/A,Nielsen Racing,Oreca,GF,49.484,31.706,40.978,
24,3,2,1:33.488,0,,29.488,0,29.932,0,34.068,0,179.2,3:35.656,17:18:35.656,0:29.488,0:29.932,0:34.068,278.4,Ben HANLEY,,LMP2,P/A,Nielsen Racing,Oreca,GF,29.488,29.932,34.068,
24,3,3,1:33.088,0,,29.363,0,29.772,0,33.953,2,179.9,5:08.744,17:20:08.744,0:29.363,0:29.772,0:33.953,279.1,Ben HANLEY,,LMP2,P/A,Nielsen Racing,Oreca,GF,29.363,29.772,33.953,
24,3,4,1:40.343,0,B,29.180,2,29.720,0,41.443,0,166.9,6:49.087,17:21:49.087,0:29.180,0:29.720,0:41.443,279.1,Ben HANLEY,,LMP2,P/A,Nielsen Racing,Oreca,GF,29.180,29.720,41.443,
24,3,5,2:28.848,0,,1:21.205,0,30.949,0,36.694,0,112.5,9:17.935,17:24:17.935,1:21.205,0:30.949,0:36.694,,Ben HANLEY,0:00:56.057,LMP2,P/A,Nielsen Racing,Oreca,GF,81.205,30.949,36.694,
24,3,6,1:32.934,2,,29.245,0,29.616,2,34.073,0,180.2,10:50.869,17:25:50.869,0:29.245,0:29.616,0:34.073,279.1,Ben HANLEY,,LMP2,P/A,Nielsen Racing,Oreca,FF,29.245,29.616,34.073,
28,2,1,1:46.165,0,,39.734,0,31.270,0,35.161,0,148.7,1:46.165,17:16:46.165,0:39.734,0:31.270,0:35.161,,Paul Loup CHATIN,0:00:05.621,LMP2,,IDEC Sport,Oreca,GF,39.734,31.270,35.161,
28,2,2,1:33.155,0,,29.197,0,30.121,0,33.837,0,179.8,3:19.320,17:18:19.320,0:29.197,0:30.121,0:33.837,279.8,Paul Loup CHATIN,,LMP2,,IDEC Sport,Oreca,GF,29.197,30.121,33.837,
28,2,3,1:32.878,2,,29.156,0,29.952,0,33.770,2,180.4,4:52.198,17:19:52.198,0:29.156,0:29.952,0:33.770,280.5,Paul Loup CHATIN,,LMP2,,IDEC Sport,Oreca,GF,29.156,29.952,33.770,
28,2,4,1:38.806,0,B,29.018,0,29.865,2,39.923,0,169.5,6:31.004,17:21:31.004,0:29.018,0:29.865,0:39.923,279.1,Paul Loup CHATIN,,LMP2,,IDEC Sport,Oreca,GF,29.018,29.865,39.923,
28,2,5,2:27.379,0,,1:17.455,0,33.019,0,36.905,0,113.7,8:58.383,17:23:58.383,1:17.455,0:33.019,0:36.905,,Paul Loup CHATIN,0:00:51.926,LMP2,,IDEC Sport,Oreca,GF,77.455,33.019,36.905,
28,2,6,1:33.006,0,,28.913,2,30.175,0,33.918,0,180.1,10:31.389,17:25:31.389,0:28.913,0:30.175,0:33.918,282.0,Paul Loup CHATIN,,LMP2,,IDEC Sport,Oreca,FF,28.913,30.175,33.918,
30,2,1,2:41.096,0,,1:26.391,0,35.620,0,39.085,0,98.0,2:41.096,17:17:41.096,1:26.391,0:35.620,0:39.085,,Richard BRADLEY,0:00:53.980,LMP2,,Duqueine Team,Oreca,GF,86.391,35.620,39.085,
30,2,2,1:41.385,0,B,29.408,0,30.157,0,41.820,0,165.2,4:22.481,17:19:22.481,0:29.408,0:30.157,0:41.820,280.5,Richard BRADLEY,,LMP2,,Duqueine Team,Oreca,GF,29.408,30.157,41.820,
30,2,3,2:52.183,0,,1:45.278,0,31.419,0,35.486,0,97.3,7:14.664,17:22:14.664,1:45.278,0:31.419,0:35.486,,Richard BRADLEY,0:01:20.091,LMP2,,Duqueine Team,Oreca,GF,105.278,31.419,35.486,
30,2,4,1:33.374,2,,29.239,2,29.742,2,34.393,0,179.4,8:48.038,17:23:48.038,0:29.239,0:29.742,0:34.393,280.5,Richard BRADLEY,,LMP2,,Duqueine Team,Oreca,GF,29.239,29.742,34.393,
30,2,5,1:33.631,0,,29.487,0,29.903,0,34.241,2,178.9,10:21.669,17:25:21.669,0:29.487,0:29.903,0:34.241,280.5,Richard BRADLEY,,LMP2,,Duqueine Team,Oreca,FF,29.487,29.903,34.241,
31,2,1,2:04.832,0,,51.521,0,31.817,0,41.494,0,126.4,2:04.832,17:17:04.832,0:51.521,0:31.817,0:41.494,,Mathias BECHE,0:00:15.483,LMP2,P/A,TDS Racing x Vaillante,Oreca,GF,51.521,31.817,41.494,
31,2,2,1:36.771,0,,30.013,0,32.289,0,34.469,0,173.1,3:41.603,17:18:41.603,0:30.013,0:32.289,0:34.469,279.1,Mathias BECHE,,LMP2,P/A,TDS Racing x Vaillante,Oreca,GF,30.013,32.289,34.469,
31,2,3,1:32.742,2,,29.034,0,29.797,2,33.911,0,180.6,5:14.345,17:20:14.345,0:29.034,0:29.797,0:33.911,280.5,Mathias BECHE,,LMP2,P/A,TDS Racing x Vaillante,Oreca,GF,29.034,29.797,33.911,
31,2,4,1:39.039,0,B,28.962,2,29.996,0,40.081,0,169.1,6:53.384,17:21:53.384,0:28.962,0:29.996,0:40.081,280.5,Mathias BECHE,,LMP2,P/A,TDS Racing x Vaillante,Oreca,GF,28.962,29.996,40.081,
31,2,5,2:18.080,0,,1:13.553,0,30.380,0,34.147,0,121.3,9:11.464,17:24:11.464,1:13.553,0:30.380,0:34.147,,Mathias BECHE,0:00:47.688,LMP2,P/A,TDS Racing x Vaillante,Oreca,GF,73.553,30.380,34.147,
