TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1682167872,22/04/2023 12:51:12,"21,2778","38,5",55,"996,784","5,30467",190,-1,
1682167937,22/04/2023 12:52:17,"21,2222","38,5",56,"996,784","3,1828",190,-1,
1682168002,22/04/2023 12:53:22,"21,2222","38,5",56,"996,75","6,3656",190,-1,
1682168062,22/04/2023 12:54:22,"21,2222","38,5",56,"996,784",0,190,-1,
1682168127,22/04/2023 12:55:27,"21,1667","38,5",56,"996,784","9,54841",190,-1,
1682168192,22/04/2023 12:56:32,21,"38,5",56,"996,851","7,42654",190,-1,
1682168257,22/04/2023 12:57:37,"21,0556","38,3",56,"996,75","8,48747",190,-1,
1682168317,22/04/2023 12:58:37,21,"38,1",55,"996,818","3,1828",190,-1,
1682168383,22/04/2023 12:59:43,21,"37,9",55,"996,716","5,30467",190,-1,
1682168448,22/04/2023 13:00:48,"20,9444","37,6",56,"996,818","7,42654",190,-1,
1682168512,22/04/2023 13:01:52,"20,8889","37,6",56,"996,784","4,24374",190,-1,
1682168573,22/04/2023 13:02:53,"20,7778","37,4",56,"996,818",0,190,-1,
1682168633,22/04/2023 13:03:53,"20,7778","37,5",56,"996,851","6,3656",190,-1,
1682168693,22/04/2023 13:04:53,"20,7778","37,6",55,"996,784","5,30467",190,-1,
1682168758,22/04/2023 13:05:58,"20,8333","38,1",55,"996,716","3,1828",190,-1,
