NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
1,1,1,1:51.945,0,,36.519,0,43.549,0,31.877,0,145.2,1:51.945,16:36:50.755,0:36.519,0:43.549,0:31.877,,Marvin KLEIN,,Pro,,TFT Racing,,GF,36.519,43.549,31.877,
1,1,2,2:07.589,0,,39.494,0,51.673,0,36.422,0,131.4,3:59.534,16:38:58.344,0:39.494,0:51.673,0:36.422,185.9,Marvin KLEIN,,Pro,,TFT Racing,,SF,39.494,51.673,36.422,
1,1,3,3:04.226,0,,50.340,0,1:23.220,0,50.666,0,91.0,7:03.760,16:42:02.570,0:50.340,1:23.220,0:50.666,137.8,Marvin KLEIN,,Pro,,TFT Racing,,SF,50.340,83.220,50.666,
1,1,4,3:17.585,0,,1:06.398,0,1:19.157,0,52.030,0,84.9,10:21.345,16:45:20.155,1:06.398,1:19.157,0:52.030,89.6,Marvin KLEIN,,Pro,,TFT Racing,,SF,66.398,79.157,52.030,
1,1,5,2:24.653,0,,52.217,0,49.476,0,42.960,0,115.9,12:45.998,16:47:44.808,0:52.217,0:49.476,0:42.960,77.0,Marvin KLEIN,,Pro,,TFT Racing,,SF,52.217,49.476,42.960,
1,1,6,1:47.212,0,,32.079,0,42.788,0,32.345,0,156.4,14:33.210,16:49:32.020,0:32.079,0:42.788,0:32.345,258.4,Marvin KLEIN,,Pro,,TFT Racing,,GF,32.079,42.788,32.345,
1,1,7,1:57.471,0,B,32.190,0,45.946,0,39.335,0,142.7,16:30.681,16:51:29.491,0:32.190,0:45.946,0:39.335,260.9,Marvin KLEIN,,Pro,,TFT Racing,,GF,32.190,45.946,39.335,
1,1,8,2:22.422,0,,1:07.804,0,43.009,0,31.609,2,117.7,18:53.103,16:53:51.913,1:07.804,0:43.009,0:31.609,173.4,Marvin KLEIN,0:00:38.839,Pro,,TFT Racing,,GF,67.804,43.009,31.609,
1,1,9,1:47.193,2,,31.718,2,42.446,2,33.029,0,156.4,20:40.296,16:55:39.106,0:31.718,0:42.446,0:33.029,258.4,Marvin KLEIN,,Pro,,TFT Racing,,GF,31.718,42.446,33.029,
1,1,10,1:52.470,0,,34.576,0,44.290,0,33.604,0,149.1,22:32.766,16:57:31.576,0:34.576,0:44.290,0:33.604,239.5,Marvin KLEIN,,Pro,,TFT Racing,,SF,34.576,44.290,33.604,
1,1,11,3:10.050,0,,44.645,0,1:18.423,0,1:06.982,0,88.2,25:42.816,17:00:41.626,0:44.645,1:18.423,1:06.982,252.3,Marvin KLEIN,,Pro,,TFT Racing,,SF,44.645,78.423,66.982,
1,1,12,2:36.999,0,,1:00.335,0,52.833,0,43.831,0,106.8,28:19.815,17:03:18.625,1:00.335,0:52.833,0:43.831,97.8,Marvin KLEIN,,Pro,,TFT Racing,,GF,60.335,52.833,43.831,
1,1,13,1:48.557,0,,32.673,0,42.879,0,33.005,0,154.4,30:08.372,17:05:07.182,0:32.673,0:42.879,0:33.005,260.2,Marvin KLEIN,,Pro,,TFT Racing,,GF,32.673,42.879,33.005,
1,1,14,1:50.634,0,,33.224,0,43.919,0,33.491,0,151.5,31:59.006,17:06:57.816,0:33.224,0:43.919,0:33.491,258.4,Marvin KLEIN,,Pro,,TFT Racing,,FF,33.224,43.919,33.491,
12,1,1,2:02.485,0,,40.507,0,47.008,2,34.970,0,132.7,2:02.485,16:37:01.295,0:40.507,0:47.008,0:34.970,,Ludovic LOEUL,,Am,,Porsche Lorient Racing,,SF,40.507,47.008,34.970,
12,1,2,2:09.733,2,,41.876,2,53.353,0,34.504,2,129.2,4:12.218,16:39:11.028,0:41.876,0:53.353,0:34.504,145.7,Ludovic LOEUL,,Am,,Porsche Lorient Racing,,SF,41.876,53.353,34.504,
12,1,3,3:08.227,0,,52.843,0,1:21.453,0,53.931,0,89.1,7:20.445,16:42:19.255,0:52.843,1:21.453,0:53.931,164.6,Ludovic LOEUL,,Am,,Porsche Lorient Racing,,SF,52.843,81.453,53.931,
12,1,4,3:19.847,0,B,1:03.443,0,1:22.612,0,53.792,0,83.9,10:40.292,16:45:39.102,1:03.443,1:22.612,0:53.792,81.3,Ludovic LOEUL,,Am,,Porsche Lorient Racing,,SF,63.443,82.612,53.792,
2,1,1,1:56.405,0,,38.605,0,44.787,0,33.013,0,139.6,1:56.405,16:36:55.215,0:38.605,0:44.787,0:33.013,,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,SF,38.605,44.787,33.013,
2,1,2,2:10.483,0,,42.029,0,52.864,0,35.590,0,128.5,4:06.888,16:39:05.698,0:42.029,0:52.864,0:35.590,144.6,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,SF,42.029,52.864,35.590,
2,1,3,3:05.924,0,,50.464,0,1:23.522,0,51.938,0,90.2,7:12.812,16:42:11.622,0:50.464,1:23.522,0:51.938,133.0,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,SF,50.464,83.522,51.938,
2,1,4,3:18.216,0,,1:04.781,0,1:20.212,0,53.223,0,84.6,10:31.028,16:45:29.838,1:04.781,1:20.212,0:53.223,121.3,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,SF,64.781,80.212,53.223,
2,1,5,2:20.538,0,,50.486,0,50.514,0,39.538,0,119.3,12:51.566,16:47:50.376,0:50.486,0:50.514,0:39.538,123.4,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,GF,50.486,50.514,39.538,
2,1,6,1:47.627,0,,32.104,0,43.094,0,32.429,0,155.8,14:39.193,16:49:38.003,0:32.104,0:43.094,0:32.429,258.4,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,GF,32.104,43.094,32.429,
2,1,7,1:48.217,0,,32.234,0,43.611,0,32.372,0,154.9,16:27.410,16:51:26.220,0:32.234,0:43.611,0:32.372,259.0,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,GF,32.234,43.611,32.372,
2,1,8,1:47.152,0,,32.068,0,42.805,2,32.279,0,156.5,18:14.562,16:53:13.372,0:32.068,0:42.805,0:32.279,259.6,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,GF,32.068,42.805,32.279,
2,1,9,1:46.982,2,,32.004,2,42.832,0,32.146,2,156.7,20:01.544,16:55:00.354,0:32.004,0:42.832,0:32.146,259.0,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,GF,32.004,42.832,32.146,
2,1,10,1:54.284,0,,32.134,0,46.044,0,36.106,0,146.7,21:55.828,16:56:54.638,0:32.134,0:46.044,0:36.106,260.2,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,SF,32.134,46.044,36.106,
2,1,11,3:31.869,0,,1:07.819,0,1:20.668,0,1:03.382,0,79.1,25:27.697,17:00:26.507,1:07.819,1:20.668,1:03.382,164.1,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,SF,67.819,80.668,63.382,
2,1,12,2:43.415,0,,1:05.270,0,53.380,0,44.765,0,102.6,28:11.112,17:03:09.922,1:05.270,0:53.380,0:44.765,79.2,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,GF,65.270,53.380,44.765,
2,1,13,1:48.788,0,,32.893,0,43.317,0,32.578,0,154.1,29:59.900,17:04:58.710,0:32.893,0:43.317,0:32.578,254.7,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,GF,32.893,43.317,32.578,
2,1,14,1:47.455,0,,32.081,0,42.972,0,32.402,0,156.0,31:47.355,17:06:46.165,0:32.081,0:42.972,0:32.402,259.0,Marc GUILLOT,,Pro-Am,,HERRERO Racing,,FF,32.081,42.972,32.402,
20,1,1,2:06.336,0,,42.353,0,48.241,0,35.742,0,128.6,2:06.336,16:37:05.146,0:42.353,0:48.241,0:35.742,,Mathieu CASALONGA,,Am,,F4 Events Motorsport,,SF,42.353,48.241,35.742,
