NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
101,1,1,2:24.447,0,,43.691,0,38.548,0,1:02.208,0,141.1,2:24.447,11:56:46.835,0:43.691,0:38.548,1:02.208,204.9,Romain DAMIANI,,,,GTDRIVE,,GF,43.691,38.548,62.208,
101,1,2,2:19.779,0,,40.014,0,38.072,0,1:01.693,0,148.6,4:44.226,11:59:06.614,0:40.014,0:38.072,1:01.693,206.1,Romain DAMIANI,,,,GTDRIVE,,GF,40.014,38.072,61.693,
101,1,3,2:20.514,0,,39.961,0,38.356,0,1:02.197,0,147.9,7:04.740,12:01:27.128,0:39.961,0:38.356,1:02.197,206.1,Romain DAMIANI,,,,GTDRIVE,,GF,39.961,38.356,62.197,
101,1,4,2:19.786,0,,40.304,0,38.007,0,1:01.475,2,148.6,9:24.526,12:03:46.914,0:40.304,0:38.007,1:01.475,206.5,Romain DAMIANI,,,,GTDRIVE,,GF,40.304,38.007,61.475,
101,1,5,2:19.694,2,,39.933,0,38.193,0,1:01.568,0,148.7,11:44.220,12:06:06.608,0:39.933,0:38.193,1:01.568,205.7,Romain DAMIANI,,,,GTDRIVE,,GF,39.933,38.193,61.568,
101,1,6,2:19.983,0,,39.797,3,38.517,0,1:01.669,0,148.4,14:04.203,12:08:26.591,0:39.797,0:38.517,1:01.669,204.5,Romain DAMIANI,,,,GTDRIVE,,GF,39.797,38.517,61.669,
101,1,7,2:20.261,0,,40.228,0,38.081,0,1:01.952,0,148.1,16:24.464,12:10:46.852,0:40.228,0:38.081,1:01.952,207.3,Romain DAMIANI,,,,GTDRIVE,,GF,40.228,38.081,61.952,
101,1,8,2:20.016,0,,40.128,0,37.807,2,1:02.081,0,148.4,18:44.480,12:13:06.868,0:40.128,0:37.807,1:02.081,208.1,Romain DAMIANI,,,,GTDRIVE,,GF,40.128,37.807,62.081,
101,1,9,2:20.158,0,,40.306,0,37.863,0,1:01.989,0,148.2,21:04.638,12:15:27.026,0:40.306,0:37.863,1:01.989,209.3,Romain DAMIANI,,,,GTDRIVE,,FF,40.306,37.863,61.989,
11,1,1,2:24.087,0,,44.125,0,37.997,0,1:01.965,0,141.4,2:24.087,11:56:46.475,0:44.125,0:37.997,1:01.965,209.3,Jérémy TOURNISSOUX,,,,GTDRIVE,,GF,44.125,37.997,61.965,
