TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1689430460,7/15/2023 2:14:20 PM,29.76,50.3,40.44,966.31,30.53,115,0,
1689430520,7/15/2023 2:15:20 PM,29.59,50.2,40.29,966.26,21.6,116,0,
1689430580,7/15/2023 2:16:20 PM,29.78,50.2,39.63,966.3,21.6,115,0,
1689430640,7/15/2023 2:17:20 PM,29.8,50.2,39.92,966.31,21.6,116,0,
1689430700,7/15/2023 2:18:20 PM,29.97,50.2,38.5,966.27,21.6,130,0,
1689430760,7/15/2023 2:19:20 PM,30.26,50.3,38.05,966.31,9.27,113,0,
1689430820,7/15/2023 2:20:20 PM,30.29,50.4,39.01,966.27,30.04,115,0,
1689430880,7/15/2023 2:21:20 PM,29.93,50.4,38.74,966.23,33.96,115,0,
1689430940,7/15/2023 2:22:20 PM,29.65,50.1,38.89,966.23,35.78,115,0,
1689431000,7/15/2023 2:23:20 PM,29.45,50,38.45,966.24,34.72,115,0,
1689431060,7/15/2023 2:24:20 PM,29.2,49.9,39.78,966.2,34.76,116,0,
1689431120,7/15/2023 2:25:20 PM,29.2,49.8,39.38,966.22,33.18,115,0,
1689431180,7/15/2023 2:26:20 PM,29.32,49.8,39.2,966.22,29.94,117,0,
1689431240,7/15/2023 2:27:20 PM,29.28,49.8,40.12,966.22,34.78,114,0,
1689431300,7/15/2023 2:28:20 PM,29.16,49.6,40.63,966.24,33.67,114,0,
1689431360,7/15/2023 2:29:20 PM,29.1,49.7,40.33,966.2,31.45,116,0,
1689431420,7/15/2023 2:30:20 PM,29.1,49.7,40.47,966.22,32.25,116,0,
1689431480,7/15/2023 2:31:20 PM,28.99,49.6,41.09,966.19,36.69,115,0,
1689431540,7/15/2023 2:32:20 PM,28.8,49.6,41.39,966.24,26.88,115,0,
1689431600,7/15/2023 2:33:20 PM,29.07,49.6,40.21,966.23,32.56,114,0,
