NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,2,1,2:19.658,0,,45.701,0,55.972,0,37.985,0,134.0,2:19.658,20:32:19.658,0:45.701,0:55.972,0:37.985,242.7,Glenn VAN BERLO,0:00:10.675,LMP3,,Eurointernational,Ligier,GF,45.701,55.972,37.985,
10,2,2,1:55.114,0,,29.808,0,49.791,0,35.515,2,167.1,4:14.772,20:34:14.772,0:29.808,0:49.791,0:35.515,254.7,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.808,49.791,35.515,
10,2,3,1:54.088,2,,29.243,0,49.175,2,35.670,0,168.6,6:08.860,20:36:08.860,0:29.243,0:49.175,0:35.670,254.7,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.243,49.175,35.670,
10,2,4,1:55.625,0,,28.968,2,49.237,0,37.420,0,166.4,8:04.485,20:38:04.485,0:28.968,0:49.237,0:37.420,212.6,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,28.968,49.237,37.420,
10,2,5,1:54.564,0,,29.309,0,49.659,0,35.596,0,167.9,9:59.049,20:39:59.049,0:29.309,0:49.659,0:35.596,255.3,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.309,49.659,35.596,
10,2,6,2:01.539,0,,30.061,0,52.369,0,39.109,0,158.3,12:00.588,20:42:00.588,0:30.061,0:52.369,0:39.109,225.9,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,30.061,52.369,39.109,
10,2,7,1:54.682,0,,29.339,0,49.711,0,35.632,0,167.8,13:55.270,20:43:55.270,0:29.339,0:49.711,0:35.632,257.1,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.339,49.711,35.632,
10,2,8,2:01.222,0,B,29.615,0,49.997,0,41.610,0,158.7,15:56.492,20:45:56.492,0:29.615,0:49.997,0:41.610,256.5,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.615,49.997,41.610,
10,1,9,5:25.241,0,,3:06.971,0,56.186,0,1:22.084,0,59.2,21:21.733,20:51:21.733,3:06.971,0:56.186,1:22.084,79.1,Matthias LUETHEN,0:02:41.010,LMP3,,Eurointernational,Ligier,FCY,186.971,56.186,82.084,
10,1,10,4:03.755,0,B,1:04.949,0,1:35.784,0,1:23.022,0,78.9,25:25.488,20:55:25.488,1:04.949,1:35.784,1:23.022,79.0,Matthias LUETHEN,,LMP3,,Eurointernational,Ligier,FCY,64.949,95.784,83.022,
10,1,11,9:47.428,0,,8:14.078,0,55.860,0,37.490,0,32.8,35:12.916,21:05:12.916,8:14.078,0:55.860,0:37.490,250.0,Matthias LUETHEN,0:07:48.970,LMP3,,Eurointernational,Ligier,GF,494.078,55.860,37.490,
10,1,12,2:02.613,0,,31.610,0,54.285,0,36.718,0,156.9,37:15.529,21:07:15.529,0:31.610,0:54.285,0:36.718,252.9,Matthias LUETHEN,,LMP3,,Eurointernational,Ligier,GF,31.610,54.285,36.718,
10,1,13,1:59.592,0,,31.039,0,51.745,1,36.808,0,160.9,39:15.121,21:09:15.121,0:31.039,0:51.745,0:36.808,255.9,Matthias LUETHEN,,LMP3,,Eurointernational,Ligier,GF,31.039,51.745,36.808,
10,1,14,2:00.895,0,,31.503,0,52.999,0,36.393,0,159.1,41:16.016,21:11:16.016,0:31.503,0:52.999,0:36.393,254.7,Matthias LUETHEN,,LMP3,,Eurointernational,Ligier,GF,31.503,52.999,36.393,
10,1,15,2:05.744,0,B,30.521,1,52.343,0,42.880,0,153.0,43:21.760,21:13:21.760,0:30.521,0:52.343,0:42.880,256.5,Matthias LUETHEN,,LMP3,,Eurointernational,Ligier,GF,30.521,52.343,42.880,
10,1,16,3:02.541,0,,1:29.714,0,55.649,0,37.178,0,105.4,46:24.301,21:16:24.301,1:29.714,0:55.649,0:37.178,251.7,Matthias LUETHEN,0:01:05.601,LMP3,,Eurointernational,Ligier,GF,89.714,55.649,37.178,
10,1,17,2:00.982,0,,31.162,0,53.013,0,36.807,0,159.0,48:25.283,21:18:25.283,0:31.162,0:53.013,0:36.807,252.9,Matthias LUETHEN,,LMP3,,Eurointernational,Ligier,GF,31.162,53.013,36.807,
10,1,18,1:59.902,0,,30.778,0,52.916,0,36.208,1,160.5,50:25.185,21:20:25.185,0:30.778,0:52.916,0:36.208,253.5,Matthias LUETHEN,,LMP3,,Eurointernational,Ligier,GF,30.778,52.916,36.208,
10,1,19,2:02.061,0,,31.717,0,53.593,0,36.751,0,157.6,52:27.246,21:22:27.246,0:31.717,0:53.593,0:36.751,252.9,Matthias LUETHEN,,LMP3,,Eurointernational,Ligier,GF,31.717,53.593,36.751,
10,1,20,2:09.316,0,B,31.179,0,52.800,0,45.337,0,148.8,54:36.562,21:24:36.562,0:31.179,0:52.800,0:45.337,192.2,Matthias LUETHEN,,LMP3,,Eurointernational,Ligier,GF,31.179,52.800,45.337,
10,2,21,9:53.177,0,,8:25.159,0,51.767,0,36.251,0,32.4,1:04:29.739,21:34:29.739,8:25.159,0:51.767,0:36.251,253.5,Glenn VAN BERLO,0:07:56.928,LMP3,,Eurointernational,Ligier,GF,505.159,51.767,36.251,
10,2,22,1:59.594,0,,30.141,0,52.977,0,36.476,0,160.9,1:06:29.333,21:36:29.333,0:30.141,0:52.977,0:36.476,253.5,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,30.141,52.977,36.476,
10,2,23,1:57.018,0,,30.188,0,50.766,0,36.064,0,164.4,1:08:26.351,21:38:26.351,0:30.188,0:50.766,0:36.064,254.1,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,30.188,50.766,36.064,
10,2,24,1:56.457,0,,29.908,0,50.501,0,36.048,0,165.2,1:10:22.808,21:40:22.808,0:29.908,0:50.501,0:36.048,257.1,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.908,50.501,36.048,
10,2,25,1:56.094,0,,29.649,0,50.304,0,36.141,0,165.7,1:12:18.902,21:42:18.902,0:29.649,0:50.304,0:36.141,253.5,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.649,50.304,36.141,
10,2,26,1:56.119,0,,29.775,0,50.362,0,35.982,0,165.7,1:14:15.021,21:44:15.021,0:29.775,0:50.362,0:35.982,255.3,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.775,50.362,35.982,
10,2,27,1:56.428,0,,29.650,0,50.568,0,36.210,0,165.2,1:16:11.449,21:46:11.449,0:29.650,0:50.568,0:36.210,255.9,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.650,50.568,36.210,
