NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
16,1,1,2:28.011,0,,44.952,0,1:01.483,0,41.576,0,126.4,2:28.011,10:17:28.011,0:44.952,1:01.483,0:41.576,152.5,Ryan HARDWICK,0:00:13.142,LMGTE,,Proton Competition,Porsche,GF,44.952,61.483,41.576,
16,1,2,2:02.208,0,,31.174,0,52.263,0,38.771,0,157.4,4:30.219,10:19:30.219,0:31.174,0:52.263,0:38.771,257.8,Ryan HARDWICK,,LMGTE,,Proton Competition,Porsche,GF,31.174,52.263,38.771,
16,1,3,7:38.744,0,B,30.252,0,51.247,0,6:17.245,0,41.9,12:08.963,10:27:08.963,0:30.252,0:51.247,6:17.245,168.2,Ryan HARDWICK,,LMGTE,,Proton Competition,Porsche,RF,30.252,51.247,377.245,
16,1,4,3:59.113,0,,2:26.791,0,55.364,0,36.958,0,80.5,16:08.076,10:31:08.076,2:26.791,0:55.364,0:36.958,251.2,Ryan HARDWICK,0:02:00.193,LMGTE,,Proton Competition,Porsche,GF,146.791,55.364,36.958,
16,1,5,1:58.517,0,,30.932,0,51.330,0,36.255,0,162.3,18:06.593,10:33:06.593,0:30.932,0:51.330,0:36.255,255.3,Ryan HARDWICK,,LMGTE,,Proton Competition,Porsche,GF,30.932,51.330,36.255,
16,1,6,1:57.495,0,,30.220,2,51.192,0,36.083,2,163.7,20:04.088,10:35:04.088,0:30.220,0:51.192,0:36.083,255.9,Ryan HARDWICK,,LMGTE,,Proton Competition,Porsche,GF,30.220,51.192,36.083,
16,1,7,1:57.375,2,,30.300,0,50.841,3,36.234,0,163.9,22:01.463,10:37:01.463,0:30.300,0:50.841,0:36.234,257.1,Ryan HARDWICK,,LMGTE,,Proton Competition,Porsche,FF,30.300,50.841,36.234,
44,1,1,2:21.745,0,,41.326,0,1:01.769,0,38.650,0,132.0,2:21.745,10:17:21.745,0:41.326,1:01.769,0:38.650,225.9,Jens MØLLER,0:00:09.390,LMGTE,,GMB Motorsport,Aston Martin,GF,41.326,61.769,38.650,
44,1,2,2:03.257,0,,32.464,0,54.406,0,36.387,0,156.1,4:25.002,10:19:25.002,0:32.464,0:54.406,0:36.387,254.1,Jens MØLLER,,LMGTE,,GMB Motorsport,Aston Martin,GF,32.464,54.406,36.387,
44,1,3,2:12.649,0,B,30.171,0,51.829,0,50.649,0,145.0,6:37.651,10:21:37.651,0:30.171,0:51.829,0:50.649,255.9,Jens MØLLER,,LMGTE,,GMB Motorsport,Aston Martin,RF,30.171,51.829,50.649,
