NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,2,1,3:06.421,0,,1:24.745,0,1:02.340,0,39.336,0,100.4,3:06.421,10:48:06.421,1:24.745,1:02.340,0:39.336,207.7,Glenn VAN BERLO,0:00:50.775,LMP3,,Eurointernational,Ligier,GF,84.745,62.340,39.336,
10,2,2,1:59.073,0,,32.114,0,50.365,0,36.594,0,161.6,5:05.494,10:50:05.494,0:32.114,0:50.365,0:36.594,247.1,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,32.114,50.365,36.594,
10,2,3,1:53.411,0,,29.149,0,48.955,0,35.307,0,169.6,6:58.905,10:51:58.905,0:29.149,0:48.955,0:35.307,254.7,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,29.149,48.955,35.307,
10,2,4,1:53.210,0,,28.836,0,48.857,0,35.517,0,169.9,8:52.115,10:53:52.115,0:28.836,0:48.857,0:35.517,254.1,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,28.836,48.857,35.517,
10,2,5,1:52.679,2,,28.661,2,48.732,2,35.286,0,170.7,10:44.794,10:55:44.794,0:28.661,0:48.732,0:35.286,254.1,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,28.661,48.732,35.286,
10,2,6,1:52.742,0,,28.721,0,48.714,0,35.307,0,170.6,12:37.536,10:57:37.536,0:28.721,0:48.714,0:35.307,254.7,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,28.721,48.714,35.307,
10,2,7,1:52.864,0,,28.726,0,48.864,0,35.274,2,170.5,14:30.400,10:59:30.400,0:28.726,0:48.864,0:35.274,254.7,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,28.726,48.864,35.274,
10,2,8,2:05.696,0,B,29.470,0,53.804,0,42.422,0,153.1,16:36.096,11:01:36.096,0:29.470,0:53.804,0:42.422,253.5,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,FF,29.470,53.804,42.422,
11,2,1,2:58.732,0,,1:25.973,0,55.762,0,36.997,0,104.7,2:58.732,10:47:58.732,1:25.973,0:55.762,0:36.997,252.9,Adam ALI,0:00:53.784,LMP3,,Eurointernational,Ligier,GF,85.973,55.762,36.997,
11,2,2,1:56.685,0,,30.585,0,50.398,0,35.702,0,164.9,4:55.417,10:49:55.417,0:30.585,0:50.398,0:35.702,254.7,Adam ALI,,LMP3,,Eurointernational,Ligier,GF,30.585,50.398,35.702,
11,2,3,1:53.891,0,,29.182,0,49.336,0,35.373,0,168.9,6:49.308,10:51:49.308,0:29.182,0:49.336,0:35.373,255.9,Adam ALI,,LMP3,,Eurointernational,Ligier,GF,29.182,49.336,35.373,
11,2,4,1:56.767,0,,28.976,0,49.550,0,38.241,0,164.8,8:46.075,10:53:46.075,0:28.976,0:49.550,0:38.241,232.3,Adam ALI,,LMP3,,Eurointernational,Ligier,GF,28.976,49.550,38.241,
11,2,5,1:53.285,0,,29.004,0,48.911,0,35.370,0,169.8,10:39.360,10:55:39.360,0:29.004,0:48.911,0:35.370,255.3,Adam ALI,,LMP3,,Eurointernational,Ligier,GF,29.004,48.911,35.370,
11,2,6,1:52.649,2,,28.966,0,48.542,3,35.141,2,170.8,12:32.009,10:57:32.009,0:28.966,0:48.542,0:35.141,255.3,Adam ALI,,LMP3,,Eurointernational,Ligier,GF,28.966,48.542,35.141,
11,2,7,1:52.990,0,,28.797,2,48.952,0,35.241,0,170.3,14:24.999,10:59:24.999,0:28.797,0:48.952,0:35.241,255.3,Adam ALI,,LMP3,,Eurointernational,Ligier,GF,28.797,48.952,35.241,
11,2,8,2:00.819,0,B,29.075,0,49.263,0,42.481,0,159.2,16:25.818,11:01:25.818,0:29.075,0:49.263,0:42.481,255.3,Adam ALI,,LMP3,,Eurointernational,Ligier,FF,29.075,49.263,42.481,
12,3,1,3:45.800,0,,2:09.533,0,58.027,0,38.240,0,82.9,3:45.800,10:48:45.800,2:09.533,0:58.027,0:38.240,254.1,Oscar TUNJO,0:01:37.338,LMP3,,WTM by Rinaldi Racing,Duqueine,GF,129.533,58.027,38.240,
12,3,2,1:59.992,0,,31.657,0,52.333,0,36.002,0,160.3,5:45.792,10:50:45.792,0:31.657,0:52.333,0:36.002,256.5,Oscar TUNJO,,LMP3,,WTM by Rinaldi Racing,Duqueine,GF,31.657,52.333,36.002,
12,3,3,1:54.346,0,,29.284,0,49.629,0,35.433,0,168.2,7:40.138,10:52:40.138,0:29.284,0:49.629,0:35.433,259.6,Oscar TUNJO,,LMP3,,WTM by Rinaldi Racing,Duqueine,GF,29.284,49.629,35.433,
