NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
10,2,1,2:43.965,0,,54.487,0,1:11.639,0,37.839,0,151.1,2:43.965,09:02:43.965,0:54.487,1:11.639,0:37.839,208.4,Glenn VAN BERLO,0:00:12.808,LMP3,,Eurointernational,Ligier,GF,54.487,71.639,37.839,
10,2,2,2:23.168,0,,41.729,0,1:05.456,0,35.983,0,176.1,5:07.133,09:05:07.133,0:41.729,1:05.456,0:35.983,229.6,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,41.729,65.456,35.983,
10,2,3,2:18.082,0,,40.279,0,1:02.722,0,35.081,0,182.6,7:25.215,09:07:25.215,0:40.279,1:02.722,0:35.081,256.2,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,40.279,62.722,35.081,
10,2,4,2:16.431,0,,39.870,0,1:01.665,0,34.896,0,184.8,9:41.646,09:09:41.646,0:39.870,1:01.665,0:34.896,257.4,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.870,61.665,34.896,
10,2,5,2:19.974,0,,40.366,0,1:02.869,0,36.739,0,180.1,12:01.620,09:12:01.620,0:40.366,1:02.869,0:36.739,259.2,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,40.366,62.869,36.739,
10,2,6,2:16.829,0,,39.544,0,1:02.346,0,34.939,0,184.3,14:18.449,09:14:18.449,0:39.544,1:02.346,0:34.939,261.7,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.544,62.346,34.939,
10,2,7,2:16.452,0,,39.745,0,1:01.522,0,35.185,0,184.8,16:34.901,09:16:34.901,0:39.745,1:01.522,0:35.185,263.6,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.745,61.522,35.185,
10,2,8,2:22.887,0,B,39.441,0,1:01.989,0,41.457,0,176.5,18:57.788,09:18:57.788,0:39.441,1:01.989,0:41.457,261.1,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.441,61.989,41.457,
10,1,9,5:01.068,0,,3:15.138,0,1:07.927,0,38.003,0,83.7,23:58.856,09:23:58.856,3:15.138,1:07.927,0:38.003,236.6,François HERIAU,0:02:42.838,LMP3,,Eurointernational,Ligier,GF,195.138,67.927,38.003,
10,1,10,2:23.579,0,,41.634,0,1:05.410,0,36.535,0,175.6,26:22.435,09:26:22.435,0:41.634,1:05.410,0:36.535,255.0,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,41.634,65.410,36.535,
10,1,11,2:21.261,0,,40.745,0,1:04.159,0,36.357,0,178.5,28:43.696,09:28:43.696,0:40.745,1:04.159,0:36.357,256.8,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.745,64.159,36.357,
10,1,12,2:20.053,0,,40.335,0,1:03.731,0,35.987,0,180.0,31:03.749,09:31:03.749,0:40.335,1:03.731,0:35.987,258.6,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.335,63.731,35.987,
10,1,13,2:23.285,0,,40.767,0,1:05.745,0,36.773,0,176.0,33:27.034,09:33:27.034,0:40.767,1:05.745,0:36.773,257.4,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.767,65.745,36.773,
10,1,14,2:19.986,0,,40.454,0,1:03.675,0,35.857,1,180.1,35:47.020,09:35:47.020,0:40.454,1:03.675,0:35.857,256.8,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.454,63.675,35.857,
10,1,15,2:30.263,0,B,40.231,0,1:05.246,0,44.786,0,167.8,38:17.283,09:38:17.283,0:40.231,1:05.246,0:44.786,259.9,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.231,65.246,44.786,
10,2,16,4:52.260,0,,3:10.721,0,1:05.132,0,36.407,0,86.3,43:09.543,09:43:09.543,3:10.721,1:05.132,0:36.407,227.2,Glenn VAN BERLO,0:02:40.725,LMP3,,Eurointernational,Ligier,GF,190.721,65.132,36.407,
10,2,17,2:21.426,0,,40.564,0,1:04.238,0,36.624,0,178.3,45:30.969,09:45:30.969,0:40.564,1:04.238,0:36.624,255.6,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,40.564,64.238,36.624,
10,2,18,2:21.123,0,,40.457,0,1:03.674,0,36.992,0,178.7,47:52.092,09:47:52.092,0:40.457,1:03.674,0:36.992,256.8,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,40.457,63.674,36.992,
10,2,19,2:23.027,0,,40.285,0,1:06.612,0,36.130,0,176.3,50:15.119,09:50:15.119,0:40.285,1:06.612,0:36.130,258.0,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,40.285,66.612,36.130,
10,2,20,2:27.000,0,B,40.652,0,1:03.649,0,42.699,0,171.5,52:42.119,09:52:42.119,0:40.652,1:03.649,0:42.699,255.6,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,40.652,63.649,42.699,
10,2,21,22:16.947,0,,20:32.226,0,1:07.817,0,36.904,0,18.9,1:14:59.066,10:14:59.066,20:32.226,1:07.817,0:36.904,214.2,Glenn VAN BERLO,0:19:54.585,LMP3,,Eurointernational,Ligier,GF,1232.226,67.817,36.904,
10,2,22,2:17.709,0,,40.868,0,1:01.742,0,35.099,0,183.1,1:17:16.775,10:17:16.775,0:40.868,1:01.742,0:35.099,249.1,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,40.868,61.742,35.099,
10,2,23,2:14.589,0,,39.592,0,1:00.118,2,34.879,0,187.3,1:19:31.364,10:19:31.364,0:39.592,1:00.118,0:34.879,259.2,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.592,60.118,34.879,
10,2,24,2:21.815,0,,39.256,0,1:03.821,0,38.738,0,177.8,1:21:53.179,10:21:53.179,0:39.256,1:03.821,0:38.738,263.0,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.256,63.821,38.738,
10,2,25,2:15.217,0,,39.379,0,1:00.549,0,35.289,0,186.5,1:24:08.396,10:24:08.396,0:39.379,1:00.549,0:35.289,261.1,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.379,60.549,35.289,
10,2,26,2:14.695,0,,39.479,0,1:00.321,0,34.895,0,187.2,1:26:23.091,10:26:23.091,0:39.479,1:00.321,0:34.895,260.5,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.479,60.321,34.895,
10,2,27,2:14.416,2,,39.288,0,1:00.330,0,34.798,2,187.6,1:28:37.507,10:28:37.507,0:39.288,1:00.330,0:34.798,263.6,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.288,60.330,34.798,
10,2,28,2:17.961,0,,39.342,0,1:02.776,0,35.843,0,182.8,1:30:55.468,10:30:55.468,0:39.342,1:02.776,0:35.843,263.0,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,GF,39.342,62.776,35.843,
10,2,29,4:12.739,0,B,39.238,2,2:02.908,0,1:30.593,0,99.8,1:35:08.207,10:35:08.207,0:39.238,2:02.908,1:30.593,253.8,Glenn VAN BERLO,,LMP3,,Eurointernational,Ligier,RF,39.238,122.908,90.593,
10,1,30,4:55.306,0,,3:13.134,0,1:05.423,0,36.749,0,85.4,1:40:03.513,10:40:03.513,3:13.134,1:05.423,0:36.749,247.4,François HERIAU,0:02:42.060,LMP3,,Eurointernational,Ligier,GF,193.134,65.423,36.749,
10,1,31,2:22.621,0,,41.019,0,1:03.865,0,37.737,0,176.8,1:42:26.134,10:42:26.134,0:41.019,1:03.865,0:37.737,254.4,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,41.019,63.865,37.737,
10,1,32,2:21.279,0,,40.863,0,1:04.143,0,36.273,0,178.5,1:44:47.413,10:44:47.413,0:40.863,1:04.143,0:36.273,255.6,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.863,64.143,36.273,
10,1,33,2:20.970,0,,40.310,0,1:04.174,0,36.486,0,178.9,1:47:08.383,10:47:08.383,0:40.310,1:04.174,0:36.486,258.6,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.310,64.174,36.486,
10,1,34,2:21.757,0,,40.365,0,1:05.042,0,36.350,0,177.9,1:49:30.140,10:49:30.140,0:40.365,1:05.042,0:36.350,260.5,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.365,65.042,36.350,
10,1,35,2:20.975,0,,40.479,0,1:04.483,0,36.013,0,178.9,1:51:51.115,10:51:51.115,0:40.479,1:04.483,0:36.013,259.9,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.479,64.483,36.013,
10,1,36,2:20.621,0,,40.294,0,1:03.265,1,37.062,0,179.3,1:54:11.736,10:54:11.736,0:40.294,1:03.265,0:37.062,258.6,François HERIAU,,LMP3,,Eurointernational,Ligier,GF,40.294,63.265,37.062,
10,1,37,2:20.085,0,,40.096,1,1:04.069,0,35.920,0,180.0,1:56:31.821,10:56:31.821,0:40.096,1:04.069,0:35.920,261.1,François HERIAU,,LMP3,,Eurointernational,Ligier,FF,40.096,64.069,35.920,
11,2,1,5:25.461,0,,3:32.729,0,1:14.038,0,38.694,0,76.1,5:25.461,09:05:25.461,3:32.729,1:14.038,0:38.694,199.2,Adam ALI,0:02:50.971,LMP3,,Eurointernational,Ligier,GF,212.729,74.038,38.694,
11,2,2,2:26.345,0,,42.262,0,1:07.645,0,36.438,0,172.3,7:51.806,09:07:51.806,0:42.262,1:07.645,0:36.438,250.8,Adam ALI,,LMP3,,Eurointernational,Ligier,GF,42.262,67.645,36.438,
11,2,3,2:23.350,0,,40.995,0,1:05.939,0,36.416,0,175.9,10:15.156,09:10:15.156,0:40.995,1:05.939,0:36.416,255.0,Adam ALI,,LMP3,,Eurointernational,Ligier,GF,40.995,65.939,36.416,
11,2,4,2:19.914,0,,40.505,0,1:03.858,0,35.551,0,180.2,12:35.070,09:12:35.070,0:40.505,1:03.858,0:35.551,256.8,Adam ALI,,LMP3,,Eurointernational,Ligier,GF,40.505,63.858,35.551,
