TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1695392471,22/09/2023 14:21:11,51.8,59.0,85,"954,081","3,1828",146,-1,
1695392535,22/09/2023 14:22:15,51.8,59.0,85,"954,081",0,360,-1,
1695392596,22/09/2023 14:23:16,51.8,59.0,85,"954,047","2,12187",355,-1,
1695392666,22/09/2023 14:24:26,51.8,59.0,85,"954,014",0,342,-1,
1695392731,22/09/2023 14:25:31,51.8,59.0,85,"954,047","3,1828",53,-1,
1695392796,22/09/2023 14:26:36,51.8,59.0,86,"953,946","1,06093",194,-1,
1695392861,22/09/2023 14:27:41,51.8,59.0,86,"953,878","1,06093",181,-1,
1695392931,22/09/2023 14:28:51,51.8,59.0,86,"953,844","2,12187",163,-1,
1695392992,22/09/2023 14:29:52,51.8,59.0,86,"953,844",0,148,-1,
1695393057,22/09/2023 14:30:57,51.8,59.0,86,"953,878","1,06093",202,-1,
1695393121,22/09/2023 14:32:01,51.8,59.0,87,"953,946","1,06093",202,-1,
1695393186,22/09/2023 14:33:06,51.8,59.0,87,"953,81","1,06093",202,-1,
1695393247,22/09/2023 14:34:07,51.8,59.0,87,"953,743","2,12187",317,-1,
1695393312,22/09/2023 14:35:12,51.8,59.0,87,"953,776",0,324,-1,
1695393382,22/09/2023 14:36:22,51.8,59.0,87,"953,743",0,324,-1,
1695393452,22/09/2023 14:37:32,51.8,59.0,87,"953,675","1,06093",324,-1,
1695393517,22/09/2023 14:38:37,51.8,59.0,87,"953,675","1,06093",324,-1,
1695393577,22/09/2023 14:39:37,51.8,59.0,87,"953,675",0,324,-1,
1695393643,22/09/2023 14:40:43,51.8,59.0,87,"953,709",0,324,-1,
1695393712,22/09/2023 14:41:52,51.8,59.0,88,"953,675","1,06093",324,-1,
1695393782,22/09/2023 14:43:02,51.8,60.8,89,"953,573","1,06093",338,-1,
1695393843,22/09/2023 14:44:03,51.8,60.8,89,"953,539","2,12187",47,-1,
1695393908,22/09/2023 14:45:08,51.8,62.6,89,"953,506","2,12187",47,-1,
1695393973,22/09/2023 14:46:13,51.8,62.6,89,"953,472","1,06093",47,-1,
1695394038,22/09/2023 14:47:18,51.8,62.6,90,"953,336","2,12187",136,-1,
1695394103,22/09/2023 14:48:23,51.8,62.6,89,"953,404","1,06093",128,-1,
1695394163,22/09/2023 14:49:23,51.8,62.6,89,"953,438",0,74,-1,
1695394229,22/09/2023 14:50:29,51.8,62.6,89,"953,472","2,12187",80,-1,
