NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,
19,1,1,2:49.124,0,,55.780,0,1:14.372,0,38.972,0,146.5,2:49.124,14:57:49.124,0:55.780,1:14.372,0:38.972,206.8,Alexander MATTSCHULL,0:00:13.665,LMP2 Pro/Am,,Team Virage,Oreca,GF,55.780,74.372,38.972,
19,1,2,2:24.978,0,,43.287,0,1:06.156,0,35.535,0,173.9,5:14.102,15:00:14.102,0:43.287,1:06.156,0:35.535,252.6,Alexander MATTSCHULL,,LMP2 Pro/Am,,Team Virage,Oreca,GF,43.287,66.156,35.535,
19,1,3,2:08.990,0,,37.228,0,58.647,0,33.115,0,195.5,7:23.092,15:02:23.092,0:37.228,0:58.647,0:33.115,288.2,Alexander MATTSCHULL,,LMP2 Pro/Am,,Team Virage,Oreca,GF,37.228,58.647,33.115,
19,1,4,2:26.041,0,,36.678,2,1:12.886,0,36.477,0,172.7,9:49.133,15:04:49.133,0:36.678,1:12.886,0:36.477,291.3,Alexander MATTSCHULL,,LMP2 Pro/Am,,Team Virage,Oreca,GF,36.678,72.886,36.477,
19,1,5,2:07.977,2,,36.689,0,58.296,0,32.992,2,197.0,11:57.110,15:06:57.110,0:36.689,0:58.296,0:32.992,291.3,Alexander MATTSCHULL,,LMP2 Pro/Am,,Team Virage,Oreca,GF,36.689,58.296,32.992,
19,1,6,2:07.720,0,,36.579,0,58.147,2,32.994,0,197.4,14:04.830,15:09:04.830,0:36.579,0:58.147,0:32.994,292.1,Alexander MATTSCHULL,,LMP2 Pro/Am,,Team Virage,Oreca,GF,36.579,58.147,32.994,
19,1,7,2:24.203,0,B,36.915,0,58.941,0,48.347,0,174.9,16:29.033,15:11:29.033,0:36.915,0:58.941,0:48.347,287.4,Alexander MATTSCHULL,,LMP2 Pro/Am,,Team Virage,Oreca,FF,36.915,58.941,48.347,
20,1,1,3:11.424,0,,1:13.795,0,1:15.688,0,41.941,0,129.4,3:11.424,14:58:11.424,1:13.795,1:15.688,0:41.941,171.7,Fred POORDAD,0:00:18.845,LMP2 Pro/Am,,Algarve Pro Racing,Oreca,GF,73.795,75.688,41.941,
20,1,2,2:22.386,0,,40.637,0,1:04.619,0,37.130,0,177.1,5:33.810,15:00:33.810,0:40.637,1:04.619,0:37.130,231.5,Fred POORDAD,,LMP2 Pro/Am,,Algarve Pro Racing,Oreca,GF,40.637,64.619,37.130,
20,1,3,2:12.083,0,,38.048,0,1:00.307,0,33.728,2,190.9,7:45.893,15:02:45.893,0:38.048,1:00.307,0:33.728,282.9,Fred POORDAD,,LMP2 Pro/Am,,Algarve Pro Racing,Oreca,GF,38.048,60.307,33.728,
20,1,4,2:11.461,2,,37.912,0,59.767,2,33.782,0,191.8,9:57.354,15:04:57.354,0:37.912,0:59.767,0:33.782,283.7,Fred POORDAD,,LMP2 Pro/Am,,Algarve Pro Racing,Oreca,GF,37.912,59.767,33.782,
20,1,5,2:15.632,0,,37.968,0,1:00.393,0,37.271,0,185.9,12:12.986,15:07:12.986,0:37.968,1:00.393,0:37.271,284.4,Fred POORDAD,,LMP2 Pro/Am,,Algarve Pro Racing,Oreca,GF,37.968,60.393,37.271,
20,1,6,2:11.918,0,,37.752,0,1:00.359,0,33.807,0,191.1,14:24.904,15:09:24.904,0:37.752,1:00.359,0:33.807,285.2,Fred POORDAD,,LMP2 Pro/Am,,Algarve Pro Racing,Oreca,GF,37.752,60.359,33.807,
20,1,7,2:12.372,0,,37.705,2,1:00.450,0,34.217,0,190.5,16:37.276,15:11:37.276,0:37.705,1:00.450,0:34.217,285.2,Fred POORDAD,,LMP2 Pro/Am,,Algarve Pro Racing,Oreca,FF,37.705,60.450,34.217,
